SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,FORECAST_ACTUAL_INDICATOR,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW
01-OCT-2018,1,20432,A,19212,21703,19805,18695,1825,5911,0,13052,0,91,246,1407,104,-310,-370,1387,102,-316,-373
01-OCT-2018,2,19909,A,18744,21411,19332,18199,1735,5911,0,13052,0,90,247,1407,102,-404,-508,1387,102,-402,-507
01-OCT-2018,3,19864,A,18716,21601,19676,18203,1700,5911,0,13052,0,344,618,1407,386,-358,-535,1387,399,-353,-529
01-OCT-2018,4,20136,A,19030,21685,19930,18502,1665,5911,0,13052,0,206,435,1409,416,-307,-536,1387,415,-303,-529
01-OCT-2018,5,20104,A,19016,21680,19921,18459,1622,5911,0,13052,0,281,405,1213,416,-264,-531,1190,415,-261,-526
01-OCT-2018,6,20053,A,18956,21888,20208,18372,1579,5911,0,13052,0,596,753,1205,416,-259,-480,1189,416,-255,-470
01-OCT-2018,7,19965,A,18839,22343,20722,18297,1553,5911,0,13052,0,1359,1383,1206,416,-187,-332,1190,415,-184,-324
01-OCT-2018,8,19910,A,18817,22208,20682,18250,1527,5911,0,13052,0,1364,1365,1206,416,-182,-252,1190,415,-183,-246
01-OCT-2018,9,19964,A,18889,22219,20741,18285,1440,5911,0,13052,0,1352,1352,1206,415,-298,-105,1190,414,-301,-99
01-OCT-2018,10,20223,A,19175,22425,21017,18479,1353,5911,0,13052,0,1340,1341,1205,415,-302,-60,1190,415,-295,-62
01-OCT-2018,11,21184,A,20243,23189,22081,19374,1345,5911,0,13052,0,1337,1337,1302,508,-165,-3,1287,511,-161,-2
01-OCT-2018,12,22550,A,21669,24462,23485,20635,1336,5911,0,13052,0,1313,1315,1281,513,-99,0,1288,516,-90,0
01-OCT-2018,13,25990,A,25180,27095,26241,23754,1309,5911,0,13052,0,605,560,1997,833,50,2,1972,843,52,7
01-OCT-2018,14,29279,A,28467,29855,28983,26732,1282,5911,0,13052,0,10,9,1999,849,-66,0,1972,848,-70,0
01-OCT-2018,15,32648,A,31836,33394,32345,29787,1228,5911,35,13052,0,7,5,1999,785,-174,-65,1972,782,-178,-73
01-OCT-2018,16,34130,A,33227,35167,33737,31081,1173,5911,497,13052,0,7,9,1999,782,-312,-218,1972,785,-317,-223
01-OCT-2018,17,34359,A,33455,35646,33964,31208,1138,5911,1280,13052,0,6,5,1999,1047,-412,-369,1972,1057,-411,-373
01-OCT-2018,18,33623,A,32735,35057,33246,30452,1102,5911,2190,13052,0,11,9,1999,1059,-414,-509,1972,1061,-412,-507
01-OCT-2018,19,33407,A,32566,34863,33074,30155,1101,5911,3100,13052,0,7,6,1999,1060,-414,-535,1972,1061,-412,-529
01-OCT-2018,20,32605,A,31747,34062,32259,29293,1099,5911,3950,13052,0,7,9,1999,1059,-414,-536,1972,1060,-412,-529
01-OCT-2018,21,31774,A,31021,33231,31531,28487,1077,5911,4560,13052,0,8,8,1959,1060,-414,-535,1931,1061,-413,-529
01-OCT-2018,22,31237,A,30523,32694,31033,27935,1054,5911,5010,13052,0,7,10,1958,1059,-414,-536,1931,1061,-413,-529
01-OCT-2018,23,31195,A,30479,32652,30988,27871,1068,5911,5360,13052,0,7,8,1950,1059,-414,-536,1923,1061,-413,-529
01-OCT-2018,24,31115,A,30388,32571,30898,27794,1082,5911,5560,13052,0,7,8,1950,1058,-414,-535,1923,1060,-413,-529
01-OCT-2018,25,31153,A,30416,32609,30927,27824,1107,5911,5570,13052,0,7,10,1925,1004,-414,-535,1898,1002,-413,-529
01-OCT-2018,26,30934,A,30219,32369,30729,27643,1132,5911,5460,13052,0,7,10,1924,1000,-392,-536,1898,1002,-386,-529
01-OCT-2018,27,30891,A,30205,32206,30714,27614,1176,5911,5130,13052,0,7,8,1998,1001,-272,-536,1972,1002,-267,-529
01-OCT-2018,28,30830,A,30207,32193,30716,27572,1219,5911,4740,13052,0,7,8,1999,1001,-321,-535,1972,1002,-323,-529
01-OCT-2018,29,30800,A,30397,32208,30904,27578,1239,5911,4370,13052,52,5,5,1999,1001,-367,-536,1972,1002,-366,-529
01-OCT-2018,30,30924,A,30315,32250,30830,27718,1258,5911,4120,13052,156,10,16,1999,1001,-349,-467,1972,1002,-345,-458
01-OCT-2018,31,31081,A,30443,32156,30952,27883,1265,5911,3570,13052,35,6,9,1999,1001,-252,-317,1972,1002,-247,-308
01-OCT-2018,32,32159,A,31623,33089,32131,28988,1271,5911,2960,13052,0,5,5,1999,1000,-212,-213,1972,1002,-208,-207
01-OCT-2018,33,33685,A,33097,34414,33607,30450,1257,5911,2320,13052,0,7,11,1998,1001,-158,-64,1972,1002,-152,-60
01-OCT-2018,34,35035,A,34529,35590,35042,31756,1242,5911,1690,13052,0,7,13,1999,1000,-48,0,1972,1002,-42,0
01-OCT-2018,35,35987,A,35450,36495,35960,32750,1253,5911,1130,13052,0,8,11,1998,1058,82,0,1973,1060,90,0
01-OCT-2018,36,36816,A,36262,37326,36774,33716,1264,5911,633,13052,0,10,14,1999,1060,163,64,1972,1060,163,68
01-OCT-2018,37,37406,A,36847,37919,37357,34426,1333,5911,211,13052,0,13,19,1998,1060,163,108,1972,1061,163,112
01-OCT-2018,38,38179,A,37591,38689,38099,35273,1401,5911,12,13052,97,10,13,1999,1060,163,250,1972,1061,163,255
01-OCT-2018,39,38576,A,37938,39082,38444,35820,1507,5911,3,13052,108,6,8,1999,1059,163,297,1973,1061,163,293
01-OCT-2018,40,37854,A,37163,38359,37671,35285,1612,5911,6,13052,2,5,8,1999,1060,163,238,1973,1061,163,233
01-OCT-2018,41,36323,A,35600,36832,36104,33834,1674,5911,2,13052,0,9,2,1998,1059,160,145,1972,1061,158,141
01-OCT-2018,42,34520,A,33680,35031,34191,32222,1736,5911,1,13052,0,11,10,1999,1059,80,18,1972,1060,75,16
01-OCT-2018,43,32723,A,31757,33332,32269,30637,1795,5911,1,13052,0,11,12,1999,1003,-83,-15,1972,1002,-90,-20
