SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,FORECAST_ACTUAL_INDICATOR,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW
01-JUL-2022,1,20850,A,26386,18759,552,6545,0,13080,0,399,-1032,-1029,-727,0,464,-928,406,-921
01-JUL-2022,2,20273,A,26158,18252,537,6545,0,13080,0,752,-1032,-1029,-725,0,504,-926,339,-921
01-JUL-2022,3,19804,A,25858,17864,533,6545,0,13080,0,717,-1032,-1029,-837,0,504,-1018,77,-921
01-JUL-2022,4,19621,A,25688,17718,529,6545,0,13080,0,725,-1032,-1028,-840,0,504,-1021,32,-921
01-JUL-2022,5,19314,A,25243,17469,537,6545,0,13080,0,983,-984,-980,-441,0,504,-995,-124,-922
01-JUL-2022,6,18997,A,24933,17192,544,6545,0,13080,0,965,-982,-977,-423,0,504,-994,-173,-922
01-JUL-2022,7,18774,A,25210,17001,545,6545,0,13080,0,899,-1001,-988,-592,0,504,-981,-553,-922
01-JUL-2022,8,18697,A,25272,16917,546,6545,0,13080,0,974,-1001,-989,-601,0,504,-981,-607,-922
01-JUL-2022,9,18606,A,25712,16872,567,6545,0,13080,0,899,-1032,-1026,-1046,0,504,-994,-686,-923
01-JUL-2022,10,18454,A,25654,16739,587,6545,1,13080,0,977,-1033,-1029,-1067,0,504,-995,-676,-923
01-JUL-2022,11,18674,A,25649,16966,588,6545,40,13080,0,968,-1033,-1029,-1073,0,504,-1020,-429,-923
01-JUL-2022,12,19077,A,25943,17336,589,6545,166,13080,0,941,-1022,-1021,-1069,0,504,-1021,-369,-923
01-JUL-2022,13,20635,A,25600,18744,604,6545,378,13080,0,713,-533,-740,-537,0,504,-1021,10,-921
01-JUL-2022,14,21992,A,26252,19890,618,6545,740,13080,0,83,-506,-718,-511,0,492,-1021,88,-921
01-JUL-2022,15,23942,A,28234,21644,644,6545,1230,13080,0,9,-733,-639,-514,0,368,-976,460,-921
01-JUL-2022,16,24806,A,29080,22336,669,6545,1810,13080,0,3,-748,-642,-486,0,235,-974,537,-921
