Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
05/12/2018 00:00,05/12/2018,"System Entry Energy, STFergus-Mobil, D+1"," 176,629,200 ",06/12/2018 12:02,L
05/12/2018 00:00,05/12/2018,"System Entry Energy, STFergus-NSMP, D+1"," 371,462,266 ",06/12/2018 12:02,L
05/12/2018 00:00,05/12/2018,"System Entry Energy, STFergus-Shell, D+1"," 129,594,972 ",06/12/2018 12:02,L
15/08/2014 01:00,15/08/2014,"System Entry Energy, STFergus-Mobil, D+1"," 65,768,333 ",16/08/2014 12:04,L
15/08/2014 01:00,15/08/2014,"System Entry Energy, STFergus-NSMP, D+1"," 81,721,145 ",16/08/2014 12:04,L
15/08/2014 01:00,15/08/2014,"System Entry Energy, STFergus-Shell, D+1"," 127,120,867 ",16/08/2014 12:04,L
01/08/2016 01:00,01/08/2016,"NTS System Input Physical, Actual (Energy), D+1"," 1,926,535,414 ",04/08/2016 11:02,L
14/07/2017 01:00,14/07/2017,"NTS System Input Physical, Actual (Energy), D+1"," 2,122,503,183 ",15/07/2017 12:02,L
24/07/2018 01:00,24/07/2018,"NTS System Input Physical, Actual (Energy), D+1"," 1,933,881,932 ",27/07/2018 10:16,L
09/01/2018 00:00,09/01/2018,"NTS System Input Physical, Actual (Energy), D+1",2946444238,10/01/2018 17:02,A
09/01/2018 00:00,09/01/2018,"System Entry Energy, STFergus-Mobil, D+1",176817912,10/01/2018 12:02,L
09/01/2018 00:00,09/01/2018,"System Entry Energy, STFergus-NSMP, D+1",656799115,10/01/2018 12:02,L
09/01/2018 00:00,09/01/2018,"System Entry Energy, STFergus-Shell, D+1",230401819.5,10/01/2018 12:02,L
