Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"16/02/2023 00:00:00","16/02/2023","NTS System Input Physical, Actual (Energy), D+1","2961315090.0000","17/02/2023 14:01:00","A"
"16/02/2023 00:00:00","16/02/2023","NTS System Input Physical, Actual (Energy), D+1","2961124703.0000","17/02/2023 12:01:00","L"
"16/02/2023 00:00:00","16/02/2023","System Entry Energy, STFergus-Mobil, D+1","160624464.0000","17/02/2023 12:01:00","L"
"16/02/2023 00:00:00","16/02/2023","System Entry Energy, STFergus-NSMP, D+1","156330000.0000","17/02/2023 12:01:00","L"
"16/02/2023 00:00:00","16/02/2023","System Entry Energy, STFergus-Shell, D+1","280483385.0000","17/02/2023 12:01:00","L"
"15/02/2023 00:00:00","15/02/2023","NTS System Input Physical, Actual (Energy), D+1","3122686546.0000","16/02/2023 14:01:00","A"
"15/02/2023 00:00:00","15/02/2023","System Entry Energy, STFergus-NSMP, D+1","197633346.0000","16/02/2023 14:01:00","A"
"15/02/2023 00:00:00","15/02/2023","NTS System Input Physical, Actual (Energy), D+1","3122683199.0000","16/02/2023 12:01:00","L"
"15/02/2023 00:00:00","15/02/2023","System Entry Energy, STFergus-Mobil, D+1","156905152.0000","16/02/2023 12:01:00","L"
"15/02/2023 00:00:00","15/02/2023","System Entry Energy, STFergus-NSMP, D+1","197630000.0000","16/02/2023 12:01:00","L"
"15/02/2023 00:00:00","15/02/2023","System Entry Energy, STFergus-Shell, D+1","280483385.0000","16/02/2023 12:01:00","L"
"14/02/2023 00:00:00","14/02/2023","NTS System Input Physical, Actual (Energy), D+1","3283718125.0000","15/02/2023 12:01:01","L"
"14/02/2023 00:00:00","14/02/2023","System Entry Energy, STFergus-Mobil, D+1","156176192.0000","15/02/2023 12:01:01","L"
"14/02/2023 00:00:00","14/02/2023","System Entry Energy, STFergus-NSMP, D+1","195498242.0000","15/02/2023 12:01:01","L"
"14/02/2023 00:00:00","14/02/2023","System Entry Energy, STFergus-Shell, D+1","270020729.0000","15/02/2023 12:01:01","L"
"13/02/2023 00:00:00","13/02/2023","NTS System Input Physical, Actual (Energy), D+1","3241109472.0000","14/02/2023 16:01:00","A"
"13/02/2023 00:00:00","13/02/2023","System Entry Energy, STFergus-NSMP, D+1","196107982.0000","14/02/2023 16:01:00","A"
"13/02/2023 00:00:00","13/02/2023","NTS System Input Physical, Actual (Energy), D+1","3240951752.0000","14/02/2023 12:01:00","L"
"13/02/2023 00:00:00","13/02/2023","System Entry Energy, STFergus-Mobil, D+1","145611184.0000","14/02/2023 12:01:00","L"
"13/02/2023 00:00:00","13/02/2023","System Entry Energy, STFergus-NSMP, D+1","196110000.0000","14/02/2023 12:01:00","L"
"13/02/2023 00:00:00","13/02/2023","System Entry Energy, STFergus-Shell, D+1","283211719.0000","14/02/2023 12:01:00","L"
"12/02/2023 00:00:00","12/02/2023","NTS System Input Physical, Actual (Energy), D+1","3001799733.0000","13/02/2023 16:01:00","A"
"12/02/2023 00:00:00","12/02/2023","System Entry Energy, STFergus-NSMP, D+1","185248609.0000","13/02/2023 16:01:00","A"
"12/02/2023 00:00:00","12/02/2023","NTS System Input Physical, Actual (Energy), D+1","3001801124.0000","13/02/2023 12:01:01","L"
"12/02/2023 00:00:00","12/02/2023","System Entry Energy, STFergus-Mobil, D+1","134216904.0000","13/02/2023 12:01:01","L"
"12/02/2023 00:00:00","12/02/2023","System Entry Energy, STFergus-NSMP, D+1","185250000.0000","13/02/2023 12:01:01","L"
"12/02/2023 00:00:00","12/02/2023","System Entry Energy, STFergus-Shell, D+1","277709132.0000","13/02/2023 12:01:01","L"
"11/02/2023 00:00:00","11/02/2023","NTS System Input Physical, Actual (Energy), D+1","2920392834.0000","12/02/2023 12:01:01","L"
"11/02/2023 00:00:00","11/02/2023","System Entry Energy, STFergus-Mobil, D+1","136815456.0000","12/02/2023 12:01:01","L"
"11/02/2023 00:00:00","11/02/2023","System Entry Energy, STFergus-NSMP, D+1","188550000.0000","12/02/2023 12:01:01","L"
"11/02/2023 00:00:00","11/02/2023","System Entry Energy, STFergus-Shell, D+1","285778281.0000","12/02/2023 12:01:01","L"
"10/02/2023 00:00:00","10/02/2023","NTS System Input Physical, Actual (Energy), D+1","3245190439.0000","11/02/2023 12:01:00","L"
"10/02/2023 00:00:00","10/02/2023","System Entry Energy, STFergus-Mobil, D+1","123068880.0000","11/02/2023 12:01:00","L"
"10/02/2023 00:00:00","10/02/2023","System Entry Energy, STFergus-NSMP, D+1","175920000.0000","11/02/2023 12:01:00","L"
"10/02/2023 00:00:00","10/02/2023","System Entry Energy, STFergus-Shell, D+1","285778281.0000","11/02/2023 12:01:00","L"
"09/02/2023 00:00:00","09/02/2023","NTS System Input Physical, Actual (Energy), D+1","3530221414.0000","10/02/2023 12:01:01","L"
"09/02/2023 00:00:00","09/02/2023","System Entry Energy, STFergus-Mobil, D+1","125618504.0000","10/02/2023 12:01:01","L"
"09/02/2023 00:00:00","09/02/2023","System Entry Energy, STFergus-NSMP, D+1","160441986.0000","10/02/2023 12:01:01","L"
"09/02/2023 00:00:00","09/02/2023","System Entry Energy, STFergus-Shell, D+1","285778281.0000","10/02/2023 12:01:01","L"
"08/02/2023 00:00:00","08/02/2023","NTS System Input Physical, Actual (Energy), D+1","3553002266.0000","09/02/2023 16:01:00","A"
"08/02/2023 00:00:00","08/02/2023","System Entry Energy, STFergus-NSMP, D+1","158634269.0000","09/02/2023 16:01:00","A"
"08/02/2023 00:00:00","08/02/2023","NTS System Input Physical, Actual (Energy), D+1","3552997997.0000","09/02/2023 14:01:00","A"
"08/02/2023 00:00:00","08/02/2023","NTS System Input Physical, Actual (Energy), D+1","3567232882.0000","09/02/2023 12:01:01","L"
"08/02/2023 00:00:00","08/02/2023","System Entry Energy, STFergus-Mobil, D+1","130724040.0000","09/02/2023 12:01:01","L"
"08/02/2023 00:00:00","08/02/2023","System Entry Energy, STFergus-NSMP, D+1","158630000.0000","09/02/2023 12:01:01","L"
"08/02/2023 00:00:00","08/02/2023","System Entry Energy, STFergus-Shell, D+1","269744809.0000","09/02/2023 12:01:01","L"
"07/02/2023 00:00:00","07/02/2023","NTS System Input Physical, Actual (Energy), D+1","3759497410.0000","08/02/2023 14:01:00","A"
"07/02/2023 00:00:00","07/02/2023","System Entry Energy, STFergus-NSMP, D+1","154458433.0000","08/02/2023 14:01:00","A"
"07/02/2023 00:00:00","07/02/2023","NTS System Input Physical, Actual (Energy), D+1","3708931539.0000","08/02/2023 12:01:00","L"
"07/02/2023 00:00:00","07/02/2023","System Entry Energy, STFergus-Mobil, D+1","122356496.0000","08/02/2023 12:01:00","L"
"07/02/2023 00:00:00","07/02/2023","System Entry Energy, STFergus-NSMP, D+1","154460000.0000","08/02/2023 12:01:00","L"
"07/02/2023 00:00:00","07/02/2023","System Entry Energy, STFergus-Shell, D+1","250645729.0000","08/02/2023 12:01:00","L"
"06/02/2023 00:00:00","06/02/2023","NTS System Input Physical, Actual (Energy), D+1","3568279843.0000","07/02/2023 12:01:01","L"
"06/02/2023 00:00:00","06/02/2023","System Entry Energy, STFergus-Mobil, D+1","120786560.0000","07/02/2023 12:01:01","L"
"06/02/2023 00:00:00","06/02/2023","System Entry Energy, STFergus-NSMP, D+1","122457164.0000","07/02/2023 12:01:01","L"
"06/02/2023 00:00:00","06/02/2023","System Entry Energy, STFergus-Shell, D+1","220837170.0000","07/02/2023 12:01:01","L"
"05/02/2023 00:00:00","05/02/2023","NTS System Input Physical, Actual (Energy), D+1","2942046448.0000","06/02/2023 16:01:01","A"
"05/02/2023 00:00:00","05/02/2023","System Entry Energy, STFergus-NSMP, D+1","134440132.0000","06/02/2023 16:01:01","A"
"05/02/2023 00:00:00","05/02/2023","NTS System Input Physical, Actual (Energy), D+1","2942046316.0000","06/02/2023 14:01:00","A"
"05/02/2023 00:00:00","05/02/2023","System Entry Energy, STFergus-Shell, D+1","206257743.0000","06/02/2023 14:01:00","A"
"05/02/2023 00:00:00","05/02/2023","NTS System Input Physical, Actual (Energy), D+1","2941328382.0000","06/02/2023 12:01:01","L"
"05/02/2023 00:00:00","05/02/2023","System Entry Energy, STFergus-Mobil, D+1","137895232.0000","06/02/2023 12:01:01","L"
"05/02/2023 00:00:00","05/02/2023","System Entry Energy, STFergus-NSMP, D+1","134440000.0000","06/02/2023 12:01:01","L"
"05/02/2023 00:00:00","05/02/2023","System Entry Energy, STFergus-Shell, D+1","205539809.0000","06/02/2023 12:01:01","L"
