Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
30/07/2023 01:00,30/07/2023,"NTS System Input Physical, Actual (Energy), D+1",1868832156,31/07/2023 14:01,A
30/07/2023 01:00,30/07/2023,"System Entry Energy, STFergus-Mobil, D+1",89711648,31/07/2023 12:01,L
30/07/2023 01:00,30/07/2023,"System Entry Energy, STFergus-NSMP, D+1",110112917,31/07/2023 14:01,A
30/07/2023 01:00,30/07/2023,"System Entry Energy, STFergus-Shell, D+1",268908439,31/07/2023 14:01,A
29/07/2023 01:00,29/07/2023,"NTS System Input Physical, Actual (Energy), D+1",1925705636,30/07/2023 14:01,A
29/07/2023 01:00,29/07/2023,"System Entry Energy, STFergus-Mobil, D+1",109389280,30/07/2023 12:01,L
29/07/2023 01:00,29/07/2023,"System Entry Energy, STFergus-NSMP, D+1",112080000,30/07/2023 12:01,L
29/07/2023 01:00,29/07/2023,"System Entry Energy, STFergus-Shell, D+1",289253064,30/07/2023 14:01,A
28/07/2023 01:00,28/07/2023,"NTS System Input Physical, Actual (Energy), D+1",1919700343,29/07/2023 12:01,L
28/07/2023 01:00,28/07/2023,"System Entry Energy, STFergus-Mobil, D+1",130817480,29/07/2023 12:01,L
28/07/2023 01:00,28/07/2023,"System Entry Energy, STFergus-NSMP, D+1",124259000,29/07/2023 12:01,L
28/07/2023 01:00,28/07/2023,"System Entry Energy, STFergus-Shell, D+1",253508943,29/07/2023 12:01,L
27/07/2023 01:00,27/07/2023,"NTS System Input Physical, Actual (Energy), D+1",1990325917,28/07/2023 12:01,L
27/07/2023 01:00,27/07/2023,"System Entry Energy, STFergus-Mobil, D+1",130395568,28/07/2023 12:01,L
27/07/2023 01:00,27/07/2023,"System Entry Energy, STFergus-NSMP, D+1",123518151,28/07/2023 12:01,L
27/07/2023 01:00,27/07/2023,"System Entry Energy, STFergus-Shell, D+1",253508943,28/07/2023 12:01,L
26/07/2023 01:00,26/07/2023,"NTS System Input Physical, Actual (Energy), D+1",1936303760,27/07/2023 14:01,A
26/07/2023 01:00,26/07/2023,"System Entry Energy, STFergus-Mobil, D+1",138049632,27/07/2023 12:01,L
26/07/2023 01:00,26/07/2023,"System Entry Energy, STFergus-NSMP, D+1",124559193,27/07/2023 12:01,L
26/07/2023 01:00,26/07/2023,"System Entry Energy, STFergus-Shell, D+1",252393508,27/07/2023 12:01,L
25/07/2023 01:00,25/07/2023,"NTS System Input Physical, Actual (Energy), D+1",2054409546,26/07/2023 12:01,L
25/07/2023 01:00,25/07/2023,"System Entry Energy, STFergus-Mobil, D+1",143455680,26/07/2023 12:01,L
25/07/2023 01:00,25/07/2023,"System Entry Energy, STFergus-NSMP, D+1",122807917,26/07/2023 12:01,L
25/07/2023 01:00,25/07/2023,"System Entry Energy, STFergus-Shell, D+1",290379082,26/07/2023 12:01,L
24/07/2023 01:00,24/07/2023,"NTS System Input Physical, Actual (Energy), D+1",2006157474,25/07/2023 14:01,A
24/07/2023 01:00,24/07/2023,"System Entry Energy, STFergus-Mobil, D+1",144114720,25/07/2023 12:01,L
24/07/2023 01:00,24/07/2023,"System Entry Energy, STFergus-NSMP, D+1",121347682,25/07/2023 14:01,A
24/07/2023 01:00,24/07/2023,"System Entry Energy, STFergus-Shell, D+1",270018422,25/07/2023 12:01,L
23/07/2023 01:00,23/07/2023,"NTS System Input Physical, Actual (Energy), D+1",2002564300,24/07/2023 16:01,A
23/07/2023 01:00,23/07/2023,"System Entry Energy, STFergus-Mobil, D+1",146356240,24/07/2023 12:01,L
23/07/2023 01:00,23/07/2023,"System Entry Energy, STFergus-NSMP, D+1",120500234,24/07/2023 14:01,A
23/07/2023 01:00,23/07/2023,"System Entry Energy, STFergus-Shell, D+1",268891564,24/07/2023 12:01,L
22/07/2023 01:00,22/07/2023,"NTS System Input Physical, Actual (Energy), D+1",1933194099,23/07/2023 12:01,L
22/07/2023 01:00,22/07/2023,"System Entry Energy, STFergus-Mobil, D+1",139770336,23/07/2023 12:01,L
22/07/2023 01:00,22/07/2023,"System Entry Energy, STFergus-NSMP, D+1",120070000,23/07/2023 12:01,L
22/07/2023 01:00,22/07/2023,"System Entry Energy, STFergus-Shell, D+1",275514240,23/07/2023 12:01,L
21/07/2023 01:00,21/07/2023,"NTS System Input Physical, Actual (Energy), D+1",1861528268,22/07/2023 12:01,L
21/07/2023 01:00,21/07/2023,"System Entry Energy, STFergus-Mobil, D+1",143295536,22/07/2023 12:01,L
21/07/2023 01:00,21/07/2023,"System Entry Energy, STFergus-NSMP, D+1",121420000,22/07/2023 12:01,L
21/07/2023 01:00,21/07/2023,"System Entry Energy, STFergus-Shell, D+1",271320000,22/07/2023 12:01,L
20/07/2023 01:00,20/07/2023,"NTS System Input Physical, Actual (Energy), D+1",1971111135,21/07/2023 12:01,L
20/07/2023 01:00,20/07/2023,"System Entry Energy, STFergus-Mobil, D+1",147297552,21/07/2023 12:01,L
20/07/2023 01:00,20/07/2023,"System Entry Energy, STFergus-NSMP, D+1",119298792,21/07/2023 12:01,L
20/07/2023 01:00,20/07/2023,"System Entry Energy, STFergus-Shell, D+1",265211252,21/07/2023 12:01,L
19/07/2023 01:00,19/07/2023,"NTS System Input Physical, Actual (Energy), D+1",2000605474,20/07/2023 12:01,L
19/07/2023 01:00,19/07/2023,"System Entry Energy, STFergus-Mobil, D+1",123891880,20/07/2023 12:01,L
19/07/2023 01:00,19/07/2023,"System Entry Energy, STFergus-NSMP, D+1",125927982,20/07/2023 12:01,L
19/07/2023 01:00,19/07/2023,"System Entry Energy, STFergus-Shell, D+1",278336165,20/07/2023 12:01,L
18/07/2023 01:00,18/07/2023,"NTS System Input Physical, Actual (Energy), D+1",2061833725,19/07/2023 14:01,A
18/07/2023 01:00,18/07/2023,"System Entry Energy, STFergus-Mobil, D+1",148299184,19/07/2023 12:01,L
18/07/2023 01:00,18/07/2023,"System Entry Energy, STFergus-NSMP, D+1",133561061,19/07/2023 14:01,A
18/07/2023 01:00,18/07/2023,"System Entry Energy, STFergus-Shell, D+1",283561009,19/07/2023 12:01,L
17/07/2023 01:00,17/07/2023,"NTS System Input Physical, Actual (Energy), D+1",1971906284,18/07/2023 12:01,L
17/07/2023 01:00,17/07/2023,"System Entry Energy, STFergus-Mobil, D+1",150387744,18/07/2023 12:01,L
17/07/2023 01:00,17/07/2023,"System Entry Energy, STFergus-NSMP, D+1",129369386,18/07/2023 12:01,L
17/07/2023 01:00,17/07/2023,"System Entry Energy, STFergus-Shell, D+1",274762691,18/07/2023 12:01,L
16/07/2023 01:00,16/07/2023,"NTS System Input Physical, Actual (Energy), D+1",1839790599,17/07/2023 14:01,A
16/07/2023 01:00,16/07/2023,"System Entry Energy, STFergus-Mobil, D+1",156723440,17/07/2023 12:01,L
16/07/2023 01:00,16/07/2023,"System Entry Energy, STFergus-NSMP, D+1",127421971,17/07/2023 14:01,A
16/07/2023 01:00,16/07/2023,"System Entry Energy, STFergus-Shell, D+1",206818924,17/07/2023 12:01,L
15/07/2023 01:00,15/07/2023,"NTS System Input Physical, Actual (Energy), D+1",1703980458,16/07/2023 12:01,L
15/07/2023 01:00,15/07/2023,"System Entry Energy, STFergus-Mobil, D+1",165675152,16/07/2023 12:01,L
15/07/2023 01:00,15/07/2023,"System Entry Energy, STFergus-NSMP, D+1",123430000,16/07/2023 12:01,L
15/07/2023 01:00,15/07/2023,"System Entry Energy, STFergus-Shell, D+1",289897361,16/07/2023 12:01,L
14/07/2023 01:00,14/07/2023,"NTS System Input Physical, Actual (Energy), D+1",1411352403,15/07/2023 14:01,A
14/07/2023 01:00,14/07/2023,"System Entry Energy, STFergus-Mobil, D+1",165300368,15/07/2023 12:01,L
