Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
27/08/2013 01:00,01/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",220187865,28/08/2013 12:02,L
27/08/2013 01:00,02/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",206503200,28/08/2013 12:02,L
27/08/2013 01:00,03/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",199869327,28/08/2013 12:02,L
27/08/2013 01:00,04/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",193421846,28/08/2013 12:02,L
27/08/2013 01:00,05/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",186814916,28/08/2013 12:02,L
27/08/2013 01:00,06/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",198252470,28/08/2013 12:02,L
27/08/2013 01:00,07/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",199706934,28/08/2013 12:02,L
27/08/2013 01:00,08/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",202451129,28/08/2013 12:02,L
27/08/2013 01:00,09/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",237035803,28/08/2013 12:02,L
27/08/2013 01:00,10/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",289925809,28/08/2013 12:02,L
27/08/2013 01:00,11/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",285527663,28/08/2013 12:02,L
27/08/2013 01:00,12/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",286856846,28/08/2013 12:02,L
27/08/2013 01:00,13/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",301772020,28/08/2013 12:02,L
27/08/2013 01:00,14/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",311297181,28/08/2013 12:02,L
27/08/2013 01:00,15/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",332868037,28/08/2013 12:02,L
27/08/2013 01:00,16/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",334114795,28/08/2013 12:02,L
27/08/2013 01:00,17/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",313487047,28/08/2013 12:02,L
27/08/2013 01:00,18/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",287251126,28/08/2013 12:02,L
27/08/2013 01:00,19/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",270862339,28/08/2013 12:02,L
27/08/2013 01:00,20/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",272285353,28/08/2013 12:02,L
27/08/2013 01:00,21/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",298156041,28/08/2013 12:02,L
27/08/2013 01:00,22/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",336555307,28/08/2013 12:02,L
27/08/2013 01:00,23/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",336682893,28/08/2013 12:02,L
27/08/2013 01:00,24/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",326834738,28/08/2013 12:02,L
27/08/2013 01:00,25/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",306783056,28/08/2013 12:02,L
27/08/2013 01:00,26/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",240721455,28/08/2013 12:02,L
27/08/2013 01:00,27/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",244318302,28/08/2013 12:02,L
27/08/2013 01:00,28/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",257499584,28/08/2013 12:02,L
27/08/2013 01:00,29/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",236999890,28/08/2013 12:02,L
27/08/2013 01:00,30/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",244041402,28/08/2013 12:02,L
27/08/2013 01:00,31/01/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",250217033,28/08/2013 12:02,L
27/08/2013 01:00,01/02/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",247174668,28/08/2013 12:02,L
27/08/2013 01:00,02/02/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",249415275,28/08/2013 12:02,L
27/08/2013 01:00,03/02/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",234231560,28/08/2013 12:02,L
27/08/2013 01:00,04/02/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",270250171,28/08/2013 12:02,L
27/08/2013 01:00,05/02/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",275936804,28/08/2013 12:02,L
27/08/2013 01:00,06/02/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",273461691,28/08/2013 12:02,L
27/08/2013 01:00,07/02/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",313460385,28/08/2013 12:02,L
27/08/2013 01:00,08/02/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",303977871,28/08/2013 12:02,L
27/08/2013 01:00,09/02/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",286438054,28/08/2013 12:02,L
27/08/2013 01:00,10/02/2013,"NTS Energy Offtaken, Peterhead, NTS Power Station",286016415,28/08/2013 12:02,L
