Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"18/08/2022 19:14:15","12/08/2022","Demand, Actual DM, LDZ(SC), D+6","19291317.0000","18/08/2022 19:17:01","L"
"18/08/2022 19:14:15","12/08/2022","Demand, Actual NDM, LDZ(SC), D+6","32351817.0000","18/08/2022 19:17:01","L"
"18/08/2022 09:48:03","17/08/2022","NTS Energy Offtaken, Moffat, Interconnector","177611111.0000","18/08/2022 11:30:00",""
"18/08/2022 01:00:00","18/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","2188889.0000","19/08/2022 12:01:01","L"
"18/08/2022 01:00:00","18/08/2022","NTS Energy Offtaken, Peterhead, NTS Power Station","0.0000","19/08/2022 12:01:01","L"
"17/08/2022 19:15:12","11/08/2022","Demand, Actual DM, LDZ(SC), D+6","19584818.0000","17/08/2022 19:20:01","L"
"17/08/2022 19:15:12","11/08/2022","Demand, Actual NDM, LDZ(SC), D+6","33972464.0000","17/08/2022 19:20:01","L"
"17/08/2022 09:19:48","16/08/2022","NTS Energy Offtaken, Moffat, Interconnector","139388889.0000","17/08/2022 11:30:00",""
"17/08/2022 01:00:00","17/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","11139445.0000","18/08/2022 12:01:00","L"
"17/08/2022 01:00:00","17/08/2022","NTS Energy Offtaken, Peterhead, NTS Power Station","39294444.0000","18/08/2022 12:01:00","L"
"16/08/2022 19:14:53","10/08/2022","Demand, Actual DM, LDZ(SC), D+6","19549211.0000","16/08/2022 19:19:01","L"
"16/08/2022 19:14:53","10/08/2022","Demand, Actual NDM, LDZ(SC), D+6","33970755.0000","16/08/2022 19:19:01","L"
"16/08/2022 09:19:20","15/08/2022","NTS Energy Offtaken, Moffat, Interconnector","167572222.0000","16/08/2022 11:30:00",""
"16/08/2022 01:00:00","16/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","11202542.0000","17/08/2022 19:01:00","A"
"16/08/2022 01:00:00","16/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","2160000.0000","17/08/2022 12:01:01","L"
"16/08/2022 01:00:00","16/08/2022","NTS Energy Offtaken, Peterhead, NTS Power Station","13538889.0000","17/08/2022 12:01:01","L"
"15/08/2022 19:14:33","09/08/2022","Demand, Actual DM, LDZ(SC), D+6","18421648.0000","15/08/2022 19:18:00","L"
"15/08/2022 19:14:33","09/08/2022","Demand, Actual NDM, LDZ(SC), D+6","33970993.0000","15/08/2022 19:18:00","L"
"15/08/2022 08:26:20","14/08/2022","NTS Energy Offtaken, Moffat, Interconnector","170647222.0000","15/08/2022 11:30:00",""
"15/08/2022 01:00:00","15/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","10502685.0000","16/08/2022 12:01:00","L"
"15/08/2022 01:00:00","15/08/2022","NTS Energy Offtaken, Peterhead, NTS Power Station","47977778.0000","16/08/2022 12:01:00","L"
"14/08/2022 19:14:31","08/08/2022","Demand, Actual DM, LDZ(SC), D+6","17566190.0000","14/08/2022 19:18:00","L"
"14/08/2022 19:14:31","08/08/2022","Demand, Actual NDM, LDZ(SC), D+6","40282050.0000","14/08/2022 19:18:00","L"
"14/08/2022 10:31:44","13/08/2022","NTS Energy Offtaken, Moffat, Interconnector","172277778.0000","14/08/2022 11:30:00",""
"14/08/2022 01:00:00","14/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","10453758.0000","15/08/2022 14:01:01","A"
"14/08/2022 01:00:00","14/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","10379120.0000","15/08/2022 12:01:01","L"
"14/08/2022 01:00:00","14/08/2022","NTS Energy Offtaken, Peterhead, NTS Power Station","52794444.0000","15/08/2022 12:01:01","L"
"13/08/2022 19:14:50","07/08/2022","Demand, Actual DM, LDZ(SC), D+6","15723781.0000","13/08/2022 19:18:00","L"
"13/08/2022 19:14:50","07/08/2022","Demand, Actual NDM, LDZ(SC), D+6","35760340.0000","13/08/2022 19:18:00","L"
"13/08/2022 08:32:18","12/08/2022","NTS Energy Offtaken, Moffat, Interconnector","179236111.0000","13/08/2022 11:30:00",""
"13/08/2022 01:00:00","13/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","10311353.0000","14/08/2022 12:01:00","L"
"13/08/2022 01:00:00","13/08/2022","NTS Energy Offtaken, Peterhead, NTS Power Station","51122222.0000","14/08/2022 12:01:00","L"
"12/08/2022 19:13:59","06/08/2022","Demand, Actual DM, LDZ(SC), D+6","15191378.0000","12/08/2022 19:17:01","L"
"12/08/2022 19:13:59","06/08/2022","Demand, Actual NDM, LDZ(SC), D+6","37365507.0000","12/08/2022 19:17:01","L"
"12/08/2022 09:37:45","11/08/2022","NTS Energy Offtaken, Moffat, Interconnector","176480556.0000","12/08/2022 11:30:00",""
"12/08/2022 01:00:00","12/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","10432497.0000","13/08/2022 12:01:00","L"
"12/08/2022 01:00:00","12/08/2022","NTS Energy Offtaken, Peterhead, NTS Power Station","54355556.0000","13/08/2022 12:01:00","L"
"11/08/2022 19:15:31","05/08/2022","Demand, Actual DM, LDZ(SC), D+6","16891415.0000","11/08/2022 19:19:00","L"
"11/08/2022 19:15:31","05/08/2022","Demand, Actual NDM, LDZ(SC), D+6","43661328.0000","11/08/2022 19:19:00","L"
"11/08/2022 09:55:58","10/08/2022","NTS Energy Offtaken, Moffat, Interconnector","181344444.0000","11/08/2022 11:30:00",""
"11/08/2022 01:00:00","11/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","10943230.0000","12/08/2022 14:01:01","A"
