data.regionid,data.dnoregion,data.shortname,data.data.from,data.data.to,data.data.intensity.forecast,data.data.intensity.index,biomass,coal,gas,hydro,imports,nuclear,other,solar,wind
1,Scottish Hydro Electric Power Distribution,North Scotland,2019-12-31T23:30Z,2020-01-01T00:00Z,48,very low,0,0,12.2,27.1,0,0,0,0,60.7
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T00:00Z,2020-01-01T00:30Z,50,very low,0,0,13,25.5,0,0,0,0,61.5
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T00:30Z,2020-01-01T01:00Z,49,very low,0,0,12.6,25,0,0,0,0,62.4
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T01:00Z,2020-01-01T01:30Z,45,very low,0,0,12,24.2,0,0,0,0,63.8
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T01:30Z,2020-01-01T02:00Z,44,very low,0,0,11.1,24.2,0,0,0,0,64.7
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T02:00Z,2020-01-01T02:30Z,42,very low,0,0,11.1,23.2,0,0,0,0,65.7
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T02:30Z,2020-01-01T03:00Z,46,very low,0,0,11.2,22.4,0,0,0,0,66.4
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T03:00Z,2020-01-01T03:30Z,46,very low,0,0,12.2,21.3,0,0,0,0,66.5
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T03:30Z,2020-01-01T04:00Z,44,very low,0,0,11.7,20.2,0,0,0,0,68.1
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T04:00Z,2020-01-01T04:30Z,38,very low,0,0,10.3,19,0,0,0,0,70.7
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T04:30Z,2020-01-01T05:00Z,31,very low,0,0,8.3,18.4,0,0,0,0,73.3
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T05:00Z,2020-01-01T05:30Z,27,very low,0,0,7.1,19.8,0,0,0,0,73.1
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T05:30Z,2020-01-01T06:00Z,25,very low,0,0,6.5,19.9,0,0,0,0,73.6
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T06:00Z,2020-01-01T06:30Z,25,very low,0,0,6.5,19.6,0,0,0,0,73.9
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T06:30Z,2020-01-01T07:00Z,26,very low,0,0,6.8,19.7,0,0,0,0,73.5
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T07:00Z,2020-01-01T07:30Z,26,very low,0,0,6.9,23,0,0,0,0,70.1
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T07:30Z,2020-01-01T08:00Z,25,very low,0,0,6.8,25.2,0,0,0,0,68
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T08:00Z,2020-01-01T08:30Z,25,very low,0,0,6.3,25.7,0,0,0,0,68
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T08:30Z,2020-01-01T09:00Z,30,very low,0,0,7.8,23.7,0,0,0,0,68.5
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T09:00Z,2020-01-01T09:30Z,33,very low,0,0,8.6,26.1,0,0,0,0,65.3
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T09:30Z,2020-01-01T10:00Z,34,very low,0,0,8.8,26.1,0,0,0,0,65.1
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T10:00Z,2020-01-01T10:30Z,36,very low,0,0,9,24.6,0,0,0,0,66.4
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T10:30Z,2020-01-01T11:00Z,45,very low,0,0,11.4,19,0,0,0,0,69.6
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T11:00Z,2020-01-01T11:30Z,50,very low,0,0,13,19,0,0,0,0,68
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T11:30Z,2020-01-01T12:00Z,49,very low,0,0,13.1,18.8,0,0,0,0,68.1
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T12:00Z,2020-01-01T12:30Z,46,very low,0,0,11.8,19.7,0,0,0,0,68.5
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T12:30Z,2020-01-01T13:00Z,45,very low,0,0,11.9,19.9,0,0,0,0,68.2
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T13:00Z,2020-01-01T13:30Z,41,very low,0,0,11.3,19.4,0,0,0,0,69.3
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T13:30Z,2020-01-01T14:00Z,39,very low,0,0,9.7,20,0,0,0,0,70.3
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T14:00Z,2020-01-01T14:30Z,34,very low,0,0,9.1,20.4,0,0,0,0,70.5
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T14:30Z,2020-01-01T15:00Z,32,very low,0,0,8.6,22.5,0,0,0,0,68.9
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T15:00Z,2020-01-01T15:30Z,27,very low,0,0,7.2,24.2,0,0,0,0,68.6
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T15:30Z,2020-01-01T16:00Z,24,very low,0,0,6.1,24.2,0,0,0,0,69.7
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T16:00Z,2020-01-01T16:30Z,24,very low,0,0,6.4,24.5,0,0,0,0,69.1
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T16:30Z,2020-01-01T17:00Z,22,very low,0,0,5.7,26,0,0,0,0,68.3
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T17:00Z,2020-01-01T17:30Z,21,very low,0,0,5.7,26.7,0,0,0,0,67.6
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T17:30Z,2020-01-01T18:00Z,17,very low,0,0,4.6,28.3,0,0,0,0,67.1
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T18:00Z,2020-01-01T18:30Z,15,very low,0,0,3.6,30.5,0,0,0,0,65.9
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T18:30Z,2020-01-01T19:00Z,17,very low,0,0,4.6,19.7,0,0,0,0,75.7
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T19:00Z,2020-01-01T19:30Z,20,very low,0,0,4.6,18.7,0,0,0,0,76.7
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T19:30Z,2020-01-01T20:00Z,30,very low,0,0,7.5,14.5,0,0,0,0,78
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T20:00Z,2020-01-01T20:30Z,32,very low,0,0,8.5,11.5,0,0,0,0,80
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T20:30Z,2020-01-01T21:00Z,30,very low,0,0,7.5,9.3,0,0,0,0,83.2
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T21:00Z,2020-01-01T21:30Z,29,very low,0,0,7.9,8.1,0,0,0,0,84
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T21:30Z,2020-01-01T22:00Z,25,very low,0,0,6.6,9.7,0,0,0,0,83.7
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T22:00Z,2020-01-01T22:30Z,23,very low,0,0,5.7,9.3,0,0,0,0,85
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T22:30Z,2020-01-01T23:00Z,23,very low,0,0,6.2,10.6,0,0,0,0,83.2
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T23:00Z,2020-01-01T23:30Z,18,very low,0,0,5.1,10.4,0,0,0,0,84.5
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-01T23:30Z,2020-01-02T00:00Z,11,very low,0,0,3.2,13.4,0,0,0,0,83.4
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-02T00:00Z,2020-01-02T00:30Z,9,very low,0,0,2.3,12.7,0,0,0,0,85
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-02T00:30Z,2020-01-02T01:00Z,8,very low,0,0,2.3,14.7,0,0,0,0,83
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-02T01:00Z,2020-01-02T01:30Z,7,very low,0,0,1.9,16.2,0,0,0,0,81.9
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-02T01:30Z,2020-01-02T02:00Z,7,very low,0,0,2,19.5,0,0,0,0,78.5
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-02T02:00Z,2020-01-02T02:30Z,8,very low,0,0,2.2,20,0,0,0,0,77.8
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-02T02:30Z,2020-01-02T03:00Z,0,very low,0,0,0,23.1,0,0,0,0,76.9
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-02T03:00Z,2020-01-02T03:30Z,0,very low,0,0,0,23.4,0,0,0,0,76.6
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-02T03:30Z,2020-01-02T04:00Z,0,very low,0,0,0,20.2,0,0,0,0,79.8
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-02T04:00Z,2020-01-02T04:30Z,0,very low,0,0,0,19.2,0,0,0,0,80.8
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-02T04:30Z,2020-01-02T05:00Z,0,very low,0,0,0,18.6,0,0,0,0,81.4
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-02T05:00Z,2020-01-02T05:30Z,0,very low,0,0,0,17.3,0,0,0,0,82.7
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-02T05:30Z,2020-01-02T06:00Z,0,very low,0,0,0,15.9,0,0,0,0,84.1
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-02T06:00Z,2020-01-02T06:30Z,0,very low,0,0,0,15.1,0,0,0,0,84.9
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-02T06:30Z,2020-01-02T07:00Z,0,very low,0,0,0,16.7,0,0,0,0,83.3
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-02T07:00Z,2020-01-02T07:30Z,0,very low,0,0,0,18.6,0,0,0,0,81.4
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-02T07:30Z,2020-01-02T08:00Z,0,very low,0,0,0.1,17.5,0,0,0,0,82.4
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-02T08:00Z,2020-01-02T08:30Z,0,very low,0,0,0,18,0,0,0,0,82
1,Scottish Hydro Electric Power Distribution,North Scotland,2020-01-02T08:30Z,2020-01-02T09:00Z,1,very low,0,0,0.3,24.3,0,0,0,0,75.4
