SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW
01-JAN-2015,1,28726,28787,29490,29552,26351,2211,4039,0,5994,0,18,20,980,854,-25,-121,0,1003,854,-25,-121
01-JAN-2015,2,29391,29312,30135,30057,27001,2177,4039,0,5994,0,23,24,1015,903,3,-121,0,997,903,3,-121
01-JAN-2015,3,29231,29077,30448,30363,26874,2224,4039,0,5994,0,443,484,1166,888,-53,-121,0,1164,888,-53,-121
01-JAN-2015,4,28095,27898,29381,29202,25824,2270,4039,0,5994,0,590,609,1178,864,-40,-56,0,1164,864,-40,-56
01-JAN-2015,5,26896,26730,28667,28521,24752,2246,4039,0,5994,0,1082,1167,1270,881,-82,-7,0,1273,881,-82,-7
01-JAN-2015,6,26355,26184,28175,28012,24236,2222,4039,0,5994,0,1132,1339,1347,876,-82,-6,0,1273,876,-82,-6
01-JAN-2015,7,25319,25136,27248,27390,23239,2240,4039,0,5994,0,1239,1552,299,877,-90,35,0,270,877,-90,35
01-JAN-2015,8,24237,24075,26366,26561,22270,2259,4039,0,5994,0,1379,1739,256,876,-150,113,0,223,876,-150,113
01-JAN-2015,9,23388,23334,26473,26882,21543,2160,4039,0,5994,0,1372,1733,-962,877,-151,211,0,-1026,877,-151,211
01-JAN-2015,10,23035,22926,26221,26462,21249,2060,4039,0,5994,0,1359,1723,-1076,876,-151,269,0,-1026,876,-151,269
01-JAN-2015,11,22784,22664,25356,25618,21043,2052,4039,0,5994,0,1499,1868,-384,877,-89,274,0,-361,877,-89,274
01-JAN-2015,12,22718,22663,25180,25622,20936,2045,4039,0,5994,0,1504,1991,-358,876,43,274,0,-361,876,43,274
01-JAN-2015,13,23131,23143,25667,26227,21329,2158,4039,0,5994,0,1489,2004,-447,877,122,274,0,-441,877,122,274
01-JAN-2015,14,23452,23424,25944,26446,21655,2270,4039,0,5994,0,1449,1944,-443,876,181,274,0,-441,876,181,274
01-JAN-2015,15,23778,23742,26005,26435,21942,2212,4039,0,5994,0,1040,1534,-587,839,181,274,0,-586,839,181,274
01-JAN-2015,16,23645,23604,25728,26124,21874,2154,4039,0,5994,0,913,1407,-570,838,181,274,0,-586,838,181,274
01-JAN-2015,17,24064,24079,25912,26320,22278,2180,4039,12,5994,0,263,729,-985,855,181,273,0,-986,855,181,273
01-JAN-2015,18,24993,25013,26662,26784,23202,2206,4039,34,5994,0,20,578,-1049,854,181,274,0,-985,854,181,274
01-JAN-2015,19,26374,26478,27020,27260,24497,2302,4039,77,5994,0,17,683,-29,1000,181,274,0,-11,1000,181,274
01-JAN-2015,20,27831,27940,28446,28597,25810,2398,4039,126,5994,0,15,672,9,1000,181,246,0,35,1000,181,246
01-JAN-2015,21,29443,29495,30054,30105,27260,2452,4039,170,5994,0,11,670,1216,1000,178,247,0,1276,1000,178,247
01-JAN-2015,22,30665,30729,31276,31341,28337,2506,4039,187,5994,0,11,430,1301,1000,151,209,0,1275,1000,151,209
01-JAN-2015,23,31879,31945,32490,32557,29381,2650,4039,209,5994,0,11,176,1475,993,97,202,0,1472,993,97,202
01-JAN-2015,24,32886,32893,33499,33506,30221,2793,4039,246,5994,0,13,148,1497,985,37,172,0,1479,985,37,172
01-JAN-2015,25,33714,33721,34379,34386,30971,2814,4039,243,5994,0,10,11,1498,1020,-55,111,0,1479,1020,-55,111
01-JAN-2015,26,34146,34114,34808,34776,31305,2835,4039,229,5994,0,7,8,1497,1007,-55,45,0,1479,1007,-55,45
