SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW
01-JAN-2021,1,28354,28968,26130,1018,6527,0,13080,0,14,2003,-1,0,215,203,999
01-JAN-2021,2,28501,29113,26281,1026,6527,0,13080,0,12,2004,-1,0,359,203,999
01-JAN-2021,3,27759,28375,25557,1039,6527,0,13080,0,16,2004,-1,0,362,202,999
01-JAN-2021,4,26912,27748,24792,1052,6527,0,13080,0,236,2004,-1,0,361,203,1000
01-JAN-2021,5,26004,27177,23933,1076,6527,0,13080,0,573,2004,-1,0,304,203,1000
01-JAN-2021,6,25361,26797,23284,1099,6527,0,13080,0,836,2003,-1,0,319,202,999
01-JAN-2021,7,24739,26441,22666,1119,6527,0,13080,0,1102,1812,-1,0,235,202,906
01-JAN-2021,8,24189,25900,22162,1139,6527,0,13080,0,1111,1805,-1,0,220,203,903
01-JAN-2021,9,23770,25538,21797,1163,6527,0,13080,0,1168,1806,-1,0,185,203,903
01-JAN-2021,10,23433,25195,21512,1186,6527,0,13080,0,1162,1806,-1,0,152,202,903
01-JAN-2021,11,23418,25160,21527,1197,6527,0,13080,0,1142,1805,-1,0,169,203,903
01-JAN-2021,12,23371,25047,21483,1208,6527,0,13080,0,1076,1806,-1,0,192,203,903
01-JAN-2021,13,24055,25600,22125,1202,6527,0,13080,0,945,1901,-1,0,172,203,950
01-JAN-2021,14,24462,25963,22485,1195,6527,0,13080,0,901,1905,-1,0,167,202,952
01-JAN-2021,15,25048,25727,23054,1200,6527,0,13080,0,79,1905,-1,0,37,203,952
01-JAN-2021,16,25259,25875,23237,1205,6527,0,13080,0,16,1904,-1,0,50,202,952
01-JAN-2021,17,25852,26468,23791,1209,6527,2,13080,0,16,2002,-1,0,152,203,814
01-JAN-2021,18,26729,27344,24643,1212,6527,43,13080,0,15,2004,-1,0,158,147,809
01-JAN-2021,19,28128,28738,25916,1207,6527,198,13080,0,10,2004,-1,0,301,118,993
01-JAN-2021,20,29488,30097,27137,1202,6527,344,13080,0,9,2004,-1,0,364,28,1000
01-JAN-2021,21,30730,31339,28257,1193,6527,514,13080,0,9,2004,-1,0,401,81,999
01-JAN-2021,22,31720,32330,29088,1183,6527,714,13080,0,10,2004,-1,0,401,61,999
01-JAN-2021,23,32729,33338,29983,1201,6527,932,13080,0,9,2004,-1,0,401,133,971
01-JAN-2021,24,33388,33997,30545,1219,6527,1060,13080,0,9,2004,-1,0,401,194,969
01-JAN-2021,25,34221,34830,31311,1229,6527,1080,13080,0,9,2004,-1,0,401,217,998
01-JAN-2021,26,34725,35334,31754,1239,6527,1120,13080,0,9,2004,-1,0,401,156,999
