SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,FORECAST_ACTUAL_INDICATOR,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW
01-OCT-2020,1,21994,A,19017,24717,21323,19998,1199,6527,0,13080,0,826,1218,-492,459,-352,-535,-18,-495,448,-350,-530
01-OCT-2020,2,21444,A,18519,24246,20823,19503,1099,6527,0,13080,0,862,1256,-505,445,-352,-536,-47,-500,444,-350,-530
01-OCT-2020,3,21334,A,18084,24256,20562,19428,1074,6527,0,13080,0,859,1253,-675,477,-352,-536,349,-672,478,-350,-530
01-OCT-2020,4,21402,A,18172,24309,20642,19537,1048,6527,0,13080,0,853,1245,-681,479,-352,-521,365,-669,479,-350,-513
01-OCT-2020,5,21299,A,18146,23800,20314,19475,1005,6527,0,13080,0,853,1248,-391,500,-352,-405,418,-378,499,-350,-397
01-OCT-2020,6,21011,A,17920,23488,20080,19192,962,6527,0,13080,0,846,1239,-379,500,-352,-400,419,-370,500,-350,-401
01-OCT-2020,7,20872,A,17591,23148,19477,19032,918,6527,0,13080,0,912,1307,-46,586,-352,-466,618,-38,589,-350,-464
01-OCT-2020,8,20677,A,17418,22857,19303,18841,873,6527,0,13080,0,912,1306,-19,590,-352,-397,624,-4,588,-350,-389
01-OCT-2020,9,20732,A,17610,22738,19412,18900,810,6527,0,13080,0,909,1302,765,441,-352,-245,499,769,436,-350,-239
01-OCT-2020,10,20907,A,17885,22724,19590,19065,747,6527,0,13080,0,821,1199,812,434,-352,-144,495,798,435,-350,-142
01-OCT-2020,11,21679,A,18668,23015,19925,19749,700,6527,0,13080,0,434,707,820,474,-352,-50,714,806,474,-350,-52
01-OCT-2020,12,22682,A,20095,24134,21347,20675,652,6527,0,13080,0,474,752,830,475,-352,-126,708,826,470,-350,-131
01-OCT-2020,13,25322,A,23774,26529,24295,23117,611,6527,0,13080,0,44,40,1472,170,-398,-227,-38,1460,161,-401,-230
01-OCT-2020,14,27858,A,26547,29195,27062,25464,570,6527,0,13080,0,11,15,1506,157,-455,-304,-67,1480,161,-453,-308
01-OCT-2020,15,30596,A,29115,32015,29627,27946,533,6527,5,13080,0,8,12,1700,478,-456,-455,691,1675,487,-453,-458
01-OCT-2020,16,32611,A,31039,34112,31552,29749,496,6527,149,13080,0,10,13,1708,493,-456,-535,732,1681,494,-453,-530
01-OCT-2020,17,33154,A,31794,34657,32303,30139,490,6527,566,13080,0,11,10,1998,649,-456,-536,298,1969,654,-453,-530
01-OCT-2020,18,33022,A,31732,34524,32241,29969,484,6527,1470,13080,0,11,10,2009,657,-456,-535,286,1972,660,-453,-530
01-OCT-2020,19,33050,A,31319,34553,31834,29948,487,6527,2350,13080,0,11,16,2008,948,-456,-536,844,1972,959,-453,-530
01-OCT-2020,20,32721,A,31075,34222,31591,29616,490,6527,3280,13080,0,9,15,2008,961,-456,-536,848,1972,962,-453,-530
01-OCT-2020,21,32094,A,31238,33611,31751,29006,509,6527,3660,13080,0,10,13,2009,774,-456,-535,-16,1972,766,-453,-530
01-OCT-2020,22,31662,A,30914,33233,31425,28576,527,6527,3870,13080,0,6,11,2010,766,-456,-536,-73,1972,766,-453,-530
01-OCT-2020,23,31300,A,30929,33151,31439,28211,527,6527,4220,13080,0,6,10,2011,951,-456,-536,-353,1972,960,-453,-530
01-OCT-2020,24,31053,A,30615,32912,31123,27996,527,6527,4130,13080,0,5,7,2010,959,-456,-535,-363,1972,958,-454,-530
01-OCT-2020,25,31472,A,30684,33057,31191,28372,527,6527,4780,13080,0,4,7,2010,689,-456,-535,-90,1971,680,-454,-530
01-OCT-2020,26,31147,A,30435,32724,30944,28092,527,6527,4970,13080,0,5,9,2010,676,-456,-536,-80,1972,674,-454,-530
01-OCT-2020,27,30633,A,29899,32300,30408,27606,513,6527,4530,13080,0,5,8,2010,463,-456,-536,-170,1971,455,-454,-530
01-OCT-2020,28,30093,A,29291,31753,29799,27092,499,6527,4580,13080,0,5,9,2010,453,-456,-536,-163,1971,452,-453,-530
01-OCT-2020,29,29971,A,28548,31467,29056,27002,481,6527,4700,13080,0,5,8,2009,415,-456,-535,473,1971,414,-454,-530
01-OCT-2020,30,29818,A,28284,31315,28792,26881,462,6527,4480,13080,0,5,9,2008,413,-456,-536,505,1970,410,-454,-530
01-OCT-2020,31,29878,A,28632,31375,29141,26946,442,6527,4200,13080,0,5,8,2009,146,-456,-536,204,1971,137,-454,-530
01-OCT-2020,32,30788,A,29478,32288,29988,27817,421,6527,3330,13080,0,8,9,2009,137,-456,-536,193,1972,144,-454,-530
01-OCT-2020,33,32015,A,30327,33521,30845,28938,404,6527,2330,13080,0,15,18,2009,615,-456,-535,513,1967,627,-454,-530
01-OCT-2020,34,33389,A,31926,34893,32440,30193,387,6527,1700,13080,0,12,13,2009,639,-456,-536,526,1971,638,-454,-530
01-OCT-2020,35,34172,A,32481,35676,32995,30865,387,6527,1080,13080,0,12,12,2008,590,-456,-536,682,1972,587,-454,-530
01-OCT-2020,36,35118,A,33291,36615,33854,31787,387,6527,552,13080,0,6,7,2008,590,-456,-535,687,1971,596,-454,-530
01-OCT-2020,37,36070,A,33978,37541,34662,32746,393,6527,110,13080,0,6,8,2008,1037,-456,-509,708,1972,1050,-453,-502
01-OCT-2020,38,36675,A,34830,38112,35593,33327,398,6527,4,13080,0,5,7,2008,1058,-455,-477,708,1971,1060,-453,-472
01-OCT-2020,39,36902,A,35247,38364,35963,33479,423,6527,1,13080,0,4,10,2008,1059,-455,-503,607,1971,1061,-454,-501
01-OCT-2020,40,36333,A,34740,37830,35398,32958,447,6527,1,13080,0,7,8,2007,1059,-455,-535,604,1971,1060,-454,-530
01-OCT-2020,41,35248,A,33388,36751,33918,31984,476,6527,0,13080,0,13,10,2007,1059,-455,-535,864,1971,1061,-454,-530
01-OCT-2020,42,33902,A,32123,35405,32636,30755,504,6527,0,13080,0,12,12,2007,1060,-455,-536,875,1971,1060,-454,-530
01-OCT-2020,43,32160,A,30378,33664,30893,29135,534,6527,0,13080,0,14,20,2006,1004,-455,-535,937,1971,1002,-454,-530
01-OCT-2020,44,30266,A,28560,31747,29076,27428,563,6527,0,13080,0,11,17,2006,1001,-435,-535,939,1971,1002,-430,-530
01-OCT-2020,45,28367,A,26620,29725,27134,25689,601,6527,0,13080,0,13,14,2006,1001,-309,-536,819,1972,1002,-302,-530
01-OCT-2020,46,26475,A,24735,27935,25246,23947,639,6527,0,13080,0,132,135,2004,1001,-292,-536,815,1968,1001,-291,-530
01-OCT-2020,47,24393,A,22461,25588,22974,22025,684,6527,0,13080,0,11,12,1812,908,-218,-466,899,1776,905,-210,-457
