SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,FORECAST_ACTUAL_INDICATOR,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW
01-FEB-2021,1,27020,A,27956,24442,952,6527,0,13080,0,273,1805,882,0,17,-63,902
01-FEB-2021,2,27550,A,28461,24974,919,6527,0,13080,0,311,1805,883,0,17,0,902
01-FEB-2021,3,27347,A,28567,24762,893,6527,0,13080,0,620,1901,927,0,17,0,949
01-FEB-2021,4,26841,A,28192,24300,867,6527,0,13080,0,751,1906,929,0,16,0,951
01-FEB-2021,5,26418,A,27790,23919,830,6527,0,13080,0,772,1906,930,0,17,0,928
01-FEB-2021,6,26184,A,27491,23672,792,6527,0,13080,0,707,1905,930,0,16,0,926
01-FEB-2021,7,26163,A,27650,23602,773,6527,0,13080,0,887,1905,930,0,17,0,951
01-FEB-2021,8,26004,A,27483,23446,754,6527,0,13080,0,879,1905,930,0,16,0,951
01-FEB-2021,9,25836,A,27322,23321,731,6527,0,13080,0,875,1906,930,0,17,-11,951
01-FEB-2021,10,25956,A,27531,23451,708,6527,0,13080,0,874,1906,932,0,16,-101,952
01-FEB-2021,11,26675,A,27586,24115,699,6527,0,13080,0,289,2000,988,0,17,-22,998
01-FEB-2021,12,27774,A,28478,25120,690,6527,0,13080,0,44,2003,992,0,16,-60,999
01-FEB-2021,13,30050,A,30664,27220,662,6527,0,13080,0,14,1984,992,0,2,0,1000
01-FEB-2021,14,32430,A,33102,29404,634,6527,0,13080,0,10,1983,983,0,-62,0,998
01-FEB-2021,15,34946,A,35741,31677,617,6527,5,13080,0,8,1984,661,0,-187,0,686
01-FEB-2021,16,36599,A,37304,33161,600,6527,0,13080,0,11,1983,648,0,-94,0,674
01-FEB-2021,17,38720,A,39351,35088,578,6527,73,13080,0,12,2002,970,0,-19,0,987
01-FEB-2021,18,40150,A,40768,36403,556,6527,345,13080,0,18,2002,992,0,82,0,999
01-FEB-2021,19,40999,A,41612,37172,544,6527,620,13080,0,13,2003,992,0,124,0,999
01-FEB-2021,20,41162,A,41771,37307,531,6527,889,13080,0,9,2003,992,0,125,0,999
01-FEB-2021,21,41086,A,41695,37182,520,6527,1200,13080,0,9,2003,992,0,159,0,999
01-FEB-2021,22,41028,A,41640,37105,509,6527,1420,13080,0,12,2003,992,0,176,0,999
01-FEB-2021,23,40866,A,41479,36925,507,6527,1560,13080,0,13,2003,992,0,94,0,1000
01-FEB-2021,24,41011,A,41620,37044,504,6527,1720,13080,0,9,2003,992,0,173,0,999
01-FEB-2021,25,41447,A,42055,37438,507,6527,1660,13080,0,8,2003,992,0,240,0,1000
01-FEB-2021,26,41134,A,41743,37117,510,6527,1670,13080,0,9,2003,992,0,292,0,999
01-FEB-2021,27,41024,A,41634,37067,522,6527,1760,13080,0,10,2002,992,0,323,0,999
01-FEB-2021,28,40930,A,41540,37049,533,6527,1650,13080,0,10,2003,992,0,255,0,1000
01-FEB-2021,29,40765,A,41375,36921,531,6527,1550,13080,0,10,2003,992,0,219,0,1000
01-FEB-2021,30,40402,A,41015,36569,528,6527,1150,13080,0,13,2003,992,0,225,0,999
01-FEB-2021,31,40764,A,41373,36914,547,6527,775,13080,0,9,2003,992,0,153,0,999
01-FEB-2021,32,41477,A,42079,37619,566,6527,497,13080,0,2,2003,992,0,191,0,999
01-FEB-2021,33,42014,A,42617,38093,616,6527,135,13080,0,3,2003,992,0,300,66,1018
01-FEB-2021,34,42905,A,43508,38833,665,6527,3,13080,0,3,2003,992,0,237,191,1019
01-FEB-2021,35,44244,A,44846,39967,722,6527,0,13080,0,2,2003,992,0,342,202,1019
01-FEB-2021,36,44700,A,45302,40411,779,6527,0,13080,0,2,2003,992,0,371,203,1020
01-FEB-2021,37,44297,A,44899,40176,828,6527,0,13080,0,2,2002,992,0,371,202,1019
01-FEB-2021,38,43980,A,44583,39970,877,6527,0,13080,0,3,2003,992,0,371,202,1019
01-FEB-2021,39,42359,A,42970,38493,916,6527,0,13080,0,11,2003,992,0,371,269,1019
