SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW
01-JAN-2016,1,27700,27664,28414,28299,25315,1580,4013,0,9063,0,114,106,1756,870,31,105,0,1740,872,25,103
01-JAN-2016,2,28379,28278,29007,28904,26025,1485,4013,0,9063,0,28,26,1755,881,19,27,0,1740,883,25,26
01-JAN-2016,3,28155,27986,29063,29097,25804,1385,4013,0,9063,0,308,323,1755,871,76,36,0,1740,875,76,36
01-JAN-2016,4,27147,26961,28326,28149,24867,1285,4013,0,9063,0,572,572,1756,887,-7,65,0,1740,888,-14,65
01-JAN-2016,5,26154,26006,27348,27283,23993,1208,4013,0,9063,0,493,493,1756,880,-101,20,0,1740,883,-100,20
01-JAN-2016,6,25635,25463,26737,26723,23441,1132,4013,0,9063,0,439,447,1756,867,-63,4,0,1740,867,-63,1
01-JAN-2016,7,24824,24648,26588,27002,22631,1070,4013,0,9063,0,992,1238,1756,866,-100,-72,0,1740,868,-100,-73
01-JAN-2016,8,23915,23744,26223,26290,21763,1007,4013,0,9063,0,1535,1772,1756,882,-100,-73,0,1740,884,-100,-73
01-JAN-2016,9,23364,23157,25666,25818,21270,1000,4013,0,9063,0,1529,1887,1756,886,-100,-73,0,1740,886,-100,-73
01-JAN-2016,10,22922,22756,25182,25377,20880,994,4013,0,9063,0,1526,1885,1756,872,-100,-34,0,1740,874,-100,-32
01-JAN-2016,11,22854,22644,25038,24974,20809,1005,4013,0,9063,0,1521,1652,1756,864,-60,-3,0,1740,864,-59,0
01-JAN-2016,12,22774,22720,25173,25235,20721,1016,4013,0,9063,0,1709,1826,1756,869,-90,60,0,1740,870,-90,64
01-JAN-2016,13,23385,23357,25617,25583,21304,1038,4013,0,9063,0,1616,1612,1752,861,-16,91,0,1740,863,-13,92
