,Gas,"Electricity ","Gas and electricity",Total
Dec-04,1,0,12,13
Dec-05,1,0,11,12
Dec-06,1,0,9,10
Dec-07,1,0,10,11
Dec-08,1,0,11,12
Dec-09,0,0,12,12
Dec-10,0,0,12,12
Dec-11,0,0,14,14
Dec-12,2,2,16,20
Dec-13,4,2,18,24
Jun-14,2,2,20,24
Sep-14,3,3,21,27
Dec-14,3,2,22,27
Mar-15,3,3,23,29
Jun-15,3,3,25,31
Sep-15,3,2,28,33
Dec-15,5,3,32,40
Mar-16,5,2,36,43
Jun-16,5,1,38,44
Sep-16,6,2,40,48
Dec-16,6,3,42,51
Mar-17,6,2,45,53
Jun-17,7,4,48,59
Sep-17,7,4,54,65
Dec-17,7,5,56,68
Mar-18,7,4,59,70
Jun-18,7,2,61,70
Sep-18,7,2,58,67
Dec-18,7,2,53,62
Mar-19,5,2,52,59
Jun-19,5,3,56,64
Sep-19,5,2,54,61
Dec-19,5,2,51,58
