Month beginning,Price
01/06/2010,42.00
01/07/2010,43.00
01/08/2010,39.00
01/09/2010,41.00
01/10/2010,43.00
01/11/2010,46.00
01/12/2010,58.00
01/01/2011,48.00
01/02/2011,46.00
01/03/2011,51.00
01/04/2011,50.00
01/05/2011,50.00
01/06/2011,50.00
01/07/2011,47.00
01/08/2011,47.00
01/09/2011,48.00
01/10/2011,46.00
01/11/2011,46.00
01/12/2011,43.00
01/01/2012,42.00
01/02/2012,49.00
01/03/2012,45.00
01/04/2012,45.00
01/05/2012,43.00
01/06/2012,42.00
01/07/2012,42.00
01/08/2012,41.00
01/09/2012,43.00
01/10/2012,47.00
01/11/2012,49.00
01/12/2012,49.00
01/01/2013,49.00
01/02/2013,51.00
01/03/2013,62.00
01/04/2013,51.00
01/05/2013,48.00
01/06/2013,47.00
01/07/2013,48.00
01/08/2013,47.00
01/09/2013,49.00
01/10/2013,48.00
01/11/2013,53.00
01/12/2013,50.00
01/01/2014,47.00
01/02/2014,45.00
01/03/2014,44.00
01/04/2014,41.00
01/05/2014,39.00
01/06/2014,36.00
01/07/2014,35.00
01/08/2014,37.00
01/09/2014,43.00
01/10/2014,44.00
01/11/2014,48.00
01/12/2014,43.00
01/01/2015,39.00
01/02/2015,42.00
01/03/2015,40.00
01/04/2015,43.00
01/05/2015,41.00
01/06/2015,41.00
01/07/2015,42.00
01/08/2015,40.00
01/09/2015,42.00
01/10/2015,40.00
01/11/2015,38.00
01/12/2015,35.00
01/01/2016,36.00
01/02/2016,33.00
01/03/2016,34.00
01/04/2016,34.00
01/05/2016,34.00
01/06/2016,37.00
01/07/2016,38.00
01/08/2016,36.00
01/09/2016,51.00
01/10/2016,56.00
01/11/2016,67.00
01/12/2016,49.00
01/01/2017,53.00
01/02/2017,49.00
01/03/2017,41.00
01/04/2017,42.00
01/05/2017,41.00
01/06/2017,39.00
01/07/2017,43.00
01/08/2017,43.00
01/09/2017,47.00
01/10/2017,46.00
01/11/2017,51.00
01/12/2017,56.00
01/01/2018,50.00
01/02/2018,53.00
01/03/2018,56.00
01/04/2018,50.00
01/05/2018,54.00
01/06/2018,54.00
01/07/2018,57.00
01/08/2018,61.00
01/09/2018,67.00
01/10/2018,64.00
01/11/2018,62.00
01/12/2018,64.00
01/01/2019,62.00
01/02/2019,50.00
01/03/2019,44.00
01/04/2019,43.00
01/05/2019,41.00
01/06/2019,39.00
01/07/2019,41.00
01/08/2019,39.00
01/09/2019,37.00
01/10/2019,37.00
01/11/2019,46.00
01/12/2019,39.00
01/01/2020,35.00
01/02/2020,32.00
01/03/2020,33.00
01/04/2020,24.00
01/05/2020,24.00
01/06/2020,28.00
01/07/2020,31.00
01/08/2020,37.00
01/09/2020,45.00
01/10/2020,44.00
01/11/2020,46.00
01/12/2020,59.00
01/01/2021,90.00
01/02/2021,56.00
01/03/2021,57.00
01/04/2021,69.00
01/05/2021,78.00
01/06/2021,79.00
01/07/2021,94.00
01/08/2021,108.00
01/09/2021,230.00
01/10/2021,192.00
01/11/2021,209.00
01/12/2021,262.00
01/01/2022,206.00
01/02/2022,166.00
01/03/2022,263.00
01/04/2022,180.00
01/05/2022,116.00
01/06/2022,173.00
01/07/2022,261.00
01/08/2022,363.00
01/09/2022,270.00
01/10/2022,110.00
01/11/2022,133.00
01/12/2022,279.00
01/01/2023,132.00
