PortName,EU / NON EU,Continent,Country,Flow Type,Year,Month,Net Mass (Kg)
Aberdeen,NON-EU,Latin America and Caribbean,Colombia,Non EU - Imports,2019,July,2161015
Aberdeen,NON-EU,Sub-Saharan Africa,Angola,Non EU - Exports,2015,January,5937
Aberdeen,NON-EU,Sub-Saharan Africa,Angola,Non EU - Exports,2016,June,4354
Aberdeen,NON-EU,Sub-Saharan Africa,Angola,Non EU - Exports,2018,January,11308
Aberdeen,NON-EU,Sub-Saharan Africa,Angola,Non EU - Exports,2019,April,38491
Aberdeen,NON-EU,Sub-Saharan Africa,Angola,Non EU - Exports,2019,June,8500
Aberdeen,NON-EU,Sub-Saharan Africa,Equat Guinea,Non EU - Exports,2015,January,750
Aberdeen,NON-EU,Sub-Saharan Africa,Equat Guinea,Non EU - Exports,2017,May,7761
Aberdeen,NON-EU,Sub-Saharan Africa,Ghana,Non EU - Exports,2011,December,312
Aberdeen,NON-EU,Sub-Saharan Africa,Ghana,Non EU - Exports,2014,February,1417
Aberdeen,NON-EU,Western Europe exc EU,Faroe Islands,Non EU - Exports,2010,April,10000
Aberdeen,NON-EU,Western Europe exc EU,Norway,Non EU - Exports,2011,June,62
Aberdeen,NON-EU,Western Europe exc EU,Norway,Non EU - Exports,2019,December,113
Aberdeen,NON-EU,Western Europe exc EU,Norway,Non EU - Imports,2011,August,24
Aberdeen,NON-EU,Western Europe exc EU,Norway,Non EU - Imports,2013,July,50
Aberdeen,NON-EU,Western Europe exc EU,Norway,Non EU - Imports,2013,October,7772
Aberdeen,NON-EU,Western Europe exc EU,Norway,Non EU - Imports,2014,September,6536
Aberdeen,NON-EU,Western Europe exc EU,Norway,Non EU - Imports,2015,June,1296
Aberdeen Airport,NON-EU,Asia and Oceania,South Korea,Non EU - Exports,2010,February,35
Aberdeen Airport,NON-EU,Eastern Europe exc EU,Azerbaijan,Non EU - Exports,2011,October,26
Aberdeen Airport,NON-EU,Eastern Europe exc EU,Azerbaijan,Non EU - Exports,2013,June,14
Aberdeen Airport,NON-EU,Eastern Europe exc EU,Azerbaijan,Non EU - Exports,2013,July,9
Aberdeen Airport,NON-EU,Eastern Europe exc EU,Azerbaijan,Non EU - Exports,2013,August,454
Aberdeen Airport,NON-EU,Middle East and N Africa,Egypt,Non EU - Exports,2011,December,8
Aberdeen Airport,NON-EU,North America,Canada,Non EU - Imports,2015,May,549
Aberdeen Airport,NON-EU,North America,United States,Non EU - Imports,2014,May,72
Aberdeen Airport,NON-EU,Sub-Saharan Africa,Angola,Non EU - Imports,2018,November,20
Aberdeen Airport,NON-EU,Sub-Saharan Africa,Ghana,Non EU - Exports,2014,February,191
Aberdeen Airport,NON-EU,Sub-Saharan Africa,South Africa,Non EU - Exports,2018,August,11
Ayr,NON-EU,Western Europe exc EU,Iceland,Non EU - Exports,2011,September,3436580
Ayr,NON-EU,Western Europe exc EU,Norway,Non EU - Exports,2010,January,3300000
Ayr,NON-EU,Western Europe exc EU,Norway,Non EU - Exports,2010,March,3500000
Ayr,NON-EU,Western Europe exc EU,Norway,Non EU - Exports,2010,May,3450000
Ayr,NON-EU,Western Europe exc EU,Norway,Non EU - Exports,2010,June,3165090
Ayr,NON-EU,Western Europe exc EU,Norway,Non EU - Exports,2010,July,6734710
Ayr,NON-EU,Western Europe exc EU,Norway,Non EU - Exports,2010,August,3363540
Ayr,NON-EU,Western Europe exc EU,Norway,Non EU - Exports,2010,September,3345550
Ayr,NON-EU,Western Europe exc EU,Norway,Non EU - Exports,2010,October,2920050
Ayr,NON-EU,Western Europe exc EU,Norway,Non EU - Exports,2010,November,6146220
Ayr,NON-EU,Western Europe exc EU,Norway,Non EU - Exports,2010,December,6973010
Ayr,NON-EU,Western Europe exc EU,Norway,Non EU - Exports,2011,January,2708860
Ayr,NON-EU,Western Europe exc EU,Norway,Non EU - Exports,2011,February,1959350
Ayr,NON-EU,Western Europe exc EU,Norway,Non EU - Exports,2011,March,3551980
