SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,FORECAST_ACTUAL_INDICATOR,I014_ND,TSD,I014_TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,I014_PUMP_STORAGE_PUMPING,FRENCH_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,I014_FRENCH_FLOW,I014_BRITNED_FLOW,I014_MOYLE_FLOW,I014_EAST_WEST_FLOW
25-Feb-20,1,25131,A,21912,26385,23086,22677,2116,6465,0,13080,0,572,574,1609,802,-82,168,807,1574,805,-73,165
25-Feb-20,2,25476,A,22249,26649,23144,23070,2104,6465,0,13080,0,573,576,1607,803,67,105,804,1581,805,69,100
25-Feb-20,3,25402,A,22167,26705,23378,23047,2084,6465,0,13080,0,703,709,1607,803,20,80,804,1581,805,19,85
25-Feb-20,4,25025,A,21944,26555,23446,22744,2064,6465,0,13080,0,890,902,1607,803,-40,143,804,1581,805,-41,145
25-Feb-20,5,24615,A,21507,26378,23281,22363,2045,6465,0,13080,0,1163,1174,1607,803,12,163,804,1581,805,16,160
25-Feb-20,6,24332,A,21281,26234,23158,22052,2025,6465,0,13080,0,1276,1277,1607,803,-26,205,804,1581,805,-29,209
25-Feb-20,7,23986,A,20844,26348,23157,21654,1953,6465,0,13080,0,1696,1713,1607,803,-66,278,804,1581,805,-64,275
25-Feb-20,8,23853,A,20729,26094,22875,21474,1880,6465,0,13080,0,1589,1583,1607,802,-52,305,804,1581,805,-50,305
25-Feb-20,9,23740,A,20615,26105,23212,21376,1876,6465,0,13080,0,1713,1960,1605,803,-52,347,804,1580,805,-50,345
25-Feb-20,10,24016,A,20920,26447,23410,21653,1872,6465,0,13080,0,1779,1889,1606,803,-52,321,803,1580,805,-50,313
25-Feb-20,11,25148,A,22084,26773,23646,22727,1845,6465,0,13080,0,1000,963,1702,851,-25,233,852,1678,853,-21,227
25-Feb-20,12,26393,A,23408,27497,24497,23887,1818,6465,0,13080,0,504,489,1706,853,63,187,854,1681,855,67,188
25-Feb-20,13,29645,A,26509,30294,27128,26889,1777,6465,0,13080,0,49,49,1944,969,81,307,970,1919,973,81,306
25-Feb-20,14,32738,A,29607,33352,30222,29701,1736,6465,1,13080,0,14,12,1954,973,55,228,975,1922,973,53,218
25-Feb-20,15,35551,A,32273,36215,32884,32149,1741,6465,86,13080,0,12,8,2001,771,-52,75,999,1970,763,-54,69
25-Feb-20,16,36716,A,33159,37389,33776,33170,1745,6465,422,13080,0,16,14,2003,763,-57,0,1000,1970,762,-54,0
25-Feb-20,17,37118,A,33454,37751,34069,33490,1766,6465,1190,13080,0,15,12,2004,959,-18,0,1000,1970,967,-17,0
25-Feb-20,18,36597,A,32952,37211,33567,32934,1787,6465,2060,13080,0,14,14,2004,968,12,0,1000,1970,970,16,0
25-Feb-20,19,36640,A,33146,37334,33757,32934,1822,6465,2800,13080,0,10,9,2003,968,-84,0,999,1970,970,-90,0
25-Feb-20,20,36634,A,33192,37441,33799,32984,1856,6465,2850,13080,0,8,4,2004,969,-199,0,1000,1970,970,-201,0
25-Feb-20,21,36277,A,32846,37174,33457,32622,1899,6465,3270,13080,0,7,11,2004,967,-290,0,1000,1970,970,-294,0
25-Feb-20,22,35813,A,32420,36805,33031,32165,1942,6465,3670,13080,0,8,5,2004,969,-384,0,1000,1970,971,-381,0
25-Feb-20,23,35886,A,32484,36755,33096,32289,1949,6465,3800,13080,0,8,4,2004,1052,-261,0,999,1970,1058,-253,0
25-Feb-20,24,35813,A,32487,36536,33101,32186,1956,6465,3870,13080,0,12,12,2004,1057,-111,0,1000,1970,1058,-103,0
25-Feb-20,25,36279,A,32936,36889,33549,32646,1947,6465,4010,13080,0,10,10,2004,1002,41,35,1000,1970,1001,44,42
25-Feb-20,26,36057,A,32534,36711,33147,32425,1937,6465,3640,13080,0,12,8,2004,999,-42,181,999,1970,1000,-43,187
25-Feb-20,27,36552,A,33116,37162,33727,32923,1890,6465,3270,13080,0,10,10,2004,1000,61,333,1000,1971,1000,67,337
25-Feb-20,28,36636,A,33192,37247,33803,33007,1842,6465,2900,13080,0,11,8,2005,999,81,467,1000,1971,1000,81,466
25-Feb-20,29,36773,A,33381,37385,33991,33163,1812,6465,2840,13080,0,12,10,2005,999,81,502,999,1971,1000,81,497
25-Feb-20,30,36843,A,33532,37457,34143,33231,1782,6465,2700,13080,0,14,9,2005,999,81,407,1000,1971,1000,81,397
25-Feb-20,31,37413,A,34233,38023,34841,33767,1730,6465,1850,13080,0,10,7,2005,999,42,264,999,1971,1000,40,258
25-Feb-20,32,38438,A,35291,39045,35897,34771,1678,6465,1190,13080,0,7,6,2005,999,17,305,1000,1970,1000,19,308
25-Feb-20,33,39443,A,36293,40052,36906,35687,1606,6465,802,13080,56,9,12,2005,1000,76,451,1019,1971,1000,78,454
25-Feb-20,34,40320,A,37008,40934,37619,36446,1534,6465,405,13080,86,14,11,2004,999,81,504,1019,1971,1000,81,500
25-Feb-20,35,41415,A,38162,42026,38770,37412,1477,6465,81,13080,86,11,7,2004,999,81,504,1020,1971,1000,81,500
25-Feb-20,36,42370,A,39064,42981,39677,38263,1419,6465,2,13080,86,11,14,2004,999,80,504,1020,1970,1000,80,500
25-Feb-20,37,42839,A,39505,43450,40117,38680,1465,6465,0,13080,31,11,5,2003,1055,75,504,1019,1971,1058,75,500
25-Feb-20,38,42713,A,39592,43322,40201,38545,1510,6465,0,13080,0,9,8,2004,1056,73,504,1020,1970,1059,74,500
25-Feb-20,39,42363,A,39386,42974,39997,38322,1532,6465,0,13080,0,11,11,2004,1056,81,504,1020,1970,1059,81,500
25-Feb-20,40,41674,A,38600,42286,39215,37738,1553,6465,0,13080,0,12,11,2004,1057,81,472,1020,1971,1059,81,467
