Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"14/12/2019 00:00:00","14/12/2019","NTS System Input Physical, Actual (Energy), D+1","3039206303.0000","15/12/2019 12:02:15","L"
"14/12/2019 00:00:00","14/12/2019","System Entry Energy, STFergus-Mobil, D+1","217663408.0000","15/12/2019 12:02:15","L"
"14/12/2019 00:00:00","14/12/2019","System Entry Energy, STFergus-NSMP, D+1","190860000.0000","15/12/2019 12:02:15","L"
"14/12/2019 00:00:00","14/12/2019","System Entry Energy, STFergus-Shell, D+1","133546415.0000","15/12/2019 12:02:15","L"
"13/12/2019 00:00:00","13/12/2019","NTS System Input Physical, Actual (Energy), D+1","3196295945.0000","14/12/2019 12:02:14","L"
"13/12/2019 00:00:00","13/12/2019","System Entry Energy, STFergus-Mobil, D+1","217663408.0000","14/12/2019 12:02:14","L"
"13/12/2019 00:00:00","13/12/2019","System Entry Energy, STFergus-NSMP, D+1","247450000.0000","14/12/2019 12:02:14","L"
"13/12/2019 00:00:00","13/12/2019","System Entry Energy, STFergus-Shell, D+1","133546415.0000","14/12/2019 12:02:14","L"
"12/12/2019 00:00:00","12/12/2019","NTS System Input Physical, Actual (Energy), D+1","3555943060.0000","13/12/2019 17:02:13","A"
"12/12/2019 00:00:00","12/12/2019","System Entry Energy, STFergus-NSMP, D+1","281934141.0000","13/12/2019 14:02:14","A"
"12/12/2019 00:00:00","12/12/2019","System Entry Energy, STFergus-Mobil, D+1","216750144.0000","13/12/2019 12:02:15","L"
"12/12/2019 00:00:00","12/12/2019","System Entry Energy, STFergus-Shell, D+1","133546415.0000","13/12/2019 12:02:15","L"
"11/12/2019 00:00:00","11/12/2019","NTS System Input Physical, Actual (Energy), D+1","3423394102.0000","12/12/2019 14:02:16","A"
"11/12/2019 00:00:00","11/12/2019","System Entry Energy, STFergus-NSMP, D+1","284742378.0000","12/12/2019 14:02:16","A"
"11/12/2019 00:00:00","11/12/2019","System Entry Energy, STFergus-Mobil, D+1","213051184.0000","12/12/2019 12:02:16","L"
"11/12/2019 00:00:00","11/12/2019","System Entry Energy, STFergus-Shell, D+1","133583863.0000","12/12/2019 12:02:16","L"
"10/12/2019 00:00:00","10/12/2019","NTS System Input Physical, Actual (Energy), D+1","3085622510.0000","11/12/2019 14:02:16","A"
"10/12/2019 00:00:00","10/12/2019","System Entry Energy, STFergus-NSMP, D+1","243146306.0000","11/12/2019 14:02:16","A"
"10/12/2019 00:00:00","10/12/2019","System Entry Energy, STFergus-Mobil, D+1","219920672.0000","11/12/2019 12:02:15","L"
"10/12/2019 00:00:00","10/12/2019","System Entry Energy, STFergus-Shell, D+1","134357309.0000","11/12/2019 12:02:15","L"
"09/12/2019 00:00:00","09/12/2019","NTS System Input Physical, Actual (Energy), D+1","3359545995.0000","10/12/2019 14:02:16","A"
