Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"05/04/2020 01:00:00","05/04/2020","NTS System Input Physical, Actual (Energy), D+1","2135260170.0000","06/04/2020 12:02:15","L"
"05/04/2020 01:00:00","05/04/2020","System Entry Energy, STFergus-Mobil, D+1","179175504.0000","06/04/2020 12:02:15","L"
"05/04/2020 01:00:00","05/04/2020","System Entry Energy, STFergus-NSMP, D+1","199590000.0000","06/04/2020 12:02:15","L"
"05/04/2020 01:00:00","05/04/2020","System Entry Energy, STFergus-Shell, D+1","207837743.0000","06/04/2020 12:02:15","L"
"04/04/2020 01:00:00","04/04/2020","NTS System Input Physical, Actual (Energy), D+1","2248375748.0000","05/04/2020 12:02:16","L"
"04/04/2020 01:00:00","04/04/2020","System Entry Energy, STFergus-Mobil, D+1","179678384.0000","05/04/2020 12:02:16","L"
"04/04/2020 01:00:00","04/04/2020","System Entry Energy, STFergus-NSMP, D+1","199770000.0000","05/04/2020 12:02:16","L"
"04/04/2020 01:00:00","04/04/2020","System Entry Energy, STFergus-Shell, D+1","207013715.0000","05/04/2020 12:02:16","L"
"03/04/2020 01:00:00","03/04/2020","NTS System Input Physical, Actual (Energy), D+1","2726412935.0000","04/04/2020 12:02:15","L"
"03/04/2020 01:00:00","03/04/2020","System Entry Energy, STFergus-Mobil, D+1","179431968.0000","04/04/2020 12:02:15","L"
"03/04/2020 01:00:00","03/04/2020","System Entry Energy, STFergus-NSMP, D+1","203130000.0000","04/04/2020 12:02:15","L"
"03/04/2020 01:00:00","03/04/2020","System Entry Energy, STFergus-Shell, D+1","207013715.0000","04/04/2020 12:02:15","L"
"02/04/2020 01:00:00","02/04/2020","NTS System Input Physical, Actual (Energy), D+1","2583280993.0000","03/04/2020 14:02:16","A"
"02/04/2020 01:00:00","02/04/2020","System Entry Energy, STFergus-Mobil, D+1","178343184.0000","03/04/2020 12:02:18","L"
"02/04/2020 01:00:00","02/04/2020","System Entry Energy, STFergus-NSMP, D+1","195250000.0000","03/04/2020 12:02:18","L"
"02/04/2020 01:00:00","02/04/2020","System Entry Energy, STFergus-Shell, D+1","207013715.0000","03/04/2020 12:02:18","L"
"01/04/2020 01:00:00","01/04/2020","NTS System Input Physical, Actual (Energy), D+1","3026187846.0000","02/04/2020 12:02:15","L"
"01/04/2020 01:00:00","01/04/2020","System Entry Energy, STFergus-Mobil, D+1","177516736.0000","02/04/2020 12:02:15","L"
"01/04/2020 01:00:00","01/04/2020","System Entry Energy, STFergus-NSMP, D+1","234503338.0000","02/04/2020 12:02:15","L"
"01/04/2020 01:00:00","01/04/2020","System Entry Energy, STFergus-Shell, D+1","210964635.0000","02/04/2020 12:02:15","L"
"31/03/2020 01:00:00","31/03/2020","NTS System Input Physical, Actual (Energy), D+1","3066559311.0000","01/04/2020 17:02:13","A"
"31/03/2020 01:00:00","31/03/2020","System Entry Energy, STFergus-NSMP, D+1","232815538.0000","01/04/2020 14:02:15","A"
"31/03/2020 01:00:00","31/03/2020","System Entry Energy, STFergus-Mobil, D+1","176932720.0000","01/04/2020 12:02:15","L"
"31/03/2020 01:00:00","31/03/2020","System Entry Energy, STFergus-Shell, D+1","216704583.0000","01/04/2020 12:02:15","L"
"30/03/2020 01:00:00","30/03/2020","NTS System Input Physical, Actual (Energy), D+1","3070613399.0000","31/03/2020 17:02:13","A"
"30/03/2020 01:00:00","30/03/2020","System Entry Energy, STFergus-NSMP, D+1","227428633.0000","31/03/2020 14:02:15","A"
"30/03/2020 01:00:00","30/03/2020","System Entry Energy, STFergus-Mobil, D+1","173601824.0000","31/03/2020 12:02:14","L"
"30/03/2020 01:00:00","30/03/2020","System Entry Energy, STFergus-Shell, D+1","214731979.0000","31/03/2020 12:02:14","L"
"29/03/2020 00:00:00","29/03/2020","NTS System Input Physical, Actual (Energy), D+1","2800364365.0000","30/03/2020 17:02:13","A"
"29/03/2020 00:00:00","29/03/2020","System Entry Energy, STFergus-NSMP, D+1","229560169.0000","30/03/2020 17:02:13","A"
"29/03/2020 00:00:00","29/03/2020","System Entry Energy, STFergus-Mobil, D+1","171855136.0000","30/03/2020 12:02:17","L"
"29/03/2020 00:00:00","29/03/2020","System Entry Energy, STFergus-Shell, D+1","202898663.0000","30/03/2020 12:02:17","L"
"28/03/2020 00:00:00","28/03/2020","NTS System Input Physical, Actual (Energy), D+1","2428447487.0000","29/03/2020 12:02:15","L"
"28/03/2020 00:00:00","28/03/2020","System Entry Energy, STFergus-Mobil, D+1","161647024.0000","29/03/2020 12:02:15","L"
"28/03/2020 00:00:00","28/03/2020","System Entry Energy, STFergus-NSMP, D+1","233220000.0000","29/03/2020 12:02:15","L"
"28/03/2020 00:00:00","28/03/2020","System Entry Energy, STFergus-Shell, D+1","197010660.0000","29/03/2020 12:02:15","L"
"27/03/2020 00:00:00","27/03/2020","NTS System Input Physical, Actual (Energy), D+1","2525653799.0000","28/03/2020 12:02:15","L"
"27/03/2020 00:00:00","27/03/2020","System Entry Energy, STFergus-Mobil, D+1","157912080.0000","28/03/2020 12:02:15","L"
"27/03/2020 00:00:00","27/03/2020","System Entry Energy, STFergus-NSMP, D+1","242050000.0000","28/03/2020 12:02:15","L"
"27/03/2020 00:00:00","27/03/2020","System Entry Energy, STFergus-Shell, D+1","197010660.0000","28/03/2020 12:02:15","L"
"26/03/2020 00:00:00","26/03/2020","NTS System Input Physical, Actual (Energy), D+1","2551954329.0000","27/03/2020 12:02:14","L"
"26/03/2020 00:00:00","26/03/2020","System Entry Energy, STFergus-Mobil, D+1","171796432.0000","27/03/2020 12:02:14","L"
"26/03/2020 00:00:00","26/03/2020","System Entry Energy, STFergus-NSMP, D+1","238048668.0000","27/03/2020 12:02:14","L"
"26/03/2020 00:00:00","26/03/2020","System Entry Energy, STFergus-Shell, D+1","197010660.0000","27/03/2020 12:02:14","L"
"25/03/2020 00:00:00","25/03/2020","NTS System Input Physical, Actual (Energy), D+1","2629681979.0000","26/03/2020 14:02:15","A"
"25/03/2020 00:00:00","25/03/2020","System Entry Energy, STFergus-NSMP, D+1","233371827.0000","26/03/2020 14:02:15","A"
"25/03/2020 00:00:00","25/03/2020","System Entry Energy, STFergus-Mobil, D+1","173628576.0000","26/03/2020 12:02:15","L"
"25/03/2020 00:00:00","25/03/2020","System Entry Energy, STFergus-Shell, D+1","202725052.0000","26/03/2020 12:02:15","L"
"24/03/2020 00:00:00","24/03/2020","NTS System Input Physical, Actual (Energy), D+1","2525673874.0000","25/03/2020 14:02:16","A"
"24/03/2020 00:00:00","24/03/2020","System Entry Energy, STFergus-NSMP, D+1","227532348.0000","25/03/2020 14:02:16","A"
"24/03/2020 00:00:00","24/03/2020","System Entry Energy, STFergus-Shell, D+1","203201889.0000","25/03/2020 14:02:16","A"
"24/03/2020 00:00:00","24/03/2020","System Entry Energy, STFergus-Mobil, D+1","158975472.0000","25/03/2020 12:02:14","L"
"23/03/2020 00:00:00","23/03/2020","NTS System Input Physical, Actual (Energy), D+1","2668530991.0000","24/03/2020 14:02:14","A"
"23/03/2020 00:00:00","23/03/2020","System Entry Energy, STFergus-NSMP, D+1","149428941.0000","24/03/2020 14:02:14","A"
"23/03/2020 00:00:00","23/03/2020","System Entry Energy, STFergus-Mobil, D+1","177946544.0000","24/03/2020 13:02:14","L"
"23/03/2020 00:00:00","23/03/2020","System Entry Energy, STFergus-Shell, D+1","191702813.0000","24/03/2020 13:02:14","L"
"22/03/2020 00:00:00","22/03/2020","NTS System Input Physical, Actual (Energy), D+1","2674419325.0000","23/03/2020 14:02:16","A"
"22/03/2020 00:00:00","22/03/2020","System Entry Energy, STFergus-NSMP, D+1","165655721.0000","23/03/2020 14:02:16","A"
"22/03/2020 00:00:00","22/03/2020","System Entry Energy, STFergus-Shell, D+1","208866337.0000","23/03/2020 14:02:16","A"
"22/03/2020 00:00:00","22/03/2020","System Entry Energy, STFergus-Mobil, D+1","174755136.0000","23/03/2020 12:02:15","L"
"21/03/2020 00:00:00","21/03/2020","NTS System Input Physical, Actual (Energy), D+1","2711648409.0000","22/03/2020 12:02:15","L"
"21/03/2020 00:00:00","21/03/2020","System Entry Energy, STFergus-Mobil, D+1","168059936.0000","22/03/2020 12:02:15","L"
"21/03/2020 00:00:00","21/03/2020","System Entry Energy, STFergus-NSMP, D+1","174690000.0000","22/03/2020 12:02:15","L"
"21/03/2020 00:00:00","21/03/2020","System Entry Energy, STFergus-Shell, D+1","182671476.0000","22/03/2020 12:02:15","L"
"20/03/2020 00:00:00","20/03/2020","NTS System Input Physical, Actual (Energy), D+1","3034778592.0000","21/03/2020 12:02:17","L"
"20/03/2020 00:00:00","20/03/2020","System Entry Energy, STFergus-Mobil, D+1","164399680.0000","21/03/2020 12:02:17","L"
"20/03/2020 00:00:00","20/03/2020","System Entry Energy, STFergus-NSMP, D+1","338920000.0000","21/03/2020 12:02:17","L"
"20/03/2020 00:00:00","20/03/2020","System Entry Energy, STFergus-Shell, D+1","182671476.0000","21/03/2020 12:02:17","L"
"19/03/2020 00:00:00","19/03/2020","NTS System Input Physical, Actual (Energy), D+1","3288865985.0000","20/03/2020 12:02:17","L"
"19/03/2020 00:00:00","19/03/2020","System Entry Energy, STFergus-Mobil, D+1","160266320.0000","20/03/2020 12:02:17","L"
"19/03/2020 00:00:00","19/03/2020","System Entry Energy, STFergus-NSMP, D+1","302800799.0000","20/03/2020 12:02:17","L"
"19/03/2020 00:00:00","19/03/2020","System Entry Energy, STFergus-Shell, D+1","182671476.0000","20/03/2020 12:02:17","L"
"18/03/2020 00:00:00","18/03/2020","NTS System Input Physical, Actual (Energy), D+1","3020903391.0000","19/03/2020 16:02:14","A"
"18/03/2020 00:00:00","18/03/2020","System Entry Energy, STFergus-NSMP, D+1","172365751.0000","19/03/2020 16:02:14","A"
"18/03/2020 00:00:00","18/03/2020","System Entry Energy, STFergus-Mobil, D+1","164122240.0000","19/03/2020 12:02:14","L"
"18/03/2020 00:00:00","18/03/2020","System Entry Energy, STFergus-Shell, D+1","191583368.0000","19/03/2020 12:02:14","L"
"17/03/2020 00:00:00","17/03/2020","NTS System Input Physical, Actual (Energy), D+1","2828759785.0000","18/03/2020 12:02:14","L"
"17/03/2020 00:00:00","17/03/2020","System Entry Energy, STFergus-Mobil, D+1","163723728.0000","18/03/2020 12:02:14","L"
"17/03/2020 00:00:00","17/03/2020","System Entry Energy, STFergus-NSMP, D+1","188482733.0000","18/03/2020 12:02:14","L"
"17/03/2020 00:00:00","17/03/2020","System Entry Energy, STFergus-Shell, D+1","192120868.0000","18/03/2020 12:02:14","L"
