Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"06/01/2019 21:50:06","31/12/2018","Demand, Actual DM, LDZ(SC), D+6","14494597.0000","06/01/2019 21:56:11","L"
"06/01/2019 21:50:06","31/12/2018","Demand, Actual NDM, LDZ(SC), D+6","133366078.0000","06/01/2019 21:56:11","L"
"05/01/2019 20:38:24","30/12/2018","Demand, Actual DM, LDZ(SC), D+6","14445872.0000","05/01/2019 20:46:11","L"
"05/01/2019 20:38:24","30/12/2018","Demand, Actual NDM, LDZ(SC), D+6","128583562.0000","05/01/2019 20:46:11","L"
"04/01/2019 20:34:52","29/12/2018","Demand, Actual DM, LDZ(SC), D+6","14968935.0000","04/01/2019 20:40:13","L"
"04/01/2019 20:34:52","29/12/2018","Demand, Actual NDM, LDZ(SC), D+6","141613959.0000","04/01/2019 20:40:13","L"
"03/01/2019 20:36:01","28/12/2018","Demand, Actual DM, LDZ(SC), D+6","15253836.0000","03/01/2019 20:40:18","L"
"03/01/2019 20:36:01","28/12/2018","Demand, Actual NDM, LDZ(SC), D+6","152150797.0000","03/01/2019 20:40:18","L"
"02/01/2019 20:34:27","27/12/2018","Demand, Actual DM, LDZ(SC), D+6","16383752.0000","02/01/2019 20:40:17","L"
"02/01/2019 20:34:27","27/12/2018","Demand, Actual NDM, LDZ(SC), D+6","148889681.0000","02/01/2019 20:40:17","L"
"01/01/2019 20:35:37","26/12/2018","Demand, Actual DM, LDZ(SC), D+6","16555993.0000","01/01/2019 20:40:13","L"
"01/01/2019 20:35:37","26/12/2018","Demand, Actual NDM, LDZ(SC), D+6","158075054.0000","01/01/2019 20:40:13","L"
"31/12/2018 20:33:09","25/12/2018","Demand, Actual DM, LDZ(SC), D+6","15535905.0000","31/12/2018 20:40:15","L"
"31/12/2018 20:33:09","25/12/2018","Demand, Actual NDM, LDZ(SC), D+6","186926561.0000","31/12/2018 20:40:15","L"
"31/12/2018 00:00:00","31/12/2018","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","20944444.0000","01/01/2019 12:02:17","L"
"31/12/2018 00:00:00","31/12/2018","NTS Energy Offtaken, Gowkhall, NTS Power Station","0.0000","01/01/2019 12:02:17","L"
"31/12/2018 00:00:00","31/12/2018","NTS Energy Offtaken, Peterhead, NTS Power Station","2546931.0000","01/01/2019 12:02:17","L"
"31/12/2018 00:00:00","31/12/2018","NTS Energy Offtaken, Moffat, Interconnector","98877778.0000","01/01/2019 11:30:15","L"
"30/12/2018 20:31:26","24/12/2018","Demand, Actual DM, LDZ(SC), D+6","16556516.0000","30/12/2018 20:36:14","L"
"30/12/2018 20:31:26","24/12/2018","Demand, Actual NDM, LDZ(SC), D+6","209024790.0000","30/12/2018 20:36:14","L"
"30/12/2018 00:00:00","30/12/2018","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","19270000.0000","31/12/2018 12:02:18","L"
"30/12/2018 00:00:00","30/12/2018","NTS Energy Offtaken, Gowkhall, NTS Power Station","0.0000","31/12/2018 12:02:18","L"
"30/12/2018 00:00:00","30/12/2018","NTS Energy Offtaken, Peterhead, NTS Power Station","14384222.0000","31/12/2018 12:02:18","L"
"30/12/2018 00:00:00","30/12/2018","NTS Energy Offtaken, Moffat, Interconnector","80233333.0000","31/12/2018 11:58:15","L"
"29/12/2018 20:31:40","23/12/2018","Demand, Actual DM, LDZ(SC), D+6","16539575.0000","29/12/2018 20:36:13","L"
"29/12/2018 20:31:40","23/12/2018","Demand, Actual NDM, LDZ(SC), D+6","170896086.0000","29/12/2018 20:36:13","L"
"29/12/2018 00:00:00","29/12/2018","NTS Energy Offtaken, Moffat, Interconnector","101211111.0000","31/12/2018 04:48:15","L"
"29/12/2018 00:00:00","29/12/2018","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","21372222.0000","30/12/2018 12:02:18","L"
"29/12/2018 00:00:00","29/12/2018","NTS Energy Offtaken, Gowkhall, NTS Power Station","0.0000","30/12/2018 12:02:18","L"
"29/12/2018 00:00:00","29/12/2018","NTS Energy Offtaken, Peterhead, NTS Power Station","19982958.0000","30/12/2018 12:02:18","L"
"28/12/2018 20:31:50","22/12/2018","Demand, Actual DM, LDZ(SC), D+6","20185261.0000","28/12/2018 20:46:16","L"
"28/12/2018 20:31:50","22/12/2018","Demand, Actual NDM, LDZ(SC), D+6","155723226.0000","28/12/2018 20:46:16","L"
"28/12/2018 00:00:00","28/12/2018","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","19454444.0000","29/12/2018 12:02:18","L"
"28/12/2018 00:00:00","28/12/2018","NTS Energy Offtaken, Gowkhall, NTS Power Station","0.0000","29/12/2018 12:02:18","L"
"28/12/2018 00:00:00","28/12/2018","NTS Energy Offtaken, Peterhead, NTS Power Station","41550000.0000","29/12/2018 12:02:18","L"
"28/12/2018 00:00:00","28/12/2018","NTS Energy Offtaken, Moffat, Interconnector","106744444.0000","29/12/2018 11:46:14","L"
"27/12/2018 20:32:02","21/12/2018","Demand, Actual DM, LDZ(SC), D+6","22559057.0000","27/12/2018 20:36:16","L"
"27/12/2018 20:32:02","21/12/2018","Demand, Actual NDM, LDZ(SC), D+6","166175921.0000","27/12/2018 20:36:16","L"
"27/12/2018 00:00:00","27/12/2018","NTS Energy Offtaken, Moffat, Interconnector","117477778.0000","28/12/2018 12:08:19","L"
"27/12/2018 00:00:00","27/12/2018","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","18726667.0000","28/12/2018 12:02:18","L"
"27/12/2018 00:00:00","27/12/2018","NTS Energy Offtaken, Gowkhall, NTS Power Station","0.0000","28/12/2018 12:02:18","L"
"27/12/2018 00:00:00","27/12/2018","NTS Energy Offtaken, Peterhead, NTS Power Station","48883333.0000","28/12/2018 12:02:18","L"
"26/12/2018 20:28:41","20/12/2018","Demand, Actual DM, LDZ(SC), D+6","20609776.0000","26/12/2018 20:34:13","L"
"26/12/2018 20:28:41","20/12/2018","Demand, Actual NDM, LDZ(SC), D+6","172694429.0000","26/12/2018 20:34:13","L"
"26/12/2018 00:00:00","26/12/2018","NTS Energy Offtaken, Moffat, Interconnector","92388889.0000","27/12/2018 15:02:17","L"
"26/12/2018 00:00:00","26/12/2018","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","18992222.0000","27/12/2018 12:02:18","L"
"26/12/2018 00:00:00","26/12/2018","NTS Energy Offtaken, Gowkhall, NTS Power Station","0.0000","27/12/2018 12:02:18","L"
"26/12/2018 00:00:00","26/12/2018","NTS Energy Offtaken, Peterhead, NTS Power Station","2232458.0000","27/12/2018 12:02:18","L"
"25/12/2018 20:04:59","19/12/2018","Demand, Actual DM, LDZ(SC), D+6","18665390.0000","25/12/2018 20:10:14","L"
"25/12/2018 20:04:59","19/12/2018","Demand, Actual NDM, LDZ(SC), D+6","174851045.0000","25/12/2018 20:10:14","L"
