"Year"	"Coal"	"Manufactured Fuels"	"Primary oils"	"Petroleum products"	"Natural Gas"	"Bioenergy & waste"	"Primary electricity"	"Electricity"	"Heat sold"	"Total"
2004	0.99712797505247	1	 	0.943131129360771	0.803732000283341	0.942188660559545	 	0.597718503606777	0.993779475852188	0.760585392951301
2005	0.996479655788566	1	 	0.941801548429887	0.798579112988183	0.926111492009915	 	0.595378185613794	0.988384685874778	0.750806362327933
2006	0.996448562749569	1	 	0.939351404471378	0.808331141257375	0.93185007015434	 	0.596856133584417	0.989904305049071	0.753530184455703
2007	0.996707941470839	1	 	0.937193580355128	0.801151326004596	0.946723077525757	 	0.592196013686619	0.992147785542622	0.749714868816311
2008	0.994636467176633	1	 	0.936373367948145	0.731823546801589	0.970928004379962	 	0.589480505519017	0.993962411140325	0.724703384595442
2009	0.970860950657048	1	 	0.934575067140258	0.719458631211743	0.959225142237876	 	0.566969613027729	0.988109116344136	0.705667305190007
2010	0.998101007187327	1	 	0.935162441823686	0.702586962572754	0.966450034773016	 	0.5718396362054	0.98804230260786	0.70547765634828
2011	0.996922887562312	1	 	0.912511263513528	0.730822663105066	0.965779061062988	 	0.569811013095854	0.995909438065527	0.704129479477846
2012	0.997099893518478	1	 	0.922383431630333	0.693552994453729	0.943688441073248	 	0.558281197139769	0.991289335321353	0.689729268540859
2013	0.997744431988547	1	 	0.910898842706097	0.689569178891777	0.909410858965429	 	0.551559760217003	0.984109661964333	0.684428023725907
2014	0.997837300434477	1	 	0.874330884282341	0.714617495113738	0.921834730107236	 	0.554064559040552	0.9899240354396	0.693549669640146
2015	0.997448868974489	1	 	0.580268897426966	0.690185442387253	0.528895759047113	 	0.55415701321099	0.755509772259034	0.664688269058428
2016	0.997301016897316	1	 	0.584510070300856	0.688122530965395	0.555335571816516	 	0.557775191793811	0.734828786743643	0.63122032176389
2017	0.99688929065192	1	 	0.605263287474272	0.698280525198522	0.553708434313661	 	0.558244331988789	0.758093228720248	0.635982550648315
2018	0.996592993797502	1	 	0.580268897426966	0.696629040762336	0.575360705044125	 	0.556947287793329	0.749950167216673	0.63202715580504
