"Time"	"HYDRO"	"IMPORT"	"MOYLE"	"T_CRUA-1"	"T_CRUA-2"	"T_CRUA-3"	"T_CRUA-4"	"T_FOYE-1"	"T_FOYE-2"	"T_HUNB-7"	"T_HUNB-8"	"T_PEHE-1"	"T_TORN-1"	"T_TORN-2"	"Total"	"ElecDemand"	"Percentage"
2018-03-09 18:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	4592.05260914617	0.513307915173951
2018-03-09 19:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	4558.16278204792	0.509519649234062
2018-03-09 19:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	4462.27295494967	0.498800911574968
2018-03-09 20:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	4437.31833933902	0.496011439675723
2018-03-09 20:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	4337.36372372838	0.48483833263228
2018-03-09 21:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	4110.9533964832	0.459529778278918
2018-03-09 21:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3885.54306923803	0.43433300572748
2018-03-09 22:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3668.82820355392	0.410108227537885
2018-03-09 22:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3578.78720326009	0.400043282278123
2018-03-09 23:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3465.50426099195	0.387380310864291
2018-03-09 23:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3390.89518411408	0.379040373811097
2018-03-10 00:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3283.02695318663	0.366982668587819
2018-03-10 00:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3241.83258764944	0.362377888179012
2018-03-10 01:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3138.02914523438	0.350774552340083
2018-03-10 01:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3027.89956820959	0.338464069775273
2018-03-10 02:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	2932.00974111134	0.32774533211618
2018-03-10 02:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	2904.79377940336	0.324703082875403
2018-03-10 03:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	2891.27327925644	0.323191737006085
2018-03-10 03:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	2820.75277910952	0.315308828427176
2018-03-10 04:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	2745.03791342541	0.306845284308675
2018-03-10 04:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	2679.99691313157	0.299574884096979
2018-03-10 05:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	2640.10708603332	0.295115927345553
2018-03-10 05:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	2652.89112432534	0.296544950181683
2018-03-10 06:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	2702.50020120321	0.30209034218681
2018-03-10 06:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	2723.12322038439	0.304395620431968
2018-03-10 07:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	2761.47943174162	0.308683146852406
2018-03-10 07:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	2866.67507334097	0.32044210522479
2018-03-10 08:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3045.12471252975	0.340389527445757
2018-03-10 08:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3214.29527238246	0.359299717458357
2018-03-10 09:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3390.93101252181	0.379044378775074
2018-03-10 09:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3504.21970459644	0.391707992912636
2018-03-10 10:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3567.52323777341	0.398784175919227
2018-03-10 10:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3596.04751148292	0.401972670633012
2018-03-10 11:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3666.99598255802	0.409903418573442
2018-03-10 11:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3703.89216999568	0.4140277408893
2018-03-10 12:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3694.93953062893	0.413026998728921
2018-03-10 12:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3685.8300403499	0.412008723490935
2018-03-10 13:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3639.28984818628	0.406806376949059
2018-03-10 13:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3608.81936753922	0.403400331716882
2018-03-10 14:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3513.17209341373	0.392708707066145
2018-03-10 14:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3482.08912230968	0.389234196547024
2018-03-10 15:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3532.11323316749	0.394825981798288
2018-03-10 15:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3434.54318033955	0.383919425479494
2018-03-10 16:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3450.09733199307	0.385658096578702
2018-03-10 16:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3508.57480097836	0.392194813433754
2018-03-10 17:00:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3603.14805130224	0.402766381768638
2018-03-10 17:30:00	838	3900	500	120	120	100	100	150	150	0	508	1180	640	640	8946	3671.55550350449	0.410413090040743
