"Capacity - Technology"	"2020 - 1st quarter p"	"2019 - 4th quarter"	"2019 - 3rd quarter"	"2019 - 2nd quarter"	"2019 - 1st quarter"	"2018 - 4th quarter"	"2018 - 3rd quarter"	"2018 - 2nd quarter"	"2018 - 1st quarter"	"2017 - 4th quarter"	"2017 - 3rd quarter"	"2017 - 2nd quarter"	"2017 - 1st quarter"	"2016 - 4th quarter"	"2016 - 3rd quarter"	"2016 - 2nd quarter"	"2016 - 1st quarter"	"2015 - 4th quarter"	"2015 - 3rd quarter"	"2015 - 2nd quarter"	"2015 - 1st quarter"	"2014 - 4th quarter"	"2014 - 3rd quarter"	"2014 - 2nd quarter"	"2014 - 1st quarter"	"2013 - 4th quarter"	"2013 - 3rd quarter"	"2013 - 2nd quarter"	"2013 - 1st quarter"	"2012 - 4th quarter"	"2012 - 3rd quarter"	"2012 - 2nd quarter"	"2012 - 1st quarter"	"2011 - 4th quarter"	"2011 - 3rd quarter"	"2011 - 2nd quarter"	"2011 - 1st quarter"	"2010 - 4th quarter"
"Onshore Wind"	8357.04034053968	8353.08402676338	8352.85902676338	8313.25902676338	8135.15634053968	7933.95279298918	7836.39868081612	7736.29074114449	7680.10949400565	7331.04742563897	7331.48098577316	7154.86148532262	6867.24639575411	6297.98190659281	5937.19185019834	5631.01785340767	5550.25455201589	5397.99336831317	5311.05550374585	5187.72174938934	5155.00606236478	5079.47319504574	4949.56307398127	4843.41722991469	4593.07126196615	4588.75040518182	4509.92171401777	4408.8763612968	4141.75097347372	3764.99353561552	3609.49259316834	3372.59874833409	3174.81301146565	2897.8598067958	2715.46089068586	2629.29547786679	2496.66831258492	2486.15833694637
"Offshore Wind"	980.7825	980.7825	980.7825	980.7825	800.7825	627.8	472.5	258	210	247.000000000001	229.000000000001	180	180	180	180	180	180	187.35	187.35	187.35	187.35	197.35	197.35	197.35	197.35	190	190	190	190	190	190	190	190	190	190	190	190	190
"Shoreline wave / tidal"	21.918	21.918	21.918	21.918	21.918	19.918	19.918	19.918	17.918	17.918	17.918	17.918	17.918	13.007	7.307	7.307	7.307	7.638	7.638	7.638	7.638	7.388	6.638	6.638	5.888	6.748	6.748	5.61	5.61	6.748	4.86	4.86	3.56	2.56	2.56	2	2	2.45
"Solar photovoltaics"	364.977448039627	364.165861069243	362.455633338589	360.983881529725	359.977448039627	343.863897810381	336.70894665379	334.225309142889	317.50408541291	342.972872245231	321.014901694141	318.621413732306	314.701262615269	325.770489491192	323.660717184522	319.378239427626	303.764025134645	264.060272148266	217.728421367412	198.275435644264	184.078990338127	174.958522860154	162.607407488013	152.096682871935	143.266842867272	132.741393303187	123.379657743635	115.283337701779	102.629607138111	94.7435503389355	86.9740535192621	73.8134625131445	65.1814482841187	48.3166015821245	18.872929376427	8.83820954194689	4.27889537252246	2.40666654711503
"Small scale Hydro"	314.83567	313.90762	313.90762	313.90762	313.90762	313.36852	312.71577	312.54437	312.44437	313.18066	313.08166	283.328390000001	279.20539	291.19101	274.71271	243.94093	240.19443	232.34313	204.68624	200.59884	195.35904	188.63044	183.01214	180.30654	178.41974	170.60524	164.447050000001	162.08445	158.04375	157.72175	153.50545	153.16575	147.74385	146.00715	143.09095	140.96995	137.97165	135.91775
"Large scale Hydro"	1335.496	1335.496	1335.496	1335.496	1335.496	1335.496	1338.996	1338.996	1338.996	1335.496	1335.496	1335.496	1335.496	1335.596	1335.596	1335.596	1335.596	1339.096	1339.096	1339.096	1339.096	1339.096	1339.096	1339.096	1339.096	1339.096	1339.096	1339.096	1339.096	1339.096	1339.096	1339.096	1339.096	1339.096	1339.096	1339.096	1339.096	1321.096
"Landfill gas"	115.864	115.864	115.864	115.864	115.864	115.864	115.864	115.864	115.864	115.834	115.834	115.834	115.834	116.334	116.334	116.334	116.334	116.334	116.334	116.334	116.334	116.334	116.334	116.334	116.334	115.334	115.334	115.334	114.854	114.854	114.854	114.854	114.854	112.804	112.804	112.804	112.804	108.553
"Sewage sludge digestion"	7.248	7.248	7.248	7.248	7.248	7.248	7.248	7.248	7.248	7.248	7.248	7.248	7.248	7.248	7.248	7.248	7.248	6.9513	6.847	6.847	6.847	6.847	6.847	6.847	6.847	6.847	6.847	6.847	6.847	9.447	9.447	9.447	9.447	9.447	9.447	9.447	9.447	8.164
"Energy from waste"	69.337	69.337	32.557	32.557	32.557	17.5	17.5	17.5	17.5	17.5	17.5	17.5	17.5	17.5	17.5	17.5	17.5	17.5	17.5	17.5	17.5	17.5	17.5	17.5	17.5	17.5	17.5	17.5	17.5	17.7	17.7	17.7	17.7	10.5	10.5	10.5	10.5	10.5
"Animal Biomass (non-AD) 2"	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5	12.5
