"LAU1"	"GovernmentRegion"	"Year"	"All Fuels Total"	"Coal - Industrial"	"Coal - Commercial"	"Coal - Domestic"	"Coal - Rail"	"Coal - Public Sector"	"Coal - Agriculture"	"Coal - Total"	"Manufactured Fuels - Industrial"	"Manufactured Fuels - Domestic"	"Manufactured Fuels - Total"	"Petroleum Products - Industrial"	"Petroleum Products - Commercial"	"Petroleum Products - Domestic"	"Petroleum Products - Road transport"	"Petroleum Products - Rail"	"Petroleum Products - Public Sector"	"Petroleum Products - Agriculture"	"Petroleum Products - Total"	"Gas - Industrial & Commercial"	"Gas - Domestic"	"Gas - Total"	"Electricity - Industrial & Commercial"	"Electricity - Domestic"	"Electricity - Total"	"Bioenergy & Wastes - Industrial & Commercial"	"Bioenergy & Wastes - Domestic"	"Bioenergy & Wastes - Total"	"Consuming Sector - Industry & Commercial"	"Consuming Sector - Domestic"	"Consuming Sector - Transport"
"S12000033"	"Aberdeen City"	"2018"	"5059.6164034"	"2.2603714215"	"0.5442841628"	"4.3256131679"	"0"	"2.222600624"	"0"	"9.3528693763"	"12.370098205"	"4.1877059654"	"16.557804171"	"423.86775968"	"2.1166053739"	"21.084375726"	"1057.9617444"	"6.5366461404"	"17.174530708"	"12.157754676"	"1540.8994167"	"976.4790928"	"1344.512443"	"2320.991536"	"742.494977"	"379.266358"	"1121.761335"	"3.0311187357"	"47.022323344"	"50.053442091"	"2194.7191934"	"1800.3988192"	"1064.4983906"
"S12000034"	"Aberdeenshire"	"2018"	"6440.4634968"	"47.072909145"	"0.8251872512"	"46.576661651"	"0"	"1.9886032214"	"0"	"96.463361269"	"11.386976264"	"27.679380938"	"39.066357202"	"390.90287346"	"9.1619731723"	"558.62769396"	"2182.5618788"	"19.993243543"	"1.8435904959"	"376.8202452"	"3539.9114986"	"354.7766387"	"1063.364932"	"1418.141571"	"671.2702357"	"545.779705"	"1217.049941"	"0"	"129.83076766"	"129.83076766"	"1866.0492326"	"2371.8591412"	"2202.5551224"
"S12000041"	"Angus"	"2018"	"2778.0315097"	"23.874400584"	"0.2142770746"	"12.300681852"	"0.0203086782"	"0.3117617814"	"0"	"36.72142997"	"0"	"7.8938432989"	"7.8938432989"	"131.75330877"	"2.4413190095"	"120.45297531"	"887.45681999"	"11.635295523"	"0.2172811268"	"88.933251325"	"1242.8902511"	"338.0205508"	"578.3158808"	"916.3364316"	"294.7298301"	"232.5481209"	"527.277951"	"0"	"46.911602732"	"46.911602732"	"880.49598057"	"998.42310489"	"899.11242419"
"S12000035"	"Argyll and Bute"	"2018"	"2303.8330914"	"13.704038516"	"0.830477587"	"30.902655535"	"0"	"1.3049127606"	"0"	"46.742084398"	"0.0937046312"	"16.966088393"	"17.059793024"	"200.3635907"	"7.1285797855"	"126.50053077"	"695.41942669"	"5.0590504652"	"55.526548061"	"124.01565845"	"1214.0133849"	"142.4574448"	"321.7988282"	"464.256273"	"240.1542603"	"265.7079463"	"505.8622065"	"0"	"55.89934956"	"55.89934956"	"785.57921559"	"817.77539875"	"700.47847716"
"S12000036"	"City of Edinburgh"	"2018"	"9976.9595755"	"0.4998408273"	"0.48724149"	"7.3058898119"	"0"	"0.2209552997"	"0"	"8.5139274288"	"0.179308165"	"7.4197872981"	"7.5990954631"	"212.98935828"	"3.9151108955"	"19.853087878"	"2653.7325685"	"31.968794266"	"4.92097229"	"11.01849681"	"2938.3983889"	"1876.736722"	"2776.568895"	"4653.305617"	"1459.212659"	"823.0110188"	"2282.223677"	"0"	"86.918869697"	"86.918869697"	"3570.1806651"	"3721.0775485"	"2685.7013627"
"S12000005"	"Clackmannanshire"	"2018"	"1777.4866568"	"0.2242516836"	"0.016697191"	"2.7537497602"	"0"	"0.123948423"	"0"	"3.1186470578"	"0"	"1.9599963521"	"1.9599963521"	"19.197768837"	"0.3623776232"	"9.1718965396"	"238.12435502"	"46.188621351"	"0.0531234791"	"10.46155552"	"323.55969837"	"833.2623755"	"301.0379168"	"1134.300292"	"216.5190877"	"83.35804795"	"299.8771356"	"0"	"14.670887436"	"14.670887436"	"1080.221186"	"412.95249484"	"284.31297637"
"S12000006"	"Dumfries and Galloway"	"2018"	"5297.9055997"	"27.615716074"	"0.6514664638"	"34.197652028"	"0"	"1.2922315249"	"0"	"63.75706609"	"0.4320681769"	"19.450673433"	"19.88274161"	"213.52025184"	"6.067905445"	"256.14499117"	"2061.2386201"	"38.332841821"	"1.5778058958"	"524.43159128"	"3101.3140076"	"540.5395556"	"646.9677249"	"1187.507281"	"534.1815946"	"314.7960318"	"848.9776264"	"0"	"76.466877038"	"76.466877038"	"1850.3101869"	"1348.0239504"	"2099.571462"
"S12000042"	"Dundee City"	"2018"	"2910.4681915"	"0.0050190893"	"0.000327966"	"2.8666458104"	"0"	"0.000741994"	"0"	"2.8727348597"	"0.1324558378"	"3.1511606068"	"3.2836164446"	"89.428432744"	"0.5948037198"	"5.6397694991"	"706.88557895"	"4.1256811866"	"0.2937493654"	"1.160596835"	"808.1286123"	"662.5329164"	"761.0238049"	"1423.556721"	"359.6102025"	"273.7260757"	"633.3362782"	"0"	"39.290228689"	"39.290228689"	"1113.7592465"	"1085.6976852"	"711.01126013"
"S12000008"	"East Ayrshire"	"2018"	"2758.0504926"	"5.3744095103"	"0.1432643876"	"6.8981578985"	"0"	"0.4497133176"	"0"	"12.865545114"	"0.0468523156"	"4.6690967862"	"4.7159491018"	"95.303757577"	"1.1669798442"	"37.695739396"	"861.9833014"	"19.877748258"	"0.9037948747"	"101.40379153"	"1118.3351129"	"306.7401272"	"746.9480447"	"1053.688172"	"238.349952"	"184.2314015"	"422.5813535"	"114.31821106"	"31.546149017"	"145.86436005"	"864.20085362"	"1011.9885893"	"881.86104965"
"S12000045"	"East Dunbartonshire"	"2018"	"1854.7218199"	"1.2115598322"	"0.0117051647"	"2.2965874393"	"0"	"0.0118753"	"0"	"3.5317277361"	"0.0428017611"	"2.3329425867"	"2.3757443477"	"34.791551596"	"0.5580762961"	"8.7699647165"	"465.11931106"	"50.052185807"	"0.0973530204"	"9.4857317872"	"568.87417428"	"146.4327678"	"769.9798445"	"916.4126123"	"166.5338157"	"169.6590948"	"336.1929105"	"0"	"27.334650724"	"27.334650724"	"359.17723826"	"980.37308477"	"515.17149687"
"S12000010"	"East Lothian"	"2018"	"3022.7241867"	"527.60102551"	"0.1681321188"	"12.151438668"	"0"	"0.2606189262"	"0"	"540.18121522"	"0.4693007613"	"7.1867140385"	"7.6560147998"	"85.355489409"	"3.9214339869"	"49.976310594"	"770.28991688"	"1.8898715924"	"0.6621288594"	"40.15910321"	"952.25425453"	"207.4005601"	"558.8478752"	"766.2484353"	"295.6939206"	"182.9849478"	"478.6788685"	"244.58163398"	"33.123764391"	"277.70539832"	"1406.2733475"	"844.27105069"	"772.17978848"
"S12000011"	"East Renfrewshire"	"2018"	"1701.1670094"	"0.3352078266"	"0.0032352567"	"1.6310331262"	"0"	"0"	"0"	"1.9694762094"	"0.0429313658"	"1.7749555973"	"1.8178869631"	"13.662316507"	"0.2730429994"	"9.3451030019"	"629.69723662"	"15.038931521"	"0.1418486677"	"16.07159525"	"684.23007456"	"115.0950081"	"650.6387194"	"765.7337275"	"76.22115707"	"149.2280379"	"225.449195"	"0"	"21.966649134"	"21.966649134"	"221.84634304"	"834.58449816"	"644.73616814"
"S12000014"	"Falkirk"	"2018"	"18442.477911"	"0.608495335"	"0.0616536654"	"9.7463532721"	"0.4288255235"	"0.1633815197"	"0"	"11.008709316"	"740.1713186"	"6.2775314965"	"746.4488501"	"13808.923589"	"2.3963132471"	"23.1951061"	"1364.5305248"	"42.722911403"	"1.3220683132"	"24.402082131"	"15267.492595"	"770.3817838"	"927.0689153"	"1697.450699"	"419.9210191"	"262.4907563"	"682.4117754"	"0"	"37.665282147"	"37.665282147"	"15768.351705"	"1266.4439446"	"1407.6822617"
