"Lookup"	"Year"	"Sector"	"End Use"	"Fuel"	"Value"
"2018DomesticSpace heatingGas"	2018	"Domestic"	"Space heating"	"Gas"	20569.5824575729
"2018DomesticHeat totalGas"	2018	"Domestic"	"Heat total"	"Gas"	27201.0256696748
"2018DomesticLighting and appliancesGas"	2018	"Domestic"	"Lighting and appliances"	"Gas"	0
"2018DomesticOverall totalGas"	2018	"Domestic"	"Overall total"	"Gas"	27201.0256696748
"2018ServiceSpace heatingGas"	2018	"Service"	"Space heating"	"Gas"	6044.37239736237
"2018ServiceWater heatingGas"	2018	"Service"	"Water heating"	"Gas"	802.280366491705
"2018ServiceCooking/cateringGas"	2018	"Service"	"Cooking/catering"	"Gas"	586.743583452054
"2018ServiceHeat totalGas"	2018	"Service"	"Heat total"	"Gas"	7433.39634730613
"2018ServiceComputingGas"	2018	"Service"	"Computing"	"Gas"	0
"2018ServiceCooling and ventilationGas"	2018	"Service"	"Cooling and ventilation"	"Gas"	2.51809740750913
"2018ServiceLightingGas"	2018	"Service"	"Lighting"	"Gas"	0
"2018ServiceOtherGas"	2018	"Service"	"Other"	"Gas"	613.852143566647
"2018ServiceOverall totalGas"	2018	"Service"	"Overall total"	"Gas"	8049.76658828028
"2018IndustrySpace heatingGas"	2018	"Industry"	"Space heating"	"Gas"	1015.85057031658
"2018IndustryHigh temperature processGas"	2018	"Industry"	"High temperature process"	"Gas"	1900.50192315804
"2018IndustryLow temperature processGas"	2018	"Industry"	"Low temperature process"	"Gas"	3646.16402583334
"2018IndustryDrying/separationGas"	2018	"Industry"	"Drying/separation"	"Gas"	1071.77904027145
"2018IndustryUnkown (heat)Gas"	2018	"Industry"	"Unkown (heat)"	"Gas"	0
"2018IndustryHeat totalGas"	2018	"Industry"	"Heat total"	"Gas"	7634.2955595794
"2018IndustryMotorsGas"	2018	"Industry"	"Motors"	"Gas"	0
"2018IndustryCompressed airGas"	2018	"Industry"	"Compressed air"	"Gas"	0
"2018IndustryLightingGas"	2018	"Industry"	"Lighting"	"Gas"	0
"2018IndustryRefrigerationGas"	2018	"Industry"	"Refrigeration"	"Gas"	0
"2018IndustryOtherGas"	2018	"Industry"	"Other"	"Gas"	1013.17617378805
"2018IndustryOverall totalGas"	2018	"Industry"	"Overall total"	"Gas"	8647.47173336746
"2018TransportNon-heat purposesGas"	2018	"Transport"	"Non-heat purposes"	"Gas"	0
"2018TotalSpace heatingGas"	2018	"Total"	"Space heating"	"Gas"	27629.8054252518
"2018TotalWater heatingGas"	2018	"Total"	"Water heating"	"Gas"	6816.56101746396
"2018TotalCooking/cateringGas"	2018	"Total"	"Cooking/catering"	"Gas"	1203.90614458167
"2018TotalProcess useGas"	2018	"Total"	"Process use"	"Gas"	5546.66594899137
"2018TotalDrying/separationGas"	2018	"Total"	"Drying/separation"	"Gas"	1071.77904027145
"2018TotalUnkown (heat)Gas"	2018	"Total"	"Unkown (heat)"	"Gas"	0
"2018TotalHeat totalGas"	2018	"Total"	"Heat total"	"Gas"	42268.7175765603
