"GEO/TIME"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"
"EU (28)"	1088.5	1093.69	1065.71	1069.51	1063.8	1082.37	1130.58	1119.13	1127.61	1128.12	1133.27	1157.77	1145.78	1176.78	1188.66	1192.85	1194.79	1174.65	1180.28	1115.77	1163.13	1110.66	1110.62	1110.58	1065.56	1088.27	1110.08	1122.64
"Euro area (19 countries)"	728.64	745.13	732.03	730.49	726.89	741.37	772.27	768.48	784.18	789.28	796.26	817.5	811.13	834.49	842.22	845.19	846.08	829.81	836.07	789.88	822.91	785.83	784.39	786.91	752.53	768.22	781.07	787.12
"Belgium"	31.72	33.26	33.22	32.74	33.73	34.42	36.65	36.24	37.18	37.12	37.72	38.61	36.39	37.66	37.83	36.6	36.7	35.56	37	34.82	37.72	35.02	35.07	36.47	34.24	35.92	36.48	36.05
"Bulgaria"	16.19	12.26	10.93	10.77	10.84	11.44	11.58	10.7	10.31	9.15	9.07	9.09	9.07	9.75	9.65	10.14	10.51	10.33	9.98	8.6	8.84	9.26	9.23	8.77	8.99	9.49	9.65	9.89
"Czechia"	32.6	29.18	28.92	28.12	26.53	26.22	26.62	26.37	25.37	24.22	25.05	25.5	25	26.22	26.63	26.29	26.7	26.24	26.09	25.1	25.25	24.46	24.41	24.21	23.58	24.2	24.82	25.49
"Denmark"	13.46	14.22	14.03	14.5	14.52	14.82	15.43	15.08	15.05	15.01	14.72	15.13	14.8	15.13	15.37	15.5	15.67	15.72	15.53	14.79	15.52	14.8	14.23	14.07	13.59	14.03	14.44	14.62
"Germany"	229.54	227.77	221.17	222.31	218.28	221.6	231.11	227.1	225.88	221.87	220.15	223.81	220.21	223.68	221.79	218.72	223.6	210.7	218.05	205.96	220.04	209.23	212.17	217.45	208.6	212.01	216.72	218.71
"Estonia"	5.46	5.17	3.43	2.94	2.86	2.55	2.99	2.92	2.67	2.43	2.43	2.66	2.62	2.75	2.82	2.88	2.9	3.11	3.1	2.77	2.9	2.85	2.89	2.89	2.82	2.78	2.83	2.87
"Ireland"	7.34	7.46	7.37	7.62	7.89	8	8.36	8.69	9.42	10.04	10.81	11.28	11.32	11.67	11.96	12.65	13.31	13.34	13.36	11.92	12.01	10.95	10.67	10.79	10.82	11.21	11.59	11.76
"Greece"	14.7	15.01	15.1	15.14	15.45	15.83	16.94	17.42	18.32	18.25	18.69	19.3	19.65	20.69	20.47	20.96	21.55	22.05	21.37	20.51	18.96	18.84	16.97	15.28	15.52	16.5	16.69	16.75
"Spain"	57.27	59.75	60.69	60.01	62.87	64.18	65.75	68.66	72.33	74.95	80.02	84.03	85.35	90.72	95.05	98.08	95.81	98.4	94.83	87.78	89.09	86.48	82.83	80.73	79.19	80.35	82.46	84.33
