"GEO/TIME"	"Target"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"
"Austria"	"34%"	61.62	61.88	62.83	64.74	65.04	67.79	65.6	66.01	66.52	68.01	70.08	70.64	73.33	72.17
"Belgium"	"13%"	1.69	2.35	3.1	3.63	4.6	6.17	7.14	9.07	11.29	12.48	13.39	15.54	15.75	17.24
"Bulgaria"	"16%"	9.09	9.3	9.27	9.37	9.96	11.26	12.66	12.88	16.05	18.89	18.88	19.13	19.24	19.12
"Croatia"	"20%"	35.03	35.37	34.97	33.96	33.85	35.86	37.5	37.57	38.74	42.06	45.22	45.39	46.64	46.42
"Cyprus"	"13%"	0.01	0.01	0.02	0.07	0.28	0.58	1.36	3.42	4.91	6.64	7.39	8.44	8.59	8.9
"Czechia"	"13%"	3.69	3.78	4.1	4.62	5.18	6.38	7.52	10.61	11.67	12.78	13.89	14.07	13.61	13.65
"Denmark"	"30%"	23.75	24.65	23.97	25	25.94	28.26	32.73	35.87	38.71	43.09	48.52	51.37	53.92	60.36
"Estonia"	"25%"	0.47	0.99	1.32	1.34	1.88	5.82	10.16	12.06	15.43	12.69	13.84	14.88	15.21	17.03
"EU (28)"	"20%"	14.3	14.83	15.36	16.09	16.97	18.99	19.7	21.69	23.52	25.35	27.43	28.8	29.56	30.75
"Finland"	"38%"	26.71	26.92	26.42	25.47	27.27	27.35	27.66	29.39	29.5	30.88	31.42	32.47	32.93	35.22
"France"	"23%"	13.78	13.74	14.06	14.29	14.36	15.09	14.81	16.21	16.53	16.9	18.4	18.75	19.19	19.91
"Germany"	"18%"	9.37	10.45	11.82	13.58	14.99	17.34	18.15	20.88	23.59	25.27	28.14	30.81	32.18	34.41
"Greece"	"18%"	7.84	8.21	8.92	9.33	9.65	11.02	12.31	13.81	16.36	21.24	21.92	22.09	22.66	24.47
"Hungary"	"13%"	2.22	4.42	3.45	4.19	5.32	6.96	7.1	6.38	6.06	6.6	7.3	7.34	7.29	7.49
"Ireland"	"16%"	6.03	7.2	8.5	9.68	10.8	14.03	15.64	18.25	19.84	21.25	23.51	25.53	26.84	30.09
"Italy"	"17%"	16.09	16.29	15.93	15.95	16.65	18.81	20.09	23.55	27.42	31.3	33.42	33.46	34.01	34.1
"Latvia"	"40%"	45.96	43.02	40.41	38.62	38.73	41.94	42.05	44.69	44.88	48.68	51.03	52.21	51.25	54.36
"Lithuania"	"23%"	3.59	3.83	4.02	4.66	4.91	5.87	7.4	9.03	10.87	13.14	13.7	15.55	16.88	18.25
"Luxembourg"	"11%"	2.76	3.18	3.17	3.3	3.58	4.11	3.79	4.07	4.66	5.33	5.96	6.2	6.67	8.05
"Malta"	"10%"	0	0	0	0	0	0	0.03	0.45	1.12	1.57	3.33	4.31	5.68	6.58
"Netherlands"	"14%"	4.45	6.3	6.54	5.96	7.47	9.07	9.6	9.74	10.35	9.91	9.92	11.04	12.55	13.8
"Poland"	"15%"	2.21	2.68	3.01	3.45	4.37	5.83	6.65	8.16	10.68	10.73	12.4	13.43	13.36	13.09
"Portugal"	"31%"	27.39	27.7	29.31	32.28	34.06	37.56	40.61	45.78	47.51	49.1	52.05	52.62	53.99	54.17
"Romania"	"24%"	24.97	26.87	28.05	28.11	28.08	30.89	30.38	31.13	33.57	37.52	41.68	43.16	42.71	41.63
"SCOTLAND"	"30%"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Slovakia"	"14%"	15.4	15.73	16.57	16.47	17.01	17.76	17.77	19.31	20.05	20.8	22.87	22.66	22.51	21.34
"Slovenia"	"25%"	29.27	28.65	28.23	27.7	29.96	33.76	32.2	31.04	31.63	33.09	33.94	32.73	32.06	32.43
"Spain"	"20%"	18.98	19.12	19.99	21.68	23.75	27.84	29.78	31.56	33.47	36.73	37.77	36.95	36.61	36.34
"Sweden"	"49%"	51.18	50.88	51.75	53.16	53.57	58.28	55.99	59.88	59.96	61.81	63.22	65.76	64.86	65.89
"United Kingdom"	"15%"	3.53	4.12	4.51	4.82	5.47	6.68	7.47	8.9	10.82	13.84	17.84	22.35	24.6	28.11
