"GEO/TIME"	"Target"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"
"Austria"	"34%"	20.17	21.87	22.91	25.09	25.12	27.36	28.68	28.9	29.99	31.95	32.95	32.04	32.19	32.05
"Belgium"	"13%"	2.85	3.42	3.71	4.56	5.02	5.94	6.06	6.62	7.28	7.42	7.68	7.73	8.09	8.03
"Bulgaria"	"16%"	14.06	14.26	14.79	13.86	17.3	21.69	24.41	24.88	27.53	29.2	28.32	28.63	30	29.9
"Croatia"	"20%"	29.44	30.04	29.11	29.17	28.65	31.17	32.8	33.73	36.47	37.22	36.14	38.54	37.58	36.55
"Cyprus"	"13%"	9.26	9.97	10.43	13.07	14.47	16.27	18.16	19.18	20.68	21.6	21.57	22.54	23.01	24.49
"Czechia"	"13%"	9.93	10.85	11.25	12.38	12.92	14.25	14.11	15.4	16.27	17.65	19.46	19.71	19.78	19.65
"Denmark"	"30%"	20.64	22.8	23.77	26.87	28.07	29.54	30.96	32.3	33.57	35.07	38.53	40.69	42.18	46.55
"Estonia"	"25%"	33.22	32.17	30.66	32.7	35.46	41.79	43.25	44.09	43.13	43.16	45.21	49.63	51.19	51.64
"EU (28)"	"20%"	10.4	11.09	11.8	13.21	13.77	15.19	15.38	16	17.05	17.55	18.38	18.8	19.05	19.48
"Finland"	"38%"	39.5	39.12	41.41	41.43	43.27	43.09	44.17	45.92	48.36	50.78	51.96	52.61	53.75	54.85
"France"	"23%"	12.52	12.36	11.69	12.78	13.28	15.05	16.15	16.03	17.55	18.55	19.14	19.89	21.1	21.35
"Germany"	"18%"	7.15	7.66	8.38	10.21	10.3	11.16	12.09	12.63	13.51	13.54	13.5	13.52	13.1	13.42
"Greece"	"18%"	12.77	12.76	12.42	14.37	14.22	16.52	17.91	19.45	23.44	26.54	26.99	25.76	24.57	26.57
"Hungary"	"13%"	6.45	9.94	11.38	13.54	11.97	17.02	18.08	20.04	23.31	23.7	21.16	21.16	20.9	19.64
"Ireland"	"16%"	2.87	3.45	3.69	3.79	3.51	4.18	4.29	4.66	4.88	5.22	6.33	6.25	6.3	6.86
"Italy"	"17%"	5.71	8.22	10.09	13.33	15.31	16.43	15.64	13.82	16.98	18.09	18.91	19.25	18.89	20.08
"Latvia"	"40%"	42.49	42.68	42.59	42.36	42.94	47.89	40.74	44.71	47.26	49.65	52.15	51.74	51.81	54.58
"Lithuania"	"23%"	30.45	29.32	29.23	29.1	31.99	33.72	32.54	32.79	34.54	36.88	40.63	46.09	46.57	46.5
"Luxembourg"	"11%"	1.83	3.62	3.64	4.37	4.59	4.67	4.75	4.81	5.04	5.47	7.22	7.08	7.32	8.11
"Malta"	"10%"	1.04	1.03	1.36	1.51	1.7	2.01	7.51	11.79	13.12	15.83	14.78	14.8	16.1	19.83
"Netherlands"	"14%"	2.21	2.41	2.74	2.96	3.06	3.39	3.1	3.69	3.83	4.09	5.07	5.35	5.38	5.93
"Poland"	"15%"	10.21	10.16	10.17	10.46	10.85	11.54	11.73	13.14	13.37	14.1	14.03	14.54	14.68	14.48
"Portugal"	"31%"	32.5	32.09	34.21	35.02	37.51	37.99	33.87	35.23	33.17	34.63	33.97	33.54	35.08	34.39
"Romania"	"24%"	17.34	17.93	17.58	19.47	23.17	26.43	27.23	24.31	25.74	26.2	26.74	25.89	26.86	26.58
"SCOTLAND"	"30%"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Slovakia"	"14%"	5.06	5.03	4.45	6.23	6.1	8.18	7.9	9.26	8.8	7.88	8.86	10.79	9.89	9.84
"Slovenia"	"25%"	18.36	18.91	18.52	20.39	19.23	27.56	28.14	30.29	31.46	33.4	32.42	33.93	34.02	33.25
"Spain"	"20%"	9.5	9.36	11.35	11.23	11.61	13.27	12.55	13.58	14.09	14.09	15.72	16.99	17.14	17.52
"Sweden"	"49%"	46.63	51.8	56.27	58.67	60.98	63.57	60.89	62.17	65.78	67.07	67.9	68.56	68.54	69.07
"United Kingdom"	"15%"	0.73	0.75	0.85	1	1.94	2.32	2.65	2.98	3.19	4.02	4.65	6.07	6.97	7.45
