"GEO/TIME"	"Target"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"
"Austria"	"34%"	22.66	23.69	25.35	26.99	27.63	29.78	29.93	30.12	31.03	31.96	33.2	32.77	33.04	32.56
"Belgium"	"13%"	1.89	2.33	2.63	3.1	3.59	4.72	5.65	6.29	7.18	7.54	8	7.94	8.65	9.06
"Bulgaria"	"16%"	9.45	9.35	9.57	9.24	10.49	12.15	14.07	14.29	16.05	18.95	18.04	18.21	18.81	18.73
"Croatia"	"20%"	23.41	23.73	22.7	22.16	21.98	23.59	25.1	25.39	26.75	28.04	27.81	28.96	28.26	27.28
"Cyprus"	"13%"	3.07	3.13	3.26	4	5.13	5.59	5.96	5.99	6.77	8.12	8.93	9.38	9.34	9.85
"Czechia"	"13%"	6.86	7.09	7.39	7.96	8.63	9.92	10.52	10.95	12.83	13.89	15.03	15.02	14.87	14.76
"Denmark"	"30%"	14.85	15.97	16.35	17.76	18.56	19.97	22.15	23.51	25.75	27.45	29.66	31.39	32.6	35.77
"Estonia"	"25%"	18.36	17.39	15.94	17.03	18.63	22.91	24.56	25.37	25.54	25.37	26.24	28.35	28.64	29.21
"EU (28)"	"20%"	8.53	9.09	9.67	10.6	11.32	12.58	13.12	13.37	14.68	15.4	16.19	16.72	17.02	17.52
"Finland"	"38%"	29.23	28.81	30.04	29.56	31.35	31.33	32.43	32.78	34.42	36.73	38.79	39.32	39.05	41.01
"France"	"23%"	9.5	9.6	9.33	10.24	11.19	12.22	12.67	11.11	13.62	14.24	14.77	15.19	15.93	16.3
"Germany"	"18%"	6.18	7.13	8.44	10.02	10.04	10.82	11.67	12.47	13.6	13.82	14.42	14.92	14.89	15.45
"Greece"	"18%"	6.88	7.02	7.18	8.13	7.99	8.48	9.81	10.89	13.46	15.01	15.37	15.39	15.08	16.32
"Hungary"	"13%"	4.36	6.93	7.43	8.57	8.56	11.67	12.74	13.97	15.53	16.21	14.57	14.43	14.27	13.33
"Ireland"	"16%"	2.38	2.82	3.14	3.51	3.98	5.18	5.78	6.59	7.1	7.62	8.68	9.1	9.26	10.65
"Italy"	"17%"	6.32	7.55	8.33	9.81	11.49	12.78	13.02	12.88	15.44	16.74	17.08	17.53	17.41	18.27
"Latvia"	"40%"	32.79	32.26	31.14	29.61	29.81	34.32	30.38	33.48	35.71	37.04	38.63	37.54	37.14	39.01
"Lithuania"	"23%"	17.22	16.77	16.89	16.48	17.82	19.8	19.64	19.95	21.44	22.69	23.59	25.75	25.61	25.84
"Luxembourg"	"11%"	0.9	1.4	1.47	2.73	2.82	2.94	2.86	2.87	3.14	3.53	4.51	5.05	5.44	6.38
"Malta"	"10%"	0.1	0.12	0.15	0.18	0.2	0.22	1.01	1.82	2.82	3.71	4.74	5.15	6.2	7.17
"Netherlands"	"14%"	2.05	2.5	2.8	3.32	3.61	4.28	3.92	4.53	4.69	4.74	5.49	5.74	5.94	6.6
"Poland"	"15%"	6.91	6.89	6.88	6.92	7.6	8.66	9.25	10.29	10.9	11.37	11.5	11.74	11.27	10.9
"Portugal"	"31%"	19.21	19.53	20.79	21.92	22.94	24.42	24.17	24.62	24.58	25.7	26.99	28.03	28.42	28.12
"Romania"	"24%"	16.19	17.22	17.1	18.32	20.53	22.69	23.15	21.23	22.79	23.89	24.84	24.79	25.03	24.47
"SCOTLAND"	"30%"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Slovakia"	"14%"	6.39	6.36	6.62	7.78	7.74	9.37	9.11	10.33	10.43	10.11	11.66	12.88	12.03	11.49
"Slovenia"	"25%"	16.13	16	15.59	15.61	14.99	20.15	20.42	20.26	20.82	22.41	21.54	21.89	21.29	21.55
"Spain"	"20%"	8.33	8.43	9.14	9.65	10.74	12.96	13.81	13.22	14.29	15.32	16.13	16.22	17.36	17.51
"Sweden"	"49%"	38.67	40.53	42.6	44.13	45.22	48.14	47.18	48.73	51.08	51.92	52.4	53.64	53.76	54.5
"United Kingdom"	"15%"	1.13	1.32	1.53	1.78	2.65	3.27	3.68	4.18	4.24	5.31	6.5	8.4	9.23	10.21
