"GEO/TIME"	"1990"	"1991"	"1992"	"1993"	"1994"	"1995"	"1996"	"1997"	"1998"	"1999"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"
"EU (28)"	24972.2	25971	27063.4	27671.3	28621	28546.7	28545.7	29029	30044.2	29912	30687.3	32605.5	27427.9	26561.3	28284.2	26940.2	27171.8	27036.9	28570.5	28872.7	32410.7	26845.7	28876.4	31950	32244.5	29327.9	30105
"Euro area (19 countries)"	16554.3	17931.2	18381.5	18964.1	21094.8	19801	21168.5	20152.3	20413.7	20501.4	21087.4	23013.9	18809.2	19531.3	19977.5	17128.5	18545.1	18485.3	19591.2	20055.4	22954.8	18304.3	19524.2	23427.2	23089	19510.7	21450.3
"Belgium"	22.9	19.7	29.3	21.8	29.8	29.1	20.6	26.2	33.4	29.3	39.6	37.9	31	21.2	27.3	24.8	30.9	33.4	35.3	28.2	26.8	16.9	30.7	32.7	25.1	27.3	31.8
"Bulgaria"	161.5	209.9	177.4	167	126.2	199	251	236.8	266.3	236.7	229.8	149.4	188.7	260.4	272.4	372.9	364.4	247.1	242.8	298.4	434.8	250.8	277.4	350.8	396	486.8	339
"Czechia"	99.8	93.6	120.6	117.7	125.5	172.1	169.3	146.1	120	144.5	151.2	176.6	214.3	118.9	173.6	204.6	219.3	179.6	174	208.9	239.8	168.8	183.1	235.1	164.1	154.3	172
"Denmark"	2.4	2.1	2.4	2.4	2.8	2.6	1.6	1.6	2.3	2.7	2.6	2.4	2.8	1.8	2.3	2	2	2.4	2.2	1.6	1.8	1.5	1.5	1.1	1.3	1.5	1.6
"Germany"	1498.4	1280.4	1495.9	1537.2	1713.7	1872.7	1888	1492.4	1480.3	1689.3	1868.6	1954.7	1988.3	1523.7	1727.9	1688.6	1720.4	1820.2	1757.8	1636.4	1801.6	1519.4	1870.6	1977.5	1684.2	1631.7	1766.7
"Estonia"	0	0	0.1	0.1	0.3	0.2	0.2	0.3	0.3	0.3	0.4	0.6	0.5	1.1	1.9	1.9	1.2	1.8	2.4	2.8	2.3	2.6	3.6	2.2	2.3	2.3	3
"Ireland"	59.9	64.1	70.2	65.8	79.1	61.3	62.1	58.3	78.8	72.7	72.7	51.2	78.4	51.4	54.2	54.3	62.3	57.4	83.3	77.6	51.5	60.8	69	51.5	61	69.4	58.6
"Greece"	152.1	266.5	189.4	196.2	223.5	303.4	373.9	333.8	319.6	394.8	317.5	180.3	240.8	409.8	401.7	431.4	504.3	222.8	284.8	462.1	641.4	344.9	378.6	545.7	384.9	524.3	476.6
"Spain"	2190	2342.6	1626.5	2099.7	2427.9	1984.5	3421	2988.2	2922.5	1962.4	2429.6	3515.7	1824.9	3480.9	2672.7	1581.5	2232.1	2348.2	2008.9	2270.9	3637.5	2630.8	1766.6	3169.8	3367.9	2419.6	3129.4
"France"	4631.6	4952.9	5929.1	5580	6775.1	6287.1	5678.8	5482.7	5339	6235.1	5706.2	6385.9	5193.2	5068.2	5120.8	4426.5	4841.2	4953.1	5473.3	4900.6	5392.4	3851.3	5044.4	6080.5	5402.4	4681.3	5162.8
"Croatia"	354	505.7	373.9	391.2	467.3	488.7	676.1	503.3	517.8	630	554.9	617.5	503.1	469.3	655.8	605	569	404.1	497.1	637.1	784.7	432.8	415.9	741.4	774.5	549.5	589.3
"Italy"	2719.3	3631.9	3628.5	3561.9	3839.9	3248.7	3614.5	3577.2	3544.3	3900.7	3800.4	4025	3397.9	3153.1	3640.4	3101.2	3180.9	2821.7	3578.9	4225.1	4395.2	3940.1	3600.6	4537.7	5034	3915.6	3648.5
"Cyprus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Latvia"	386.6	281.6	216.8	247.3	284.2	252.5	159.9	253.9	371.1	237.1	242.4	243.6	211.9	194.8	267.3	286	232	235	267.3	297.2	302.7	248.2	318.7	250.4	171.5	159.9	217.5
"Lithuania"	35.6	29.1	26.7	33.8	38.9	32.1	28	25.5	35.9	35.7	29.2	28	30.4	27.9	36.2	38.8	34.1	36.2	34.6	36.5	46.4	41.3	36.4	44.8	34.3	30	39
"Luxembourg"	6	7.2	6	5.8	7.4	7.6	5.2	7.1	9.9	7.3	10.7	10.1	8.5	6.8	8.9	8.1	9.5	10.1	11.3	9.1	9.3	5.3	8.5	10.2	9.3	8.5	9.9
"Hungary"	15.3	16.7	13.6	14.3	13.8	14	17.8	18.6	13.3	15.6	15.3	16	16.7	14.7	17.6	17.4	16	18.1	18.3	19.6	16.2	19.1	18.3	18.3	25.9	20.1	22.3
"Malta"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Netherlands"	7.3	8.9	10.3	7.9	8.6	7.6	6.9	7.9	9.6	7.7	12.2	10.1	9.5	6.2	8.2	7.6	9.1	9.2	8.8	8.4	9	4.9	8.9	9.8	9.6	8	8.6
"Austria"	2709.3	2703.6	2996.4	3156.1	3070.3	3187.2	2942	3104.5	3195.4	3499.5	3597.2	3478.5	3458.9	2856	3161	3189.6	3065.9	3186.1	3295.8	3516.4	3298.6	2944.4	3766.6	3615	3526.2	3186.2	3425.5
"Poland"	121.8	122.5	129.6	127.9	149	162.3	166	168.6	198.5	185.3	181.1	199.9	196	143.7	179	189.3	175.6	202.2	185	204.2	251.1	200.4	175.2	209.7	187.7	157.5	184
"Portugal"	786.2	776.6	396.3	732.7	916.1	716.5	1268.5	1126.3	1115.8	624.1	973.6	1206.7	670.7	1351.9	848.6	406.8	946	867.8	584.6	712.3	1388.5	992.3	483.4	1180.6	1338.7	744.6	1351.9
"Romania"	981.2	1254.3	1006	1097.9	1121.8	1435.3	1354.7	1505.5	1623.3	1572.7	1270.7	1283.1	1379.7	1140.1	1419.9	1737.5	1578.3	1372.8	1478.5	1335.7	1709.6	1266.4	1037.5	1286.1	1617	1430.2	1550.1
"Slovenia"	253.7	310.2	294.3	261	292.3	279.6	315.8	265.9	296.6	321.7	329.7	326.4	284.8	254.3	352	297.6	308.8	280.8	345.5	405.4	388.5	306.3	335.3	398	523.8	327.4	387.2
"Slovakia"	161.7	121.1	166.6	298.1	374.5	419.6	363.5	349.4	366.9	384.7	396.8	423.6	453	299.2	352.5	398.8	378.2	382.7	347.3	375.6	451.8	324.8	352.8	416.9	361.9	332.4	374.8
"Finland"	933.7	1134.7	1299	1158.7	1013.5	1111.3	1019.8	1052.6	1294.2	1098.9	1260.5	1135.4	926.6	824.7	1295.8	1185.2	988.3	1219	1471.4	1090.8	1111.1	1070.1	1449.6	1103.9	1151.9	1441.9	1358.5
"Sweden"	6234.1	5437.3	6391.4	6418.8	5081.7	5855.7	4448.8	5937.7	6448.8	6164.3	6757	6797.9	5705.9	4603.6	5169.6	6259.9	5307.2	5688.7	5938.9	5662.3	5709.2	5712.3	6786.9	5276.1	5482.7	6475.7	5332.6
"United Kingdom"	447.7	397.6	467	369.9	438	416	291.7	358.5	440.1	458.8	437.3	348.8	411.6	277.5	416.4	423.2	394.9	436.5	442.4	449.7	308.8	489.3	456.6	404.2	506.3	541.6	463.9
