"Time"	"X__3"	"X__4"	"X__5"	"X__6"	"X__7"	"X__8"	"X__9"	"X__10"	"X__11"	"X__12"	"X__13"	"X__14"	"X__15"	"X__16"	"X__17"	"X__18"
"NA NA"	"Imports/Exports"	0	0	0	0	0	0	0	0	0	0	0	"Transfers"	0	0	0
"NA NA"	"France-UK"	0	"Ireland-NI"	0	"Netherlands-UK"	0	"Ireland-Wales"	0	"Belgium-UK"	0	"Total"	0	"Scotland-England"	"England-Scotland"	"Scotland-NI"	"NI-Scotland"
"NA NA"	"Imports"	"Exports"	"Imports"	"Exports"	"Imports"	"Exports"	"Imports"	"Exports"	"Imports"	"Exports"	"Imports"	"Exports"	0	0	0	0
"1998 Q1"	"4216.46"	"0"	"7.911"	"10.308"	0	0	0	0	0	0	"4224.37"	"10.308"	0	0	0	0
"1998 Q2"	"3969.31"	"0"	"23.198"	"14.088"	0	0	0	0	0	0	"3992.51"	"14.088"	0	0	0	0
"1998 Q3"	"880.715"	"0"	"9.217"	"43.016"	0	0	0	0	0	0	"889.932"	"43.016"	0	0	0	0
"1998 Q4"	"3720.89"	"0"	"11.631"	"63.168"	0	0	0	0	0	0	"3732.52"	"63.168"	0	0	0	0
"1999 Q1"	"3638.8"	"0"	"6.906"	"24.189"	0	0	0	0	0	0	"3645.71"	"24.189"	0	0	0	0
"1999 Q2"	"3741.98"	"0"	"6.115"	"39.648"	0	0	0	0	0	0	"3748.09"	"39.648"	0	0	0	0
"1999 Q3"	"3415.45"	"0"	"3.847"	"124.863"	0	0	0	0	0	0	"3419.3"	"124.863"	0	0	0	0
"1999 Q4"	"3688.26"	"0"	"5.859"	"74.154"	0	0	0	0	0	0	"3694.12"	"74.154"	0	0	0	0
"2000 Q1"	"3259.14"	"0.93"	"5.952"	"26.781"	0	0	0	0	0	0	"3265.09"	"27.711"	"3301.11"	"0"	0	0
"2000 Q2"	"3785.87"	"0"	"9.84"	"16.253"	0	0	0	0	0	0	"3795.71"	"16.253"	"2667.98"	"9.92"	0	0
"2000 Q3"	"3760.53"	"0"	"5.922"	"45.758"	0	0	0	0	0	0	"3766.45"	"45.758"	"1955.66"	"0.1"	0	0
"2000 Q4"	"3461.7"	"0"	"19.289"	"44.323"	0	0	0	0	0	0	"3480.99"	"44.323"	"1657.22"	"10.63"	0	0
"2001 Q1"	"3214.03"	"0"	"37.239"	"12.849"	0	0	0	0	0	0	"3251.27"	"12.849"	"2129.66"	"1.5"	0	0
"2001 Q2"	"2614.72"	"0"	"25.009"	"10.502"	0	0	0	0	0	0	"2639.73"	"10.502"	"2419.39"	"0"	0	0
"2001 Q3"	"2652.74"	"0"	"18.239"	"29.369"	0	0	0	0	0	0	"2670.98"	"29.369"	"1888.06"	"0.467"	0	0
