"Code"	"All domestic"	"All non-domestic"	"Average Consumption"	"Year"	"Location"
"K03000001"	"102761.14302"	"173911.25656000001"	"3798.9718216000001"	"2018"	"Great Britain"
"S12000005"	"83.358047945999999"	"216.51908767"	"3521.0800011000001"	"2018"	"Clackmannanshire"
"S12000006"	"314.79603176000001"	"534.18159458000002"	"4523.8414590000002"	"2018"	"Dumfries and Galloway"
"S12000008"	"184.23140149"	"238.34995196"	"3343.1578835999999"	"2018"	"East Ayrshire"
"S12000010"	"182.98494782"	"295.69392062999998"	"3980.0967443"	"2018"	"East Lothian"
"S12000011"	"149.22803789"	"76.221157065"	"3815.7931340999999"	"2018"	"East Renfrewshire"
"S12000013"	"86.539891224000002"	"65.655621468000007"	"6775.2204825999997"	"2018"	"Na h-Eileanan Siar"
"S12000014"	"262.49075628000003"	"419.92101910999997"	"3632.2354086999999"	"2018"	"Falkirk"
"S12000017"	"637.46718103000001"	"920.97222417"	"5854.8759256000003"	"2018"	"Highland"
"S12000018"	"128.82222608999999"	"172.43284718000001"	"3422.4820960000002"	"2018"	"Inverclyde"
"S12000019"	"135.73476493999999"	"210.17757925999999"	"3469.5252016999998"	"2018"	"Midlothian"
"S12000020"	"181.13499529000001"	"304.49730686999999"	"4256.5915142000003"	"2018"	"Moray"
"S12000021"	"235.32990860999999"	"421.05752903000001"	"3680.7681022000002"	"2018"	"North Ayrshire"
"S12000023"	"79.803501752000003"	"58.118763282000003"	"7595.9929327999998"	"2018"	"Orkney Islands"
"S12000026"	"242.30845586999999"	"316.69436080000003"	"4453.1353879999997"	"2018"	"Scottish Borders"
"S12000027"	"95.154455534999997"	"88.416353919000002"	"9163.5646701999995"	"2018"	"Shetland Islands"
"S12000028"	"194.64045941000001"	"277.92290924999998"	"3722.9674147000001"	"2018"	"South Ayrshire"
"S12000029"	"556.02342898999996"	"582.05957718000002"	"3803.8723224999999"	"2018"	"South Lanarkshire"
"S12000030"	"174.50176157000001"	"287.66802130999997"	"4424.4868551999998"	"2018"	"Stirling"
"S12000033"	"379.26635798000001"	"742.49497699999995"	"3525.2389527999999"	"2018"	"Aberdeen City"
"S12000034"	"545.77970497000001"	"671.27023568000004"	"4910.0336911000004"	"2018"	"Aberdeenshire"
"S12000035"	"265.70794629"	"240.15426024999999"	"6382.6074054000001"	"2018"	"Argyll and Bute"
"S12000036"	"823.01101878999998"	"1459.2126585000001"	"3490.7220090000001"	"2018"	"City of Edinburgh"
"S12000038"	"277.90010321"	"475.92269570000002"	"3241.0065101"	"2018"	"Renfrewshire"
"S12000039"	"135.16357718"	"189.03873908"	"3153.0180363999998"	"2018"	"West Dunbartonshire"
"S12000040"	"273.84758283000002"	"525.05465689000005"	"3512.9832440999999"	"2018"	"West Lothian"
"S12000041"	"232.54812093999999"	"294.72983006999999"	"4315.3971374000002"	"2018"	"Angus"
"S12000042"	"273.72607569000002"	"359.61020248"	"3891.6370571000002"	"2018"	"Dundee City"
"S12000045"	"169.65909482000001"	"166.53381571"	"3686.3979927999999"	"2018"	"East Dunbartonshire"
"S12000047"	"597.21821097999998"	"911.63822321999999"	"3556.0556553000001"	"2018"	"Fife"
"S12000048"	"336.08794358"	"393.00560289999999"	"4928.2647600999999"	"2018"	"Perth and Kinross"
"S12000049"	"932.88484028000005"	"1799.8744185999999"	"3188.0528614999998"	"2018"	"Glasgow City"
"S12000050"	"518.74138092999999"	"794.28256741999996"	"3418.5297667999998"	"2018"	"North Lanarkshire"
"S92000003"	"9686.0922119999996"	"14509.382707999999"	"3909.9770118000001"	"2018"	"Scotland"
