LAName,_N,_P,_Z
Aberdeen City,0,133185,1888
Aberdeenshire,2,137340,1513
Angus,0,66297,604
Argyll and Bute,12549,52775,550
City of Edinburgh,282224,5,2686
Clackmannanshire,26222,346,206
Dumfries and Galloway,91620,0,813
Dundee City,2,87904,824
East Ayrshire,62902,0,434
East Dunbartonshire,50302,1,310
East Lothian,53368,0,405
East Renfrewshire,42281,0,233
"Edinburgh, City of",0,0,1
Falkirk,83700,1,630
Fife,195262,14,1741
Glasgow City,349958,1,3578
Highland,0,154883,1604
Inverclyde,44359,1,314
Midlothian,42627,0,415
Moray,0,51838,482
Na h-Eileanan Siar,0,20502,141
North Ayrshire,69573,7477,531
North Lanarkshire,167546,2,1513
Orkney Islands,0,16776,141
Perth and Kinross,123,87872,911
Renfrewshire,96100,1,856
Scottish Borders,72103,0,539
Shetland Islands,0,19199,161
South Ayrshire,63160,0,535
South Lanarkshire,166982,0,1590
Stirling,30968,17288,553
West Dunbartonshire,49782,382,389
West Lothian,85292,0,940
