Category,S12000005,S12000006,S12000008,S12000010,S12000011,S12000013,S12000014,S12000017,S12000018,S12000019,S12000020,S12000021,S12000023,S12000026,S12000027,S12000028,S12000029,S12000030,S12000033,S12000034,S12000035,S12000036,S12000038,S12000039,S12000040,S12000041,S12000042,S12000044,S12000045,S12000046,S12000047,S12000048,S12000001,S12000002,S12000003,S12000004,S12000007,S12000009,S12000012,S12000015,S12000016,S12000022,S12000024,S12000025,S12000031,S12000032,S12000037,S12000043,S12000049,S12000050
1,23022,63968,55752,43512,36387,13638,69837,106518,34696,38033,41480,63316,8603,50596,9055,51932,134641,37852,111944,109100,42617,225941,79187,41838,75341,51779,70111,141700,44076,267111,166378,66151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2305,17859,3177,6638,4262,4989,9798,33787,7399,2268,6195,9338,6005,14320,8403,6540,23589,6386,14272,16242,16195,37870,12380,5630,5307,9537,13220,17992,3909,61786,17387,14147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1068,7760,3407,2800,1424,1437,3490,11253,1940,2033,3460,3719,1563,6067,1307,3912,7447,3301,6117,10196,5075,14500,3971,2320,4071,4094,3970,6867,1936,18276,9975,6235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,148,1950,524,378,174,407,464,3171,237,266,665,601,589,1059,403,695,1139,660,724,1693,1359,1830,440,327,457,827,547,819,300,2027,1407,1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,17,7,5,0,5,20,22,5,8,7,19,4,12,6,10,32,8,18,11,21,28,14,8,14,10,11,23,8,82,26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,28,8,10,7,14,34,57,17,11,10,11,4,21,11,22,43,8,40,32,19,90,19,5,22,17,22,49,10,141,46,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,7,5,6,4,1,15,16,4,1,4,1,0,7,0,5,5,9,9,6,5,27,12,12,7,7,5,22,4,47,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,16,12,5,19,8,35,36,55,2,13,29,4,18,12,28,55,24,38,20,27,1893,69,14,59,21,10,55,54,444,28,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,207,811,436,409,233,141,630,1603,314,416,482,533,142,539,161,538,1594,554,1889,1514,547,2694,856,388,937,603,824,1514,310,3580,1731,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1,5,2,1,1,2,5,8,3,1,2,5,1,1,2,3,11,3,5,29,7,11,5,3,3,2,4,5,2,14,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,1,6,2,1,3,1,3,10,4,1,2,3,0,2,0,2,8,0,6,5,1,14,0,7,3,1,1,3,1,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
