"Year"	"Credit - E&W"	"Credit - Scot"	"DD - E&W"	"DD - Scot"	"Pre - E&W"	"Pre - Scot"	"NA"	"NA"	"NA"	"NA"
"1990"	443	414	".."	".."	478	456	 	".."	".."	".."
"1991"	458	422	".."	".."	492	467	 	".."	".."	".."
"1992"	475	436	".."	".."	510	479	 	".."	".."	".."
"1993"	460	428	".."	".."	494	461	 	".."	".."	".."
"1994"	454	445	"451"	"440"	487	469	 	".."	".."	".."
"1995"	460	451	"455"	"448"	492	477	 	".."	".."	".."
"1996"	434	437	"427"	"431"	464	461	 	".."	".."	".."
"1997"	414	414	"403"	"408"	439	433	 	".."	".."	".."
"1998"	385	398	"371"	"392"	410	417	 	".."	".."	".."
"1999"	373	392	"361"	"380"	401	410	 	".."	".."	".."
"2000"	355	378	"343"	"365"	383	394	 	".."	".."	".."
"2001"	343	372	"330"	"357"	367	385	 	".."	".."	".."
"2002"	333	364	"320"	"350"	356	378	 	".."	".."	".."
"2003"	326	357	"314"	"346"	348	373	 	".."	".."	".."
"2004"	327	372	"312"	"355"	348	387	 	".."	".."	".."
"2005"	356	396	"337"	"372"	382	401	 	".."	".."	".."
"2006"	412	446	"383"	"413"	439	471	 	".."	".."	".."
"2007"	452.16114510731	475.528970227924	"418.37129773477454"	"432.91683920774869"	473.208111554667	494.768618941008	 	".."	".."	".."
"2008"	505.391466339773	522.308016931794	"467.6180713009212"	"472.07264393489982"	529.192754172328	546.352734603661	 	".."	".."	".."
"2009"	509.423248640678	538.066823111365	"468.92849776948344"	"486.70336795297152"	519.428250058068	541.437200156638	 	".."	".."	".."
"2010"	487.501752243395	516.389397065523	"449.3889457594878"	"470.31772887114977"	498.573113942114	520.354122778106	 	".."	".."	".."
"2011"	518.667739686435	539.858635843759	"480.14232131776697"	"494.4553098669586"	526.418114225981	537.369886944055	 	".."	".."	".."
"2012"	540.883565600219	558.782526702821	"500.063547046309"	"511.46652294675096"	543.115008069474	544.665305711208	 	".."	".."	".."
"2013"	566.98000250911	582.429063557233	"524.81400242834934"	"533.6989937762047"	571.987308477906	575.942490127825	 	".."	".."	".."
"2014"	572.495267760053	578.58089742209	"527.38942301461441"	"530.72332917971164"	576.612161367991	572.814955554836	 	".."	".."	".."
"2015"	567.430823653868	571.621118582592	"514.71119655397933"	"519.40540311000711"	571.261448929153	567.319146205281	 	".."	".."	".."
"2016"	565.247009105254	570.464331396812	"505.18721910974779"	"509.51679538830678"	568.331931708005	567.154017229503	 	".."	".."	".."
"2017"	597.372625599148	598.260252085922	"533.46351855139358"	"537.90165098526541"	552.99130126043	556.541807207527	 	"551.31854203420312"	"553.8566123247889"	"488.44323236638269"
"2018"	635.487304854685	636.248372996292	"573.52014847803105"	"578.79300489912259"	567.09661753478	573.325659553883	 	"585.53863704576804"	"589.22945491297821"	"516.17084452620099"
"2019"	664.85388991913	676.37111709311	"604.72573762762352"	"612.95363545600549"	564.657003291344	567.509415147781	 	"610.19311931576851"	"615.35602324812442"	"534.93285382364093"
