"Quarter"	"Region"	"Credit"	"Direct Debit"	"Prepayment"
2005 Q3	"Scotland"	36	44	20
2005 Q4	"Scotland"	36	44	20
2006 Q1	"Scotland"	36	45	19
2006 Q2	"Scotland"	36	45	19
2006 Q3	"Scotland"	36	45	19
2006 Q4	"Scotland"	38	44	18
2007 Q1	"Scotland"	37	46	17
2007 Q2	"Scotland"	36	46	17
2007 Q3	"Scotland"	36	47	17
2007 Q4	"Scotland"	36	47	17
2008 Q1	"Scotland"	34	48	17
2008 Q2	"Scotland"	34	48	17
2008 Q3	"Scotland"	34	48	18
2008 Q4	"Scotland"	33	49	18
2009 Q1	"Scotland"	31	51	18
2009 Q2	"Scotland"	33	49	18
2009 Q3	"Scotland"	32	50	18
2009 Q4	"Scotland"	32	50	18
2010 Q1	"Scotland"	31	51	18
2010 Q2	"Scotland"	29	52	19
2010 Q3	"Scotland"	28	52	19
2010 Q4	"Scotland"	28	53	19
2011 Q1	"Scotland"	29	52	19
2011 Q2	"Scotland"	28	54	18
2011 Q3	"Scotland"	27	54	19
2011 Q4	"Scotland"	27	54	19
2012 Q1	"Scotland"	27	55	19
2012 Q2	"Scotland"	26	55	19
2012 Q3	"Scotland"	26	55	19
2012 Q4	"Scotland"	26	55	19
2013 Q1	"Scotland"	25	55	19
2013 Q2	"Scotland"	25	55	19
2013 Q3	"Scotland"	25	55	19
2013 Q4	"Scotland"	25	56	20
2014 Q1	"Scotland"	24	56	21
2014 Q2	"Scotland"	24	56	21
2014 Q3	"Scotland"	24	56	20
2014 Q4	"Scotland"	24	56	20
2015 Q1	"Scotland"	24	56	20
2015 Q2	"Scotland"	23	56	20
2015 Q3	"Scotland"	24	56	20
2015 Q4	"Scotland"	23	57	20
2016 Q1	"Scotland"	23	57	20
2016 Q2	"Scotland"	23	58	19
2016 Q3	"Scotland"	23	58	19
2016 Q4	"Scotland"	22	59	19
2017 Q1	"Scotland"	21	61	18
2017 Q2	"Scotland"	21	61	18
2017 Q3	"Scotland"	21	61	17
2017 Q4	"Scotland"	20	59	20
2018 Q1	"Scotland"	20	61	20
2018 Q2	"Scotland"	19	60	21
2018 Q3	"Scotland"	19	60	20
2018 Q4	"Scotland"	20	60	20
2019 Q1	"Scotland"	19	63	18
2019 Q2	"Scotland"	19	63	18
2019 Q3	"Scotland"	19	63	18
2019 Q4	"Scotland"	19	64	18
2020 Q1	"Scotland"	18	64	18
2020 Q2	"Scotland"	18	64	18
