"Region"	"Credit"	"Direct Debit"	"Prepayment"	"Overall"
"East Midlands"	723.86138522679	660.481772474907	620.489227729269	666.722401813077
"Eastern"	746.608624770714	676.110862734953	633.514118582112	685.275097005848
"London"	721.383339231158	668.50222007615	609.120449977059	671.715829490658
"Merseyside & North Wales"	777.553783531339	700.478739156894	648.405405642897	707.350669371289
"North East"	751.404726355269	673.032289081104	628.930266271341	677.902668454995
"North Scotland"	769.015389454724	712.390660272937	678.9166720578	718.061681396885
"North West"	741.416957033652	669.974872390722	624.575755540264	673.89101991744
"Northern Ireland"	616.927452523457	577.031145504661	603.945961219068	593.556480296877
"South East"	755.804812996119	686.952507793245	642.668253623494	694.30459256957
"South Scotland"	751.063360054193	675.251721189675	622.32430798307	677.388141916978
"South Wales"	745.941013321146	689.682660227381	660.909915084781	694.323382113378
"South West"	769.844610473922	704.455358379186	669.734124620617	710.777696558756
"Southern"	741.515283938067	672.471252181845	639.81571392439	680.784579100155
"West Midlands"	756.956532390847	672.602443181499	637.402052831916	681.747093994559
"Yorkshire"	743.951679523876	662.336625284071	619.282775944254	669.69873196705
"United Kingdom"	740.063246678549	673.646081185145	630.133701928841	679.274467302685
