"Capacity - Technology"	"2020 - 2nd quarter p"	"2020 - 1st quarter"	"2019 - 4th quarter"	"2019 - 3rd quarter"	"2019 - 2nd quarter"	"2019 - 1st quarter"	"2018 - 4th quarter"	"2018 - 3rd quarter"	"2018 - 2nd quarter"	"2018 - 1st quarter"	"2017 - 4th quarter"	"2017 - 3rd quarter"	"2017 - 2nd quarter"	"2017 - 1st quarter"	"2016 - 4th quarter"	"2016 - 3rd quarter"	"2016 - 2nd quarter"	"2016 - 1st quarter"	"2015 - 4th quarter"	"2015 - 3rd quarter"	"2015 - 2nd quarter"	"2015 - 1st quarter"	"2014 - 4th quarter"	"2014 - 3rd quarter"	"2014 - 2nd quarter"	"2014 - 1st quarter"	"2013 - 4th quarter"	"2013 - 3rd quarter"	"2013 - 2nd quarter"	"2013 - 1st quarter"	"2012 - 4th quarter"	"2012 - 3rd quarter"	"2012 - 2nd quarter"	"2012 - 1st quarter"	"2011 - 4th quarter"	"2011 - 3rd quarter"	"2011 - 2nd quarter"	"2011 - 1st quarter"	"2010 - 4th quarter"
"Onshore Wind"	3092.80764252919	3092.80764252919	3093.10893936011	3093.10893936011	3093.10893936011	3086.10307941623	3084.44116456417	3084.43645570741	3084.40777511257	3084.40946144719	3065.98129925433	3049.23725388662	3048.57795415019	3046.30795590767	2819.17432568115	2763.98268659532	2496.76213833788	2451.51149293932	2438.8194768007	2335.82782765402	2256.22957580722	2222.49203806232	2188.45284089369	2058.77665787524	1973.74366050842	1902.07152851535	1840.0779899774	1811.32910414628	1588.16835689038	1543.73308611202	1316.05426501914	1243.65392349737	1148.90101197188	1064.91522061271	1022.53034362869	998.637288003294	921.891556524198	901.189116177498	865.242045481366
"Offshore Wind"	9445.15	8943.15	8263.95	8078.15	7532.15	7035.15	6862.7	6862.7	6862.7	6708.7	6014.85	5175.8	4739.75	4541.9	4387.4	4181.15	4181.15	4181.15	4180.15	4180.15	4100.65	3857.65	3725.65	3704.05	3596.85	3344.85	3312.75	3312.75	3203.35	3040.65	2655.45	2342.25	2176.45	1860.25	1498.25	1310.25	1223.85	1087.05	1001.45
"Shoreline wave / tidal"	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.6	0.6	0.6	0.1	0.1	0.1	0.1	0.1	0.1
"Solar photovoltaics"	11600.0610783043	11592.7749820887	11556.0134097165	11495.6777963209	11449.692950457	11434.5468231615	11316.2753254777	11273.0148536433	11230.0678594048	11123.6818171573	11110.2023484948	10977.8616486276	10896.0744178012	10807.1030245462	10500.9416481338	10356.7029444587	10097.4222007191	9675.52964978529	8548.53674373512	7714.2593415086	7381.11843224717	7098.20189407887	4908.63138340314	4725.50358315914	4585.41092128783	4447.46922974453	2622.40748100965	2387.5303167321	2267.15625356761	2043.76330601403	1540.2543711893	1459.58924226364	1262.23912830341	1159.11065849636	887.810286874139	444.4840496313	193.241905712128	125.779778048975	87.9715249827211
"Small scale Hydro"	37.70641	37.70641	37.7024099999997	37.7024099999997	37.70641	37.70641	38.01391	38.01391	37.26391	37.26391	36.37101	36.37101	34.93101	34.84101	29.13103	29.13103	28.38103	28.38103	29.37203	29.27303	28.38303	27.81303	27.48243	27.06603	26.26313	26.26313	26.19963	25.97363	25.83513	25.42453	25.36823	24.84801	24.59411	23.83451	23.50096	22.80006	21.87406	21.13156	20.33166
"Large scale Hydro"	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
"Landfill gas"	873.37	873.37	873.37	873.37	873.37	873.37	880.383	880.383	880.383	880.383	880.207	880.207	880.207	880.207	879.337	879.337	879.337	879	878.81	878.81	878.81	878.81	877.31	877.31	877.31	876.98	877.076	877.076	877.076	877.076	870.089	870.089	868.349	868.349	884.771	884.771	884.771	884.771	856.380000000001
"Sewage sludge digestion"	226.562	226.562	226.16	226.16	226.16	226.16	226.16	226.16	226.16	226.16	225.541	225.541	225.541	225.541	237.384	237.384	237.384	236.808	211.071	211.071	211.071	211.071	210.296	204.476	203.832	194.42	181.242	181.242	179.29	176.804	188.905	188.905	182.905	182.905	177.769	177.769	176.569	172.969	173.004
"Energy from waste"	1201.112	1201.112	1201.112	1080.727	1092.027	1092.027	1085.027	1085.027	1085.027	1085.027	1039.233	1025.384	1025.384	1025.384	976.585	936.585	887.585	887.585	878.24	855.74	787.74	778.74	662.862	611.862	603.562	577.562	527.412	527.412	527.412	520.912	494.962	480.962	480.962	480.962	491.3151	411.3151	411.3151	411.3151	402.862
"Animal Biomass (non-AD) 2"	116.816	116.816	116.816	116.816	116.816	116.816	116.816	116.816	116.816	116.816	116.816	116.816	116.816	116.816	116.816	116.816	116.816	116.816	98.016	98.016	98.016	98.016	98.016	98.016	98.016	98.016	98.016	98.016	98.016	98.016	98.016	98.016	98.016	98.016	98.016	98.016	98.016	98.016	98.016
"Anaerobic Digestion"	395.16964	394.67064	390.63864	390.63864	390.63864	390.63864	388.94178	388.94178	388.94178	388.362779999999	385.89078	379.70228	378.39628	378.39628	376.866409849874	322.830493123546	306.163060905589	301.359071786077	284.018197434676	252.069856694295	222.327451244088	220.630661568199	202.060411518977	171.3184260552	157.972728147096	154.169971268614	138.06157088783	118.3630562261	110.797168664958	106.247738941423	101.530738941423	83.9487389414226	74.8430589414226	63.2990589414226	58.193	46.818	35.141	31.919	25.614
"Plant Biomass 3"	4076.50877412797	4076.50877412797	4071.60977412797	4065.87077412797	4065.87077412797	4065.87077412797	4028.87527412797	4028.87527412797	3296.87527412797	2854.87527412797	2662.03183412797	2662.03183412797	2662.03183412797	2649.68183412797	2547.87962412797	2500.29592412797	2499.85892412797	2499.18192412797	2351.488024	2707.936024	2061.704024	2060.357024	2028.642024	2025.990024	1940.636024	1826.295524	1803.46552412797	1803.46552412797	2621.46552412797	1974.06552412797	1024.71387412797	1021.86287412797	1021.56287412797	1019.46287412797	1030.82587412797	191.3365	188.954	188.291	187.951
"Total"	31071.3635449615	30561.5784487459	29836.5811732045	29464.321559809	28883.6407139451	28364.4887267057	28033.7334541699	27990.4682734787	27214.7425986453	26511.7792427325	25543.2242718771	24535.0520266422	24013.8094960793	23712.2781045819	22877.6150377928	22330.3150783056	21736.9593540905	21263.4221686387	19904.6214719705	19269.2530798569	18032.1495132985	17459.8816477094	14935.5030898158	14510.4687210896	14069.6964639433	13454.1973835285	11432.8081960029	11149.2576312325	11504.6664332509	10412.7921851954	8321.94347927783	7820.7247888304	7345.42218334468	6827.20432217846	6179.0815646308	4592.29699763459	4161.72362223633	3928.53155422647	3724.92223046409
