"Country"	"Year"	"Total"	"Petrol - Industrial"	"Petrol - Domestic"	"Petrol - Rail"	"Petrol - Public Administration"	"Petrol - Commercial"	"Petrol - Agriculture"
"England"	2005	221680.308041454	114610.0585497	19997.5308877031	6310.89796797675	1520.75564797915	1707.25398352503	9467.33359466635
"England"	2006	212554.997258596	107466.808439868	20750.2984457941	6273.33777583773	1036.81467718141	1309.0603405525	9047.65032246094
"England"	2007	206047.92560153	104225.832536299	18228.5879680661	6511.7617001673	956.930814178956	1209.67513491442	8590.77784255045
"England"	2008	195330.644797493	96876.5962333626	19245.0360059976	6472.01469174791	765.659679675952	1134.41498859265	8403.4010042358
"England"	2009	184193.68776949	91764.1669266124	18967.5795987071	6444.38636649845	536.370699832983	821.677834484143	8447.55242840992
"England"	2010	191361.871722418	91773.5596922526	21509.6625601039	6489.00029002166	464.006857736294	958.163285996906	8529.16466341947
"England"	2011	179527.66416546	85805.9465851462	16837.9046695439	6424.02319917875	686.352175712974	933.3080662667	8679.23329006891
"England"	2012	179559.940771352	81342.82614106	17142.6615853164	6644.20901210604	419.297661626339	765.324495614482	8923.37083584945
"England"	2013	174401.445623151	68909.0016439676	17807.298044936	6576.88972902248	301.992576398336	825.517350941435	8820.86690400503
"England"	2014	172426.302647675	70910.4738522806	15868.6791557671	6669.72658638688	353.243367546552	950.754659930467	8906.22520871883
"England"	2015	174439.157242903	75825.0276259793	15902.0310109666	6629.84608489932	402.872225166997	1050.2599076359	9284.66380082465
"England"	2016	169863.068704493	74423.3891809965	15871.9554179205	6530.60970315682	391.3270366535	927.032223452483	9802.07849407581
"England"	2017	165163.446917267	72415.3857332019	15591.726154609	6437.23657264166	380.939937478719	913.597322169102	9901.62597330047
"England"	2018	165927.703365596	74849.1218381571	15648.8367410741	5777.26842318791	410.176814831582	1008.17714327596	9886.79660466118
