"Country"	"Year"	"Buses"	"Diesel Cars"	"Petrol Cars"	"Motor-cycles"	"HGV"	"Diesel LGV"	"Petrol LGV"	"Personal"	"Freight"	"Total"
"England"	"2005"	"1254231.9796396275"	"5502412.6849393565"	"15454894.709219281"	"200355.46100518983"	"5709176.4655712564"	"4045351.3874884131"	"416474.28213527543"	"22411894.834803451"	"10171002.135194946"	"32582896.969998404"
"England"	"2006"	"1290609.1933141642"	"6098162.4451140538"	"15124063.319611272"	"190958.73280404299"	"5776431.18616834"	"4212603.7454135083"	"424188.22835024336"	"22703793.690843534"	"10413223.15993209"	"33117016.850775629"
"England"	"2007"	"1314236.3264424796"	"6635025.5516377343"	"14642321.596136104"	"202607.14035751688"	"5853618.810762208"	"4438989.4716046248"	"390345.65312107501"	"22794190.614573836"	"10682953.935487907"	"33477144.550061747"
"England"	"2008"	"1219295.1909707319"	"7295769.6624796689"	"13716228.900109435"	"184455.53874642911"	"5707632.1559867477"	"4433472.8233643463"	"349883.44779632468"	"22415749.292306267"	"10490988.42714742"	"32906737.719453681"
"England"	"2009"	"1203874.9709879567"	"7368353.4579955097"	"13508069.14574728"	"186721.40081401402"	"5213515.1791157918"	"4384867.5417189319"	"319304.79361457191"	"22267018.975544758"	"9917687.5144492965"	"32184706.489994053"
"England"	"2010"	"1205787.8192948373"	"7473485.9173239833"	"12797971.714944482"	"167033.25296376686"	"5273835.9696969446"	"4426979.5447622836"	"291652.66153442051"	"21644278.704527065"	"9992468.1759936493"	"31636746.880520716"
"England"	"2011"	"1108035.4288063871"	"7915183.1070676744"	"12229145.021854401"	"166474.44567568734"	"5158331.541261794"	"4488409.4830397433"	"269944.14634736866"	"21418838.003404152"	"9916685.1706489064"	"31335523.174053054"
"England"	"2012"	"1036405.7010869097"	"8253014.8899550233"	"11615917.025459062"	"160681.58868336637"	"5075559.5914328983"	"4478637.0894892719"	"246397.30227047452"	"21066019.205184363"	"9800593.983192645"	"30866613.188377008"
"England"	"2013"	"1054917.4369285447"	"8565032.3331597522"	"10990181.626072219"	"151794.58349129191"	"5134459.3759907894"	"4581482.3417710755"	"229386.68399151086"	"20761925.979651805"	"9945328.4017533772"	"30707254.381405182"
"England"	"2014"	"1051008.4292162578"	"8866686.1318455152"	"10769361.747659743"	"155922.96778820208"	"5296431.7633527918"	"4798711.5118888682"	"217510.13739842185"	"20842979.276509717"	"10312653.412640082"	"31155632.689149801"
"England"	"2015"	"998647.65748604864"	"9091217.8259929121"	"10411287.697898909"	"156576.20754102842"	"5523587.4401412206"	"4972409.5450615371"	"201902.27114754883"	"20657729.388918899"	"10697899.256350309"	"31355628.645269204"
"England"	"2016"	"922236.4160049432"	"9288857.008077085"	"10180258.052257605"	"156807.88351375796"	"5588898.1426234916"	"5189807.3580346256"	"187891.49661652572"	"20548159.359853391"	"10966596.997274645"	"31514756.357128032"
"England"	"2017"	"871854.53436120355"	"9438394.1821389422"	"9920633.7525671162"	"154357.23171392601"	"5691463.3036295315"	"5260851.3672187543"	"175056.34241281354"	"20385239.700781185"	"11127371.013261098"	"31512610.71404228"
"England"	"2018"	"836808.78574376798"	"9285416.0632308833"	"9826055.5064674541"	"150312.64023525317"	"5688195.8644320713"	"5273924.4023677921"	"165333.25978322941"	"20098592.995677359"	"11127453.526583092"	"31226046.522260442"
