"Posistion"	"LA"	"Total_IP_Sites"	"Total_IP_Capacity"	"Total_AC_Sites"	"Total_AC_Capacity"	"Total_UC_Sites"	"Total_UC_Capacity"	"ACT_IP_Sites"	"ACT_IP_Capacity"	"ACT_AC_Sites"	"ACT_AC_Capacity"	"ACT_UC_Sites"	"ACT_UC_Capacity"	"AD_IP_Sites"	"AD_IP_Capacity"	"AD_AC_Sites"	"AD_AC_Capacity"	"AD_UC_Sites"	"AD_UC_Capacity"	"Bc_IP_Sites"	"Bc_IP_Capacity"	"Bc_AC_Sites"	"Bc_AC_Capacity"	"Bc_UC_Sites"	"Bc_UC_Capacity"	"Bd_IP_Sites"	"Bd_IP_Capacity"	"Bd_AC_Sites"	"Bd_AC_Capacity"	"Bd_UC_Sites"	"Bd_UC_Capacity"	"EfW_IP_Sites"	"EfW_IP_Capacity"	"EfW_AC_Sites"	"EfW_AC_Capacity"	"EfW_UC_Sites"	"EfW_UC_Capacity"	"LG_IP_Sites"	"LG_IP_Capacity"	"LG_AC_Sites"	"LG_AC_Capacity"	"LG_UC_Sites"	"LG_UC_Capacity"	"LH_IP_Sites"	"LH_IP_Capacity"	"LH_AC_Sites"	"LH_AC_Capacity"	"LH_UC_Sites"	"LH_UC_Capacity"	"SW_IP_Sites"	"SW_IP_Capacity"	"SW_AC_Sites"	"SW_AC_Capacity"	"SW_UC_Sites"	"SW_UC_Capacity"	"SH_IP_Sites"	"SH_IP_Capacity"	"SH_AC_Sites"	"SH_AC_Capacity"	"SH_UC_Sites"	"SH_UC_Capacity"	"SP_IP_Sites"	"SP_IP_Capacity"	"SP_AC_Sites"	"SP_AC_Capacity"	"SP_UC_Sites"	"SP_UC_Capacity"	"Tidal_IP_Sites"	"Tidal_IP_Capacity"	"Tidal_AC_Sites"	"Tidal_AC_Capacity"	"Tidal_UC_Sites"	"Tidal_UC_Capacity"	"Woff_IP_Sites"	"Woff_IP_Capacity"	"Woff_AC_Sites"	"Woff_AC_Capacity"	"Woff_UC_Sites"	"Woff_UC_Capacity"	"Won_IP_Sites"	"Won_IP_Capacity"	"Won_AC_Sites"	"Won_AC_Capacity"	"Won_UC_Sites"	"Won_UC_Capacity"
1	"Aberdeen City"	0	0	1	0.25	1	11.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	"Aberdeenshire"	8	261.85	12	64.9	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	5	4	44.1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	7	256.85	8	20.8	0	0
3	"Angus"	1	39.9	6	76.37	2	9.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	39.9	5	71.57	2	9.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4.8	0	0
4	"Argyll and Bute"	6	381.2	12	253.87	2	51.9	0	0	1	5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3.97	1	2	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	361.2	6	244.4	1	49.9
5	"City of Edinburgh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	"Clackmannanshire"	0	0	0	0	1	10.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10.8
7	"Dumfries and Galloway"	13	1396.3	19	732.68	2	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	2	0.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1376.3	16	521.7	2	34
8	"Dundee City"	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	"East Ayrshire"	6	362.8	9	497.9	1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	362.8	7	485.6	1	30
10	"East Dunbartonshire"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	"East Lothian"	1	0.186	0	0	1	25.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	25.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	"East Renfrewshire"	0	0	1	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2.5	0	0
13	"Falkirk"	0	0	1	4	1	21.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	21.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0
14	"Fife"	2	1.15	5	31.45	1	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	19.15	1	0.23	0	0	0	0	0	0	0	0	0	0	0	0	1	0.15	1	12.3	0	0
15	"Glasgow City"	1	0.175	1	20	1	10	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
