"X__93"	"X__92"	"X__91"	"X__90"	"X__89"	"X__88"	"X__87"	"X__86"	"X__85"	"X__84"	"X__83"	"X__82"	"X__81"	"X__80"	"X__79"	"X__78"	"X__77"	"X__76"	"X__75"	"X__74"	"X__73"	"X__72"	"X__71"	"X__70"	"X__69"	"X__68"	"X__67"	"X__66"	"X__65"	"X__64"	"X__63"	"X__62"	"X__61"	"X__60"	"X__59"	"X__58"	"X__57"	"X__56"	"X__55"	"X__54"	"X__53"	"X__52"	"X__51"	"X__50"	"X__49"	"X__48"	"X__47"	"X__46"	"X__45"	"X__44"	"X__43"	"X__42"	"X__41"	"X__40"	"X__39"	"X__38"	"X__37"	"X__36"	"X__35"	"X__34"	"X__33"	"X__32"	"X__31"	"X__30"	"X__29"	"X__28"	"X__27"	"X__26"	"X__25"	"X__24"	"X__23"	"X__22"	"X__21"	"X__20"	"X__19"	"X__18"	"X__17"	"X__16"	"X__15"	"X__14"	"X__13"	"X__12"	"X__11"	"X__10"	"X__9"	"X__8"	"X__7"	"X__6"	"X__5"	"X__4"	"X__3"	"X__2"	"X__1"
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	"Table 2:  Generation of electricity by fuel in Scotland, Wales, Northern Ireland and England, 2004 to 2018            GWh"
 	 	 	 	"2018"	 	 	 	 	 	"2017"	 	 	 	 	 	"2016"	 	 	 	 	 	"2015"	 	 	 	 	 	"2014"	 	 	 	 	 	"2013"	 	 	 	 	 	"2012"	 	 	 	 	 	"2011"	 	 	 	 	 	"2010"	 	 	 	 	 	"2009"	 	 	 	 	 	"2008"	 	 	 	 	 	"2007"	 	 	 	 	 	"2006"	 	 	 	 	 	"2005"	 	 	 	 	 	"2004"	 	 	 	 
"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	"England"	"Northern Ireland"	"Wales"	"Scotland"	"UK total"	 	 	 	 
"15002.8"	"1302.61"	"472.706"	"0"	"16778.1"	 	"18339.3"	"1361.25"	"2780.39"	"0"	"22481"	 	"19384.4"	"2107.01"	"7315.54"	"1805.7"	"30612.7"	 	"57282.5"	"2101.8"	"8152.59"	"8274.94"	"75811.9"	 	"80481.7"	"2159.93"	"7368.28"	"10156.7"	"100167"	 	"105479"	"2595.99"	"11339.1"	"10760.9"	"130175"	 	"115410"	"2330.5"	"10374.7"	"11685"	"139800"	 	"86828.8"	"1371.89"	"6059.73"	"10407.6"	"104668"	 	"82012.4"	"1765.24"	"5829.07"	"14234.4"	"103841"	 	"79473.2"	"1370.93"	"6547.43"	"11895.5"	"99287.1"	 	"97310.4"	"2039.53"	"9363.67"	"11591"	"120305"	 	"111299"	"1852.33"	"5121.36"	"13801.9"	"132074"	 	"115899"	"2701.23"	"8858.78"	"17488"	"144947"	 	"109372"	"2454.95"	"6771.69"	"12091.7"	"130690"	 	"104880"	"2710.95"	"7234.16"	"13001.7"	"127827"	 	"Coal"	 	"Major power"
"426.315"	"43.0341"	"34.2938"	"121.417"	"625.06"	 	"156.291"	"58.7382"	"54.4659"	"120.494"	"389.989"	 	"201.295"	"68.1253"	"180.359"	"155.894"	"605.673"	 	"290.364"	"42.1874"	"162.927"	"187.667"	"683.145"	 	"165.826"	"24.0689"	"147.619"	"192.331"	"529.845"	 	"268.221"	"26.1372"	"244.303"	"206.218"	"744.88"	 	"772.724"	"59.0163"	"413.24"	"205.525"	"1450.51"	 	"671.535"	"60.3906"	"156.732"	"186.571"	"1075.23"	 	"1444.22"	"104.091"	"433.313"	"291.531"	"2273.16"	 	"3483.69"	"77.8101"	"0"	"277.561"	"3839.06"	 	"3791.99"	"334.27"	"0"	"430.781"	"4557.04"	 	"2414.31"	"161.957"	"0"	"379.122"	"2955.39"	 	"2522.51"	"286.33"	"0"	"913.927"	"3722.77"	 	"2034.51"	"330.78"	"0"	"555.87"	"2921.16"	 	"1387"	"346.548"	"0"	"149.228"	"1882.78"	 	"Oil"	 	"producers:"
"90805.5"	"3868.33"	"19724.4"	"5234.03"	"119632"	 	"95444.5"	"4814.61"	"21706.5"	"2546.79"	"124512"	 	"99868.1"	"4488.76"	"26092.3"	"1523.11"	"131972"	 	"67288.5"	"4187.28"	"16858.9"	"126.091"	"88460.8"	 	"65660.9"	"3816.96"	"18513"	"880.361"	"88871.3"	 	"58792.3"	"3457.62"	"17144.2"	"3496.75"	"82890.8"	 	"64192.4"	"3609.17"	"14747.8"	"3679.96"	"86229.2"	 	"107986"	"5300.82"	"13239"	"6227.22"	"132753"	 	"134756"	"4840.24"	"15533.5"	"6618.26"	"161748"	 	"125415"	"5641.87"	"14110.9"	"7430.03"	"152598"	 	"129164"	"6537.3"	"16059.1"	"9822.28"	"161583"	 	"118373"	"6573.81"	"15461.2"	"8938.36"	"149346"	 	"98220"	"6799.31"	"13271.8"	"8346.22"	"126637"	 	"109795"	"6453.46"	"14984"	"6250.24"	"137483"	 	"111398"	"4083.37"	"16244.9"	"8850.69"	"140577"	 	"Gas"	 	 
"51453"	"0"	"0"	"13610.8"	"65063.8"	 	"52509.5"	"0"	"0"	"17826.9"	"70336.4"	 	"52095.6"	"0"	"0"	"19630.5"	"71726.1"	 	"48695.6"	"0"	"3886.51"	"17762.8"	"70344.9"	 	"45161.6"	"0"	"1953.07"	"16633.3"	"63748"	 	"47783.7"	"0"	"4325.3"	"18497.9"	"70606.9"	 	"49214"	"0"	"4141.07"	"17050"	"70405.1"	 	"46724.9"	"0"	"5363.76"	"16891.8"	"68980.4"	 	"41314.2"	"0"	"5532.41"	"15293"	"62139.7"	 	"46294.8"	"0"	"6122.1"	"16680.8"	"69097.7"	 	"30326.6"	"0"	"7079.97"	"15079.2"	"52485.8"	 	"45000.7"	"0"	"5683.98"	"12343.7"	"63028.3"	 	"54300"	"0"	"7009.76"	"14140.9"	"75450.7"	 	"55095.4"	"0"	"7842"	"18680.7"	"81618.1"	 	"54598.3"	"0"	"7388"	"18012.8"	"79999.1"	 	"Nuclear"	 	 
"19272.7"	"0"	"1.068"	"690.944"	"19964.7"	 	"16866.3"	"0"	"19.0244"	"880.343"	"17765.7"	 	"16611"	"0"	"33.1605"	"756.05"	"17400.2"	 	"16898"	"0"	"6.68113"	"788.909"	"17693.5"	 	"12052.7"	"0"	"0"	"645.212"	"12697.9"	 	"8816.39"	"0"	"0"	"395.118"	"9211.51"	 	"5528.31"	"0"	"0"	"584.666"	"6112.98"	 	"3810.72"	"0"	"0"	"834.804"	"4645.52"	 	"2941.01"	"0"	"0"	"841.804"	"3782.82"	 	"2337.53"	"0"	"90.5696"	"241.71"	"2669.81"	 	"2316.79"	"0"	"60.173"	"231.237"	"2608.2"	 	"2323.05"	"0"	"18.2943"	"0"	"2341.34"	 	"2759.59"	"0"	"168.894"	"0"	"2928.48"	 	"2568.49"	"0"	"175.994"	"0"	"2744.48"	 	"1420.43"	"0"	"50.9997"	"0"	"1471.43"	 	"Thermal renewables"	 	 
"1131.63"	"0"	"0"	"0"	"1131.63"	 	"1275.95"	"0"	"0"	"0"	"1275.95"	 	"968.342"	"0"	"0"	"0"	"968.342"	 	"688.765"	"0"	"0"	"0"	"688.765"	 	"528.042"	"0"	"0"	"0"	"528.042"	 	"522.146"	"0"	"0"	"0"	"522.146"	 	"0"	"0"	"0"	"0"	"0"	 	"0"	"0"	"0"	"0"	"0"	 	"0"	"0"	"0"	"0"	"0"	 	"0"	"0"	"0"	"0"	"0"	 	"0"	"0"	"0"	"0"	"0"	 	"0"	"0"	"0"	"0"	"0"	 	"0"	"0"	"0"	"0"	"0"	 	"0"	"0"	"0"	"0"	"0"	 	"0"	"0"	"0"	"0"	"0"	 	"Other thermal"	 	 
"20.6054"	"0"	"208.379"	"3597.4"	"3826.39"	 	"12.074"	"0"	"276"	"3890.48"	"4178.56"	 	"24.8129"	"0"	"234.63"	"3691.57"	"3951.01"	 	"28.1184"	"0"	"273.384"	"4605.08"	"4906.59"	 	"27.879"	"0"	"213.427"	"4393.2"	"4634.5"	 	"19.5949"	"0"	"175.469"	"3413.94"	"3609"	 	"24.542"	"0"	"286.694"	"3858.79"	"4170.02"	 	"21.378"	"0"	"210.247"	"4362.25"	"4593.88"	 	"14.498"	"0"	"164.157"	"2524.39"	"2703.05"	 	"21.6608"	"0"	"216.33"	"4056.13"	"4294.12"	 	"22.51"	"0"	"278.033"	"3923.27"	"4223.81"	 	"17.7195"	"0"	"232.59"	"3893.66"	"4143.97"	 	"13.3614"	"0"	"225.787"	"3454.15"	"3693.3"	 	"6.24964"	"0"	"193.281"	"3626.37"	"3825.9"	 	"15.2844"	"0"	"239.442"	"3653.07"	"3907.8"	 	"Hydro natural flow"	 	 
