"Quarter"	"Credit"	"Direct Debit"	"Prepayment"	"All payment types"
2001-12-01	31	37	28	".."
2002-03-01	31	38	32	".."
2002-06-01	31	39	32	".."
2002-09-01	32	39	35	".."
2002-12-01	35	41	36	".."
2003-03-01	36	41	35	".."
2003-06-01	36	45	36	".."
2003-09-01	37	45	37	".."
2003-12-01	37	47	38	".."
2004-03-01	37	48	38	".."
2004-06-01	37	47	37	".."
2004-09-01	37	49	38	".."
2004-12-01	40	50	40	".."
2005-03-01	40	50	40	".."
2005-06-01	41	52	45	".."
2005-09-01	40	54	42	".."
2005-12-01	39	54	42	".."
2006-03-01	41	56	44	".."
2006-06-01	42	57	44	".."
2006-09-01	43	57	46	".."
2006-12-01	45	58	47	".."
2007-03-01	45	59	47	".."
2007-06-01	46	60	49	".."
2007-09-01	47	61	50	".."
2007-12-01	46	60	47	".."
2008-03-01	46	60	48	".."
2008-06-01	47	62	49	".."
2008-09-01	48	61	50	".."
2008-12-01	49	63	51	".."
2009-03-01	49	64	52	".."
2009-06-01	48	62	49	".."
2009-09-01	49	64	52	".."
2009-12-01	49	64	53	".."
2010-03-01	50	64	54	"58"
2010-06-01	51	64	54	"58"
2010-09-01	51	65	55	"59"
2010-12-01	52	65	56	"59"
2011-03-01	53	65	57	"60"
2011-06-01	53	65	57	"60"
2011-09-01	54	65	58	"61"
2011-12-01	54	66	58	"61"
2012-03-01	54	66	59	"61"
2012-06-01	54	66	60	"62"
2012-09-01	55	66	60	"62"
2012-12-01	55	67	61	"62"
2013-03-01	55	67	61	"63"
2013-06-01	56	67	61	"63"
2013-09-01	56	67	61	"63"
2013-12-01	56	67	62	"63"
2014-03-01	56	67	62	"63"
2014-06-01	56	67	62	"63"
2014-09-01	57	67	62	"64"
2014-12-01	57	67	62	"64"
2015-03-01	57	67	62	"64"
2015-06-01	57	67	62	"64"
2015-09-01	57	67	62	"64"
2015-12-01	58	68	62	"64"
2016-03-01	57	68	63	"69"
2016-06-01	57	68	63	"69"
2016-09-01	58	68	63	"70"
2016-12-01	58	69	63	"70"
2017-03-01	56	70	63	"71"
2017-06-01	56	70	63	"71"
2017-09-01	57	70	62	"74"
2017-12-01	64	76	77	"74"
2018-03-01	59	75	72	"71"
2018-06-01	61	77	76	"74"
2018-09-01	61	77	75	"73"
2018-12-01	63	78	76	"74"
2019-03-01	64	81	75	"76"
2019-06-01	65	81	76	"77"
2019-09-01	65	81	76	"77"
2019-12-01	66	81	76	"77"
2020-03-01	66	81	76	"77"
2020-06-01	66	81	76	"77"
