"Quarter"	"Credit"	"Direct Debit"	"Prepayment"	"All payment types"
"41334"	43	67	56	59
"41426"	43	67	56	59
"41518"	43	67	56	59
"41609"	44	68	57	60
"41699"	44	68	57	60
"41791"	44	68	56	60
"41883"	44	68	56	59
"41974"	45	67	55	59
"42064"	45	66	55	59
"42156"	45	66	55	59
"42248"	45	66	55	59
"42339"	45	66	55	59
"42430"	45	66	54	64
"42522"	45	66	54	65
"42614"	46	66	53	65
"42705"	45	66	53	65
"42795"	49	64	53	66
"42887"	49	64	52	66
"42979"	49	65	52	67
"43070"	56	73	68	68
"43160"	51	75	70	70
"43252"	54	75	68	70
"43344"	55	76	69	71
"43435"	56	76	69	71
"43525"	59	77	67	72
"43617"	59	77	67	72
"43709"	60	77	68	72
"43800"	60	77	68	72
"43891"	59	77	68	72
