"Year"	"Total Gross Value Added (GVA)"	"Gross Domestic Product (GDP) at market prices__2"
"1998"	69405.8514121186	77.689016399743
"1999"	69907.45004294	78.637933387805
"2000"	73246.25357288	81.308834080361
"2001"	76992.899556844	83.088425787295
"2002"	80565.937268657	84.968576273343
"2003"	85530.60717374	87.781168912483
"2004"	90682.640500786	89.638316730519
"2005"	96751.707779899	91.27372511303
"2006"	102019.89471801	94.06912535361
"2007"	106650.847812776	94.482691564147
"2008"	110735.638892311	95.162204062974
"2009"	111415.048131006	92.872977591501
"2010"	110116.264982896	93.759233325297
"2011"	113138.423121941	94.450922972509
"2012"	117122.783667799	94.725422814498
"2013"	122850.897308366	96.654900476918
"2014"	128880.821847368	98.66410840187
"2015"	129825.097165068	99.162158018542
"2016"	133704.291855376	100
"2017"	139015.587818997	101.134223278969
"2018"	144719.267705989	102.832186934275
"2019"	148553.846167073	103.620110610342
