"Year"	"Credit - E&W"	"Credit - Scot"	"DD - E&W"	"DD - Scot"	"Pre - E&W"	"Pre - Scot"	"NA"
"1998"	344.391615757966	342.205002324582	302.025852090555	299.845160017699	361.715319392266	361.715319392266	 
"1999"	329.382315294519	332.632798669136	289.590173689748	290.033203433079	344.390138280533	344.390138280533	 
"2000"	313.799922358545	315.92737945928	280.06386353403	277.942167598166	330.664900151769	329.601668961571	 
"2001"	308.570675150193	310.676959622208	279.377225483278	276.226354519181	325.268796112755	324.216146287148	 
"2002"	319.717560371571	320.748907340511	289.023695354631	286.96658720264	337.092772989157	337.092772989157	 
"2003"	322.768638601645	322.768638601645	293.728803750751	292.722883189961	338.748610106904	337.740429719681	 
"2004"	327.124394898276	326.278553107499	302.913367490809	298.695611256723	345.394308480113	344.942093013895	 
"2005"	370.255705822927	368.682068697601	337.626303191381	332.372722315805	384.296245262544	383.845474753488	 
"2006"	443.271342204823	438.127120347689	395.619013406549	388.89656276688	464.825820532768	467.317408617373	 
"2007"	488.811044758033	481.785044494821	441.509997027396	427.445062327926	521.161670417904	523.30174725708	 
"2008"	553.23270454001	545.652639381233	513.172684437686	490.916006539607	575.04984234177	577.800161959591	 
"2009"	616.756371469024	605.55776209677	566.021478088025	549.538121480957	645.665876728817	646.648424592231	 
"2010"	586.315081380534	576.342233130016	547.335366168462	534.976179586346	584.459606586622	581.819223983143	 
"2011"	630.925965547244	625.22970957064	586.126514490473	576.831741231142	625.541813497341	621.120754126067	 
"2012"	694.434781239683	685.855323207373	638.464883468852	629.004617711747	684.889933603162	677.543181600451	 
"2013"	726.39005121404	717.5102700784	664.523558844415	652.88106996903	718.202099323755	710.821749844768	 
"2014"	740.306892926139	732.930350206363	669.982043220842	664.752306992233	737.773097139205	726.974228390117	 
"2015"	702.380390544939	695.894212408901	628.407746489107	629.329683932516	703.901008453451	693.907746563988	 
"2016"	636.36557473074	630.507891807476	554.991589674529	554.22663144335	644.579111253722	636.775544627712	 
"2017"	616.01278182141	610.687022900763	539.676903958814	537.014024498491	560.979939641399	555.654180720753	 
"2018"	621.91609731394	616.359378825575	548.946005448655	546.601973644187	542.499149056718	536.327372213046	 
"2019"	611.395920648933	601.826809318886	548.920800599089	544.915947291379	587.703436197559	578.478547954208	 
