"Quarter"	"Region"	"Credit"	"Direct Debit"	"Prepayment"
2005 Q3	"Scotland"	44	47	9
2005 Q4	"Scotland"	42.662923646307	48.8993110713275	8.4377652823655
2006 Q1	"Scotland"	41	50	9
2006 Q2	"Scotland"	42	49	9
2006 Q3	"Scotland"	42	49	9
2006 Q4	"Scotland"	42	48	10
2007 Q1	"Scotland"	42	49	9
2007 Q2	"Scotland"	42	49	9
2007 Q3	"Scotland"	43	48	9
2007 Q4	"Scotland"	39	52	9
2008 Q1	"Scotland"	38	53	9
2008 Q2	"Scotland"	36	54	9
2008 Q3	"Scotland"	36	54	9
2008 Q4	"Scotland"	36	53	12
2009 Q1	"Scotland"	35	53	12
2009 Q2	"Scotland"	35.1924099530428	53.1245647732076	11.6830252737497
2009 Q3	"Scotland"	33.8654099252776	54.0192274590011	12.1153626157213
2009 Q4	"Scotland"	34	54	12
2010 Q1	"Scotland"	31.4876697883998	55.5489485212986	12.9633816903016
2010 Q2	"Scotland"	30.6060673350379	56.1598133427644	13.2341193221977
2010 Q3	"Scotland"	30.0643432040391	56.4537970906901	13.4818597052708
2010 Q4	"Scotland"	29.6501328609389	56.5234936500445	13.8263734890166
2011 Q1	"Scotland"	30.1334632874994	55.8571724737691	14.0093642387315
2011 Q2	"Scotland"	29.4642967295447	56.3108238655107	14.2248794049446
2011 Q3	"Scotland"	29.1938133298921	56.2254107285441	14.5807759415638
2011 Q4	"Scotland"	28.9232403091628	56.2000976190604	14.8766620717768
2012 Q1	"Scotland"	28.3012488539982	56.5294643703942	15.1692867756076
2012 Q2	"Scotland"	27.915333797498	56.6375012967734	15.4471649057286
2012 Q3	"Scotland"	27.5470410841751	56.7209747155007	15.7319842003243
2012 Q4	"Scotland"	27.3604235526375	56.5898073032063	16.0497691441562
2013 Q1	"Scotland"	27.1549438087394	56.933288164112	15.9117680271486
2013 Q2	"Scotland"	26.6661010274356	57.0875662891825	16.2463326833818
2013 Q3	"Scotland"	26.6344400409943	56.7965408235111	16.5690191354946
2013 Q4	"Scotland"	26.3500732300247	56.8521845129066	16.7977422570687
2014 Q1	"Scotland"	25.3547966420307	57.1191818914353	17.526021466534
2014 Q2	"Scotland"	25.3343127670262	57.1306733786681	17.5350138543056
2014 Q3	"Scotland"	25.4682614214508	57.3282878510297	17.2034507275195
2014 Q4	"Scotland"	25.3444293563438	57.4011494697753	17.2544211738809
2015 Q1	"Scotland"	24.6538788385804	57.9643964469193	17.3817247145003
2015 Q2	"Scotland"	24.3150369016429	58.0980615382746	17.5869015600825
2015 Q3	"Scotland"	24.2493246811417	58.1712061180986	17.5794692007598
2015 Q4	"Scotland"	23.9464861028898	58.7985971287339	17.2549167683763
2016 Q1	"Scotland"	23.4760734760735	59.3186655686656	17.205260955261
2016 Q2	"Scotland"	23.3088995379183	59.6760154711458	17.0150849909359
2016 Q3	"Scotland"	23.2728610792586	60.098181838927	16.6289570818144
2016 Q4	"Scotland"	22.7237395419922	60.9413506300363	16.3349098279715
2017 Q1	"Scotland"	21.477319525281	62.5428741752751	15.9798062994439
2017 Q2	"Scotland"	21.3378138303416	62.7894762278811	15.8727099417772
2017 Q3	"Scotland"	21.0881882942591	63.1792287660292	15.7325829397117
2017 Q4	"Scotland"	20.1201673865991	61.1359893821476	18.7438432312534
2018 Q1	"Scotland"	18.7323596574105	62.287281325719	18.9803590168706
2018 Q2	"Scotland"	18.6114538597572	64.0910311039649	17.2975150362779
2018 Q3	"Scotland"	19	63	18
2018 Q4	"Scotland"	18.0271875509408	64.8477879702917	17.1250244787674
2019 Q1	"Scotland"	20	64	16
2019 Q2	"Scotland"	20	64	16
2019 Q3	"Scotland"	19	65	16
2019 Q4	"Scotland"	19	65	16
2020 Q1	"Scotland"	19	65	16
