"Region"	"Credit"	"Direct Debit"	"Prepayment"	"Overall"
"East Midlands"	643.624771188058	577.624384310789	620.036779678099	594.359632086891
"Eastern"	651.560090042463	584.492864189409	627.030188106157	602.531528107038
"London"	672.81481108151	613.190097048722	646.176753665856	635.863820446769
"Merseyside & North Wales"	658.942377581907	593.768998168003	634.014316608249	612.591065167099
"North East"	641.694656595774	575.252669800396	620.441079143971	593.348034371709
"North Scotland"	651.087225272082	588.202700370881	625.255967504003	606.459375965949
"North West"	654.569865077343	587.814573907688	630.550481954149	606.837785507185
"South East"	672.844934625786	606.497250296925	646.184173282794	622.432076676627
"South Scotland"	649.48523332515	587.294687689404	624.862045963483	605.127084464355
"South Wales"	657.950091620165	590.389042894295	634.072304516771	609.88948347977
"South West"	683.1879347186	615.461361125316	657.905449347346	632.067305571446
"Southern"	683.146622394099	608.214255980198	655.023956685926	625.206048268106
"West Midlands"	660.434957078087	587.637559559043	636.89065769229	607.832479537529
"Yorkshire"	646.16602440908	574.504319227539	624.770446545752	594.402444023139
"Great Britain(3)"	659.163336848029	591.338200354835	633.672562756725	609.894645464614
