"Code"	"All domestic"	"All non-domestic"	"Total Sales"	"Mean Domestic"	"Year"	"Location"
"K03000001"	"319998.8688"	"188290.1084"	"508288.97720000002"	"13235.895379"	"2018"	"Great Britain"
"S12000005"	"301.03791675000002"	"833.26237546000004"	"1134.3002922000001"	"13089.174171000001"	"2018"	"Clackmannanshire"
"S12000006"	"646.96772485999998"	"540.53955559999997"	"1187.5072805"	"14402.985927"	"2018"	"Dumfries and Galloway"
"S12000008"	"746.94804465000004"	"306.74012723999999"	"1053.6881719"	"13676.609807999999"	"2018"	"East Ayrshire"
"S12000010"	"558.84787516999995"	"207.40056009"	"766.24843525000006"	"13423.839811"	"2018"	"East Lothian"
"S12000011"	"650.63871938"	"115.09500806"	"765.73372744999995"	"18073.799811000001"	"2018"	"East Renfrewshire"
"S12000013"	"18.494849229"	"5.1151811491999997"	"23.610030379000001"	"10803.066139"	"2018"	"Na h-Eileanan Siar"
"S12000014"	"927.06891528999995"	"770.38178378999999"	"1697.4506991000001"	"13711.805996999999"	"2018"	"Falkirk"
"S12000017"	"616.61287331000005"	"496.71441589"	"1113.3272892"	"13918.712293"	"2018"	"Highland"
"S12000018"	"480.82791578000001"	"160.01214063"	"640.84005642"	"13909.624965000001"	"2018"	"Inverclyde"
"S12000019"	"500.75237994000003"	"173.49742472"	"674.24980466"	"13234.113324"	"2018"	"Midlothian"
"S12000020"	"448.91500611999999"	"1431.0441092000001"	"1879.9591154"	"14358.847432"	"2018"	"Moray"
"S12000021"	"764.62766060000001"	"1442.6692963999999"	"2207.296957"	"12803.115444999999"	"2018"	"North Ayrshire"
"S12000023"	".."	".."	".."	".."	"2018"	"Orkney Islands"
"S12000026"	"520.04233447000001"	"268.59520048000002"	"788.63753494000002"	"13691.810186000001"	"2018"	"Scottish Borders"
"S12000027"	".."	".."	".."	".."	"2018"	"Shetland Islands"
"S12000028"	"672.71868513000004"	"479.55642485999999"	"1152.27511"	"14220.879085"	"2018"	"South Ayrshire"
"S12000029"	"1893.7623662999999"	"601.68123118999995"	"2495.4435975000001"	"14725.18888"	"2018"	"South Lanarkshire"
"S12000030"	"500.31464968"	"714.13568050000003"	"1214.4503302000001"	"15295.464679999999"	"2018"	"Stirling"
"S12000033"	"1344.5124430000001"	"976.47909276999997"	"2320.9915357"	"13316.091503"	"2018"	"Aberdeen City"
"S12000034"	"1063.364932"	"354.77663874000001"	"1418.1415708"	"15725.830491999999"	"2018"	"Aberdeenshire"
"S12000035"	"321.79882818999999"	"142.45744482000001"	"464.25627300999997"	"15358.126673000001"	"2018"	"Argyll and Bute"
"S12000036"	"2776.5688949999999"	"1876.7367219"	"4653.3056169000001"	"12534.903614999999"	"2018"	"City of Edinburgh"
"S12000038"	"1050.8659766000001"	"530.74934816999996"	"1581.6153248000001"	"12916.883532"	"2018"	"Renfrewshire"
"S12000039"	"492.09741155"	"203.08436388999999"	"695.18177543000002"	"11829.264701"	"2018"	"West Dunbartonshire"
"S12000040"	"1061.2615719"	"802.54083477999995"	"1863.8024066999999"	"13958.274545"	"2018"	"West Lothian"
"S12000041"	"578.31588078000004"	"338.02055080000002"	"916.33643157999995"	"13978.436642999999"	"2018"	"Angus"
"S12000042"	"761.02380487000005"	"662.53291635999994"	"1423.5567212000001"	"12508.815149"	"2018"	"Dundee City"
"S12000045"	"769.97984453000004"	"146.43276779000001"	"916.41261231999999"	"17414.448593000001"	"2018"	"East Dunbartonshire"
"S12000047"	"2270.4750792"	"1139.0734393"	"3409.5485184999998"	"13752.786805"	"2018"	"Fife"
"S12000048"	"709.22880902999998"	"323.11196848999998"	"1032.3407775000001"	"14841.459163"	"2018"	"Perth and Kinross"
"S12000049"	"2924.5863122000001"	"2220.5354634999999"	"5145.1217757000004"	"11269.517566"	"2018"	"Glasgow City"
"S12000050"	"1988.6559924000001"	"953.60028650000004"	"2942.2562788999999"	"13737.132541999999"	"2018"	"North Lanarkshire"
"S92000003"	"28361.313698000002"	"19216.572353"	"47577.886051000001"	"13522.122712"	"2018"	"Scotland"
