"Year"	"England"	"Wales"	"Scotland"	"Great Britain"	"Northern Ireland"	"United Kingdom"
"1961"	13915	"785"	"1569.82"	"16269.82"	"353"	"16622.82"
"1971"	16012	"928"	"1686.06"	"18626.060000000001"	"389"	"19015.060000000001"
"1972"	16107	"931"	".."	".."	".."	".."
"1973"	16251	"943"	".."	".."	".."	".."
"1974"	16352	"954"	".."	".."	".."	".."
"1975"	16455	"963"	".."	".."	".."	".."
"1976"	16561	"972"	".."	".."	".."	".."
"1977"	16680	"980"	".."	".."	".."	".."
"1978"	16800	"989"	".."	".."	".."	".."
"1979"	16929	"998"	".."	".."	".."	".."
"1980"	17068	"1007"	".."	".."	".."	".."
"1981"	17362	"1024.5999999999999"	"1785.94"	"20172.54"	"456"	"20628.54"
"1982"	17453	"1027.5"	".."	".."	".."	".."
"1983"	17585	"1033.2"	".."	".."	".."	".."
"1984"	17757	"1042.2"	".."	".."	".."	".."
"1985"	17942	"1052.5999999999999"	".."	".."	".."	".."
"1986"	18131	"1064.5999999999999"	".."	".."	".."	".."
"1987"	18335	"1079.0999999999999"	".."	".."	".."	".."
"1988"	18551	"1096.7"	".."	".."	".."	".."
"1989"	18778	"1113.0999999999999"	".."	".."	".."	".."
"1990"	18970	"1124.3"	".."	".."	".."	".."
"1991"	19166	"1112.925"	"2042.809"	"22321.734"	"541"	"22862.734"
"1992"	19284	"1123.579"	"2059.3229999999999"	"22466.902000000002"	".."	".."
"1993"	19391	"1134.2739999999999"	"2076.2370000000001"	"22601.511000000002"	".."	".."
"1994"	19494	"1143.6220000000001"	"2094.038"	"22731.66"	".."	".."
"1995"	19630	"1152.7570000000001"	"2111.9479999999999"	"22894.705000000002"	".."	".."
"1996"	19756	"1162.0319999999999"	"2125.5770000000002"	"23043.609"	".."	".."
"1997"	19874	"1171.9780000000001"	"2139.4090000000001"	"23185.386999999999"	".."	".."
"1998"	20000	"1182.9570000000001"	"2153.3649999999998"	"23336.322"	".."	".."
"1999"	20156	"1191.2380000000001"	"2165.819"	"23513.057000000001"	".."	".."
"2000"	20335	"1202.308"	"2177.4839999999999"	"23714.792000000001"	".."	".."
"2001"	20523	"1212.4749999999999"	"2195.0329999999999"	"23930.507999999998"	"627"	"24557.507999999998"
"2002"	20646	"1223.075"	"2211.0250000000001"	"24080.100000000002"	".."	".."
"2003"	20762	"1234.498"	"2229.5349999999999"	"24226.032999999999"	".."	".."
"2004"	20876	"1247.6189999999999"	"2249.16"	"24372.778999999999"	".."	".."
"2005"	21064	"1257.4780000000001"	"2271.3530000000001"	"24592.830999999998"	".."	".."
"2006"	21221	"1269.4570000000001"	"2291.415"	"24781.871999999999"	".."	".."
"2007"	21382	"1282.702"	"2314.3589999999999"	"24979.061000000002"	".."	".."
"2008"	21568	"1296.3078198091239"	"2332.4569999999999"	"25196.764819809123"	".."	".."
"2009"	21736	"1307.8221669809222"	"2345.3040000000001"	"25389.126166980921"	".."	".."
"2010"	21919	"1318.4530448312908"	"2357.424"	"25594.87704483129"	".."	".."
"2011"	22104	"1303.826"	"2368.0340000000001"	"25775.86"	".."	".."
"2012"	22306	"1312.644"	"2387.2069999999999"	"26005.850999999999"	"708.60299999999995"	"26714.453999999998"
"2013"	22508	"1321.675"	"2401.797"	"26231.471999999998"	"712.71199999999999"	"26944.183999999997"
"2014"	22746	"1330.74"	"2420.1410000000001"	"26496.881000000001"	"717.28700000000003"	"27214.168000000001"
"2015"	22984	"1339.7729999999999"	"2438.6370000000002"	"26762.41"	"721.86"	"27484.27"
"2016"	23229	"1349.0450000000001"	"2457.6750000000002"	"27035.719999999998"	"726.16899999999998"	"27761.888999999999"
"2017"	23464	"1358.3119999999999"	"2477.212"	"27299.523999999998"	"730.29899999999998"	"28029.822999999997"
"2018"	23697	"1367.4929999999999"	"2495.65"	"27560.143"	"734.60799999999995"	"28294.751"
"2019"	23927	"1376.654"	"2513.66"	"27817.313999999998"	"738.96400000000006"	"28556.277999999998"
"2020"	24150	"1385.424"	"2530.9180000000001"	"28066.342000000001"	"743.46"	"28809.802"
"2021"	24371	"1394.1289999999999"	"2548.069"	"28313.198"	"748.00199999999995"	"29061.200000000001"
"2022"	24586	"1403.1510000000001"	"2565.377"	"28554.528000000002"	"752.85599999999999"	"29307.384000000002"
"2023"	24800	"1411.6959999999999"	"2581.8220000000001"	"28793.518"	"757.94600000000003"	"29551.464"
"2024"	25015	"1419.94"	"2598.1480000000001"	"29033.088"	"763.27099999999996"	"29796.359"
"2025"	25228	"1427.6769999999999"	"2613.7350000000001"	"29269.412"	"768.279"	"30037.690999999999"
"2026"	25446	"1435.0540000000001"	"2628.8679999999999"	"29509.921999999999"	"772.93100000000004"	"30282.852999999999"
"2027"	25661	"1442.059"	"2644.4180000000001"	"29747.477000000003"	"777.59"	"30525.067000000003"
"2028"	25874	"1448.664"	"2659.5740000000001"	"29982.238000000001"	"782.09900000000005"	"30764.337"
"2029"	26083	"1455.1130000000001"	"2674.38"	"30212.493000000002"	"786.125"	"30998.618000000002"
"2030"	26291	"1461.278"	"2688.3719999999998"	"30440.649999999998"	"789.85799999999995"	"31230.507999999998"
"2031"	26499	"1467.2919999999999"	"2702.73"	"30669.022000000001"	"793.47400000000005"	"31462.495999999999"
"2032"	26701	"1473.097"	"2716.6979999999999"	"30890.795000000002"	"797.08199999999999"	"31687.877"
"2033"	26898	"1478.665"	"2730.259"	"31106.923999999999"	"800.577"	"31907.501"
"2034"	27088	"1483.9639999999999"	"2743.77"	"31315.734"	"803.90899999999999"	"32119.643"
"2035"	27275	"1489.1469999999999"	"2756.6889999999999"	"31520.835999999999"	"807.00199999999995"	"32327.838"
"2036"	27463	"1494.1880000000001"	"2769.9879999999998"	"31727.176000000003"	"809.88900000000001"	"32537.065000000002"
"2037"	27650	".."	"2782.7739999999999"	".."	"812.65"	"31245.424000000003"
"2038"	27830	0	0	0	0	0
"2039"	28004	0	0	0	0	0
