"Council area"	"1991"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"Change 2017 to 2018"	"X__1"	"Change 2008 to 2018"	"X__2"
"Scotland"	2042809	2194564	2211430	2230797	2251262	2274283	2295185	2318966	2337967	2351780	2364850	2376424	2386660	2400342	2416014	2429943	2446171	2462736	2477275	"14539"	"6.0000000000000001E-3"	"139308"	"0.06"
"Aberdeen City4"	89949	96948	97393	97857	98526	99120	100521	101916	102577	103077	103285	103423	103934	105047	105287	105311	106749	106802	107586	"784"	"7.0000000000000001E-3"	"5009"	"4.9000000000000002E-2"
"Aberdeenshire"	80473	90887	92328	93763	95658	97490	98892	100340	101696	102839	104017	105006	106018	107128	108381	109631	110296	110941	111156	"216"	"2E-3"	"9460"	"9.2999999999999999E-2"
"Angus"	43806	46945	47264	47772	48396	48993	49556	50128	50639	51109	51436	51738	52109	52413	52692	53142	53333	53627	53888	"261"	"5.0000000000000001E-3"	"3250"	"6.4000000000000001E-2"
"Argyll and Bute"	37657	39028	39135	39728	39828	40245	40433	40437	40481	40353	40401	40427	40514	40934	40857	40938	41040	41455	41630	"175"	"4.0000000000000001E-3"	"1149"	"2.8000000000000001E-2"
"City of Edinburgh4"	188714	204994	206592	207981	209720	212548	214651	217740	219085	220422	222062	224041	224875	227222	229231	229650	231383	233369	235771	"2401"	"0.01"	"16685"	"7.5999999999999998E-2"
"Clackmannanshire"	18857	20568	20729	20947	21251	21550	21862	22225	22517	22727	22815	22796	22881	22978	23217	23333	23401	23563	23674	"111"	"5.0000000000000001E-3"	"1157"	"5.0999999999999997E-2"
"Dumfries and Galloway"	59300	63888	64195	64892	65515	66215	66469	66909	67414	67662	67845	68058	68364	68682	68818	68999	69202	69503	69586	"83"	"1E-3"	"2172"	"3.2000000000000001E-2"
"Dundee City"	67028	66854	67133	67109	67310	67188	67060	68011	68594	69067	69105	69150	69263	69500	69610	69534	69635	70049	70337	"288"	"4.0000000000000001E-3"	"1743"	"2.5000000000000001E-2"
"East Ayrshire"	48779	50399	50639	50981	51305	51494	51941	52425	53079	53519	53793	53927	54143	54453	54401	54570	54748	54873	55107	"234"	"4.0000000000000001E-3"	"2028"	"3.7999999999999999E-2"
"East Dunbartonshire"	39479	42251	42271	42321	42492	42716	42809	42892	43055	43170	43298	43491	43778	44102	44504	45008	45350	45690	46023	"332"	"7.0000000000000001E-3"	"2968"	"6.9000000000000006E-2"
"East Lothian"	34245	38227	38623	38924	39294	39668	40313	41112	41783	42211	42602	42997	43429	43682	43981	44384	44749	45301	45975	"674"	"1.4999999999999999E-2"	"4193"	"0.1"
"East Renfrewshire"	32212	35024	35274	35550	35764	35957	36090	36307	36420	36698	37011	37300	37575	37804	38048	38270	38581	38899	39108	"208"	"5.0000000000000001E-3"	"2688"	"7.3999999999999996E-2"
"Falkirk"	56780	62688	63521	64369	65354	65833	66593	67310	67730	68136	68559	68870	69230	69443	69693	70431	71072	71800	72267	"466"	"6.0000000000000001E-3"	"4536"	"6.7000000000000004E-2"
"Fife"	138659	150516	151679	152739	153854	155600	156558	157742	158967	159790	160618	161089	161845	162200	163958	164705	165833	166960	167944	"984"	"6.0000000000000001E-3"	"8977"	"5.6000000000000001E-2"
"Glasgow City4"	272092	271968	273058	274786	277282	279466	280541	282409	283521	284431	285240	285924	285583	285346	286377	287862	289399	291115	292619	"1504"	"5.0000000000000001E-3"	"9098"	"3.2000000000000001E-2"
"Highland"	79707	89618	90625	91825	93099	94792	96143	97825	99459	100610	101506	102378	103317	104445	105711	106834	107573	108319	108878	"559"	"5.0000000000000001E-3"	"9419"	"9.5000000000000001E-2"
"Inverclyde"	36407	36691	36655	36736	36961	37053	37144	37133	37198	37323	37320	37340	37299	37337	37384	37426	37586	37651	37640	"-11"	"0"	"442"	"1.2E-2"
"Midlothian"	29988	32934	32974	33030	33116	33200	33421	33575	33819	34366	34754	35089	35540	36009	36602	37069	37766	38557	39122	"565"	"1.4999999999999999E-2"	"5303"	"0.157"
"Moray"	32662	35868	36290	36637	37167	37736	38316	38909	39274	39486	39813	40155	40492	40839	41288	41641	41961	42269	42554	"286"	"7.0000000000000001E-3"	"3280"	"8.4000000000000005E-2"
"Na h-Eileanan Siar"	10980	11276	11257	11372	11488	11629	11779	11926	12075	12193	12358	12589	12749	12924	12920	12968	12951	12805	12773	"-33"	"-3.0000000000000001E-3"	"697"	"5.8000000000000003E-2"
"North Ayrshire"	54443	58775	59284	59756	59936	60460	61015	61260	61758	62107	62341	62474	62519	62613	62802	63189	63440	63756	63935	"178"	"3.0000000000000001E-3"	"2176"	"3.5000000000000003E-2"
"North Lanarkshire"	121587	132755	134602	136304	137815	139541	141229	142742	143810	144331	145361	146148	146905	147554	148610	149282	150364	151155	151744	"588"	"4.0000000000000001E-3"	"7934"	"5.5E-2"
"Orkney Islands"	7735	8339	8457	8582	8744	8934	9052	9206	9338	9514	9659	9761	9859	9945	10042	10146	10256	10385	10506	"121"	"1.2E-2"	"1169"	"0.125"
"Perth and Kinross"	51692	58364	58929	59862	60772	61572	62575	63174	64284	64575	64693	64905	65194	65616	66035	66545	67101	67618	68196	"578"	"8.9999999999999993E-3"	"3911"	"6.0999999999999999E-2"
"Renfrewshire"	70537	75380	76147	76978	77002	77483	78239	79096	79894	80394	80649	80903	80924	81787	82385	83245	84025	84938	85745	"807"	"0.01"	"5851"	"7.2999999999999995E-2"
"Scottish Borders"	43473	47452	47988	48543	49128	49621	50147	50844	51436	51834	52206	52485	52671	52934	53157	53351	53787	54306	54413	"107"	"2E-3"	"2977"	"5.8000000000000003E-2"
"Shetland Islands"	8467	9109	9139	9209	9290	9395	9468	9529	9622	9764	9884	9973	10080	10135	10166	10235	10283	10341	10384	"42"	"4.0000000000000001E-3"	"761"	"7.9000000000000001E-2"
"South Ayrshire"	45410	48802	49045	49446	49767	50158	50316	50654	50866	50952	51184	51364	51515	51654	51874	51912	51923	52104	52281	"177"	"3.0000000000000001E-3"	"1415"	"2.8000000000000001E-2"
