"Year"	"Industry GVA"
"1998"	"22936.78558608644"
"1999"	"22165.82601816328"
"2000"	"23079.961162339179"
"2001"	"21922.77759538544"
"2002"	"21494.078241168438"
"2003"	"21237.919564436019"
"2004"	"21708.360987913442"
"2005"	"22291.274995432203"
"2006"	"23483.661968529461"
"2007"	"23166.986981677659"
"2008"	"23238.936725392541"
"2009"	"21027.891947128341"
"2010"	"22075.411988461437"
"2011"	"22777.514735338442"
"2012"	"22639.689150374419"
"2013"	"23396.033462998301"
"2014"	"24602.776624266"
"2015"	"24833.817671509601"
"2016"	"24314"
"2017"	"24902.546957359002"
"2018"	"25393.997939740399"
"2019"	"25243.6404919794"
