"X__1"	"Jan 19 - June 19"
"Austria"	"11.498115282491838"
"Belgium"	"17.168538396729836"
"Denmark"	"9.4710919196209371"
"Finland"	"10.248700020032619"
"France"	"9.9428990816684735"
"Germany"	"12.869850920296717"
"Greece"	"9.951636251336021"
"Ireland"	"17.710242916117746"
"Italy"	"12.511626963927288"
"Luxembourg"	"11.585486979167309"
"Netherlands"	"11.856339238861265"
"Portugal"	"9.6370981433043283"
"Spain"	"16.504513501996264"
"Sweden"	"11.332109058808447"
"United Kingdom"	"12.668896017943135"
"EU 15 Median"	"11.585486979167309"
"EU 15 Median(%)"	"9.3514328808446443"
"EU 15 Rank"	"11"
"Bulgaria"	"7.260587993731547"
"Croatia"	"8.9818104182383056"
"Cyprus"	"15.394892954217795"
"Czech Republic"	"12.520364133594839"
"Estonia"	"8.5799006135311444"
"Hungary"	"7.7061836467764451"
"Latvia"	"9.9254247423333819"
"Lithuania"	"8.2740996751669993"
"Malta"	"10.729244351747704"
"Poland"	"7.7236579861115402"
"Romania"	"8.5886377831986902"
"Slovakia"	"8.4051572201802038"
"Slovenia"	"9.829315875990364"
"EU 28 Median"	"10.100168135684321"
"EU 28 Median(%)"	"25.432525951557089"
"EU 28 Rank"	"23"
"Austria"	"17.771403103790576"
"Belgium"	"24.804824686165901"
"Denmark"	"26.071714287960219"
"Finland"	"15.150252203526479"
"France"	"15.421104463220436"
"Germany"	"26.980379933385105"
"Greece"	"14.416329951452534"
"Ireland"	"21.170162104466357"
"Italy"	"20.104227405025625"
"Luxembourg"	"15.709431062249488"
"Netherlands"	"17.928672157806421"
"Portugal"	"18.819863463896215"
"Spain"	"20.99541871111542"
"Sweden"	"17.605396880107186"
"United Kingdom"	"18.540274034534711"
"EU 15 Median"	"18.540274034534711"
"EU 15 Median(%)"	"0"
"EU 15 Rank"	"8"
"Bulgaria"	"8.710958158544349"
"Croatia"	"11.541801130829574"
"Cyprus"	"19.247984777606018"
"Czech Republic"	"15.27257257887214"
"Estonia"	"11.856339238861265"
"Hungary"	"9.785630027652628"
"Latvia"	"14.232849388434046"
"Lithuania"	"10.965147932771472"
"Malta"	"11.402006416148822"
"Poland"	"11.734018863515608"
"Romania"	"11.865076408528813"
"Slovakia"	"13.778516565721604"
"Slovenia"	"14.276535236771782"
"EU 28 Median"	"15.346838521046287"
"EU 28 Median(%)"	"20.808425846854536"
"EU 28 Rank"	"20"
