"X__1"	"X__43"
"Austria"	"4.2025786100901019"
"Belgium"	"3.7482457873776589"
"Denmark"	"3.2589642859950274"
"Finland"	".."
"France"	"4.5957512451297164"
"Germany"	"4.1239440830821792"
"Greece"	"4.2113157797576486"
"Ireland"	"4.9365008621640492"
"Italy"	"4.4297450214463243"
"Luxembourg"	"3.5210793760214369"
"Netherlands"	"3.556028054691625"
"Portugal"	"5.058821237509707"
"Spain"	"5.1112442555149888"
"Sweden"	"5.8888523559266712"
"United Kingdom"	"3.9404635200636924"
"EU 15 Median"	"4.2069471949238757"
"EU 15 Median(%)"	"-6.3343717549325049"
"EU 15 Rank"	"5"
"Bulgaria"	"3.2677014556625741"
"Croatia"	"2.6211509002640967"
"Cyprus"	".."
"Czech Republic"	"4.2287901190927428"
"Estonia"	"2.8133686329501306"
"Hungary"	"2.3765101495727809"
"Latvia"	"3.0667465533089935"
"Lithuania"	"2.8046314632825831"
"Malta"	".."
"Poland"	"3.3201244736678563"
"Romania"	"2.5512535429237211"
"Slovakia"	"3.2677014556625741"
"Slovenia"	"3.5123422063538898"
"EU 28 Median"	"3.556028054691625"
"EU 28 Median(%)"	"10.810810810810805"
"EU 28 Rank"	"15"
"Austria"	"5.7665319805810134"
"Belgium"	"4.8403919958210322"
"Denmark"	"7.4702800657526769"
"Finland"	".."
"France"	"6.4305568753145845"
"Germany"	"5.5218912298896976"
"Greece"	"4.8491291654885798"
"Ireland"	"5.967486882934594"
"Italy"	"6.7188834743436345"
"Luxembourg"	"3.9142520110610515"
"Netherlands"	"8.0469332638107787"
"Portugal"	"6.6402489473357127"
"Spain"	"6.4305568753145845"
"Sweden"	"10.336071716708089"
"United Kingdom"	"4.3074246461006656"
"EU 15 Median"	"6.1990218791245892"
"EU 15 Median(%)"	"-30.514446793516569"
"EU 15 Rank"	"2"
"Bulgaria"	"3.9229891807285986"
"Croatia"	"3.2764386253301212"
"Cyprus"	".."
"Czech Republic"	"5.1199814251825364"
"Estonia"	"4.0016237077365213"
"Hungary"	"3.0230607049712583"
"Latvia"	"3.8967776717259572"
"Lithuania"	"3.9317263503961453"
"Malta"	".."
"Poland"	"4.1326812527497268"
"Romania"	"3.0317978746388055"
"Slovakia"	"3.9229891807285986"
"Slovenia"	"4.9976610498368785"
"EU 28 Median"	"4.8491291654885798"
"EU 28 Median(%)"	"-11.171171171171187"
"EU 28 Rank"	"11"
