"Local Authority Code4"	"Local Authority Name"	"Region"	"Country"	"Estimated number of households 1, 2, 3"	"Photovoltaics"	"Onshore Wind"	"Hydro"	"Anaerobic Digestion"	"Offshore Wind"	"Wave/Tidal"	"Sewage Gas"	"Landfill Gas"	"Municipal Solid Waste"	"Animal Biomass"	"Plant Biomass"	"Cofiring"	"Total"	"Year"
"S12000033"	"Aberdeen City"	"Scotland"	"Scotland"	102602	7425.621	3692.809	2485.502	0	24623.984	0	6810.482	3588	0	0	0	0	48626.398	2019
"S12000034"	"Aberdeenshire"	"Scotland"	"Scotland"	107960	38710.009	1288858.628	2406.482	13517.435	446499.771	0	0	27813.194	0	0	3886.231	0	1821691.749	2019
"S12000041"	"Angus"	"Scotland"	"Scotland"	53296	32004.704	49517.514	7629.961	11010.285	0	0	1633.474	10195.52	0	0	2657.236	0	114648.694	2019
"S12000035"	"Argyll & Bute"	"Scotland"	"Scotland"	44911	6469.775	848903.39	587322.064	0	0	0	0	395	0	0	0	0	1443090.229	2019
"S12000005"	"Clackmannanshire"	"Scotland"	"Scotland"	23676	7498.367	124303.722	221.343	0	0	0	0	0	0	0	0	0	132023.432	2019
"S12000006"	"Dumfries & Galloway"	"Scotland"	"Scotland"	72066	14216.264	1623594.145	418193.305	20102.149	525512	0	0	1759	0	0	308464.35	0	2911841.214	2019
"S12000042"	"Dundee City"	"Scotland"	"Scotland"	72946	4229.377	93.815	955	0	0	0	0	0	0	0	188.593	0	5466.785	2019
"S12000008"	"East Ayrshire"	"Scotland"	"Scotland"	55844	5031.181	720299.391	1893.59	0	0	0	428.275	26561.808	0	0	591.106	0	754805.352	2019
"S12000045"	"East Dunbartonshire"	"Scotland"	"Scotland"	44173	2751.045	28.268	0	5507.762	0	0	0	0	0	0	0	0	8287.075	2019
"S12000010"	"East Lothian"	"Scotland"	"Scotland"	44136	7557.353	462051.377	121.739	0	0	0	0	37104	0	0	1051.667	0	507886.136	2019
"S12000011"	"East Renfrewshire"	"Scotland"	"Scotland"	36691	1774.881	670867.686	0	0	0	0	0	0	0	0	0	0	672642.567	2019
"S12000036"	"Edinburgh City of"	"Scotland"	"Scotland"	234091	8672.267	250.556	922.263	2753.881	0	0	17168.8	8739.977	0	0	0	0	38507.745	2019
"S12000013"	"Eilean Siar"	"Scotland"	"Scotland"	14354	1198.095	136185.049	6834.359	390.5	0	0	0	0	0	0	0	0	144608.004	2019
"S12000014"	"Falkirk"	"Scotland"	"Scotland"	70868	5032.665	96661.117	3235.298	0	0	0	0	33233.534	0	0	0	0	138162.614	2019
"S12000015"	"Fife"	"Scotland"	"Scotland"	169413	31758.107	216624.862	3925.832	39603.617	39932.876	0	0	22527.529	0	55488.667	396007.188	0	805868.678	2019
"S12000046"	"Glasgow City"	"Scotland"	"Scotland"	296383	10205.983	7342.211	0	26647.651	0	0	0	44370.572	0	0	0	0	88566.417	2019
"S12000017"	"Highland"	"Scotland"	"Scotland"	109412	17565.912	4138177.389	3113747.064	7842.207	0	13639.4	1901.046	765	0	0	176690.746	0	7470328.763	2019
"S12000018"	"Inverclyde"	"Scotland"	"Scotland"	38830	1886.467	6228.743	284.057	0	0	0	0	0	0	0	0	0	8399.267	2019
"S12000019"	"Midlothian"	"Scotland"	"Scotland"	35716	4135.82	100923.928	1453.486	8206.456	0	0	0	7537.783	0	0	0	0	122257.473	2019
"S12000020"	"Moray"	"Scotland"	"Scotland"	41826	9307.548	1370147.933	461.095	23285.742	0	0	0	4576	0	0	146395.939	0	1554174.256	2019
"S12000021"	"North Ayrshire"	"Scotland"	"Scotland"	66204	11455.834	351609.082	11616.823	13730.465	0	0	0	9952.221	0	0	163951.897	0	562316.323	2019
"S12000044"	"North Lanarkshire"	"Scotland"	"Scotland"	148400	9360.069	60791.866	1309.613	40091.611	0	0	0	87972.132	0	0	80248.327	0	279773.619	2019
"S12000023"	"Orkney Islands"	"Scotland"	"Scotland"	10046	1411.769	166167.653	40.58	0	0	0	0	0	0	0	0	0	167620.002	2019
"S12000024"	"Perth & Kinross"	"Scotland"	"Scotland"	67870	25781.092	524565.089	828181.116	12109.497	0	0	0	10082	0	0	765.766	0	1401484.56	2019
"S12000038"	"Renfrewshire"	"Scotland"	"Scotland"	82236	6303.97	33.896	0	0	0	0	0	0	0	0	863.277	0	7201.143	2019
"S12000026"	"Scottish Borders"	"Scotland"	"Scotland"	55857	16080.132	1450636.462	2190.26	7786.146	0	0	700	4657	0	0	1999.648	0	1484049.648	2019
"S12000027"	"Shetland Islands"	"Scotland"	"Scotland"	10582	259.021	38194.171	68.247	0	0	351.2	0	0	0	0	0	0	38872.64	2019
"S12000028"	"South Ayrshire"	"Scotland"	"Scotland"	53909	4637.921	1352889.655	2380.072	23253.08	0	0	0	2223	0	0	38010.782	0	1423394.51	2019
"S12000029"	"South Lanarkshire"	"Scotland"	"Scotland"	143156	12856.19	2681030.168	84278.121	0	0	0	0	32420	0	0	31747.252	0	2842331.731	2019
"S12000030"	"Stirling"	"Scotland"	"Scotland"	39085	14662.266	414801.518	320260.519	6070.68	0	0	0	1273.758	0	0	26707.917	0	783776.657	2019
"S12000039"	"West Dunbartonshire"	"Scotland"	"Scotland"	44574	3424.507	0	2588.534	0	0	0	0	31075	0	0	0	0	37088.041	2019
"S12000040"	"West Lothian"	"Scotland"	"Scotland"	75062	7871.356	230905.174	0	0	0	0	0	3414	0	0	0	0	242190.53	2019
