"Loft Insulation"	"2018"	"2017"	"2016"	"2015"	"2014"	"2013"	"2012"	"2010"	"2011"	"2009"	"2008"	"2007"	"2006/05"	"2004/05"	"2003/04"
"none"	11	9	9	19	15	27	31	42	32	96	101	99	104	96	110
"1mm-99mm"	95	101	109	125	143	113	185	279	225	349	386	384	384	460	462
"100mm-199mm"	594	563	525	518	528	534	617	822	745	872	818	987	987	982	953
"Subtotal: <200mm"	701	673	643	663	686	675	834	1143	1002	1318	1305	1470	1475	1539	1525
"200mm or more"	1135	1152	1197	1161	1123	1118	975	621	812	485	471	315	315	289	258
"Not applicable"	641	638	612	610	611	606	577	592	554	542	555	524	524	472	486
"All Dwellings"	2477	2464	2452	2434	2420	2399	2386	2357	2368	2344	2331	2309	2315	2301	2269
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Sample Size"	2964	3002	2850	2754	2682	2723	2787	3114	3219	3346	3015	3032	3147	3103	3090
