"X__1"	"A or better"	"B"	"C"	"D"	"E"	"F"	"G"
"All non-domestic buildings"	"1.2E-2"	"3.5999999999999997E-2"	"8.6999999999999994E-2"	"0.13100000000000001"	"0.17699999999999999"	"0.14199999999999999"	"0.41699999999999998"
0	0	0	0	0	0	0	0
"Building type"	"A or better"	"B"	"C"	"D"	"E"	"F"	"G"
"Other"	"1.7999999999999999E-2"	"3.2000000000000001E-2"	"6.6000000000000003E-2"	"8.4000000000000005E-2"	"8.1000000000000003E-2"	"6.7000000000000004E-2"	"0.65200000000000002"
"Storage and Distribution"	"7.4999999999999997E-2"	"9.1999999999999998E-2"	"0.224"	"0.20100000000000001"	"0.14599999999999999"	"0.10199999999999999"	"0.161"
"Retail and Financial"	"1E-3"	"8.9999999999999993E-3"	"3.7999999999999999E-2"	"0.10100000000000001"	"0.19700000000000001"	"0.183"	"0.47099999999999997"
"Restaurants, Cafés and Takeaways"	"0"	"0"	"5.0000000000000001E-3"	"2.5000000000000001E-2"	"5.0999999999999997E-2"	"6.3E-2"	"0.85499999999999998"
"Public Assembly"	"6.0000000000000001E-3"	"3.1E-2"	"0.06"	"9.9000000000000005E-2"	"0.13200000000000001"	"0.14199999999999999"	"0.53100000000000003"
"Offices and Workshops"	"1.4E-2"	"6.3E-2"	"0.154"	"0.2"	"0.223"	"0.13300000000000001"	"0.21299999999999999"
"Industrial"	"0.01"	"1.9E-2"	"0.121"	"0.17100000000000001"	"0.22600000000000001"	"0.16700000000000001"	"0.28499999999999998"
"Hotels"	"0"	"4.0000000000000001E-3"	"1.0999999999999999E-2"	"3.3000000000000002E-2"	"3.1E-2"	"5.8000000000000003E-2"	"0.86199999999999999"
"Healthcare"	"0.01"	"3.2000000000000001E-2"	"5.5E-2"	"0.126"	"0.216"	"0.17599999999999999"	"0.38400000000000001"
"Education"	"6.2E-2"	"0.15"	"0.158"	"0.184"	"0.16500000000000001"	"0.10299999999999999"	"0.17899999999999999"
0	0	0	0	0	0	0	0
0	0	0	0	"Figure 4: Non-domestic building types by current EPC band"	0	0	0
