"Quarter"	"Credit"	"Direct Debit"	"Prepayment"	"All payment types"
2001-12-01	17	26	14	".."
2002-03-01	14	23	12	".."
2002-06-01	15	23	11	".."
2002-09-01	14	21	11	".."
2002-12-01	14	20	11	".."
2003-03-01	15	21	9	".."
2003-06-01	15	22	10	".."
2003-09-01	16	25	12	".."
2003-12-01	16	25	13	".."
2004-03-01	16	25	13	".."
2004-06-01	18	25	18	".."
2004-09-01	16	26	17	".."
2004-12-01	14	31	23	".."
2005-03-01	16	26	17	".."
2005-06-01	17	27	12	".."
2005-09-01	16	27	13	".."
2005-12-01	15	25	14	".."
2006-03-01	20	32	17	".."
2006-06-01	20	33	18	".."
2006-09-01	19	33	18	".."
2006-12-01	19	33	18	".."
2007-03-01	17	29	14	".."
2007-06-01	17	29	14	".."
2007-09-01	17	29	15	".."
2007-12-01	17	29	16	".."
2008-03-01	17	29	16	".."
2008-06-01	22	33	20	".."
2008-09-01	22	34	23	".."
2008-12-01	23	36	22	".."
2009-03-01	22	36	25	".."
2009-06-01	23	36	25	".."
2009-09-01	18	35	27	".."
2009-12-01	17	35	28	".."
2010-03-01	17	33	29	"27"
2010-06-01	17	33	30	"27"
2010-09-01	17	34	30	"27"
2010-12-01	18	35	31	"28"
2011-03-01	19	37	32	"30"
2011-06-01	20	39	33	"32"
2011-09-01	20	40	33	"32"
2011-12-01	19	37	33	"30"
2012-03-01	19	37	33	"31"
2012-06-01	20	37	34	"31"
2012-09-01	20	38	34	"32"
2012-12-01	21	39	35	"32"
2013-03-01	24	38	29	"33"
2013-06-01	25	38	29	"33"
2013-09-01	26	38	30	"33"
2013-12-01	26	39	30	"34"
2014-03-01	26	40	31	"34"
2014-06-01	27	39	30	"34"
2014-09-01	27	39	30	"34"
2014-12-01	28	40	30	"35"
2015-03-01	28	40	30	"35"
2015-06-01	28	40	30	"35"
2015-09-01	28	40	31	"35"
2015-12-01	28	40	31	"36"
2016-03-01	28	41	31	"39"
2016-06-01	28	41	31	"40"
2016-09-01	28	41	31	"41"
2016-12-01	28	41	31	"41"
2017-03-01	26	41	31	"41"
2017-06-01	27	41	30	"41"
2017-09-01	27	41	30	"42"
2017-12-01	39	53	49	"49"
2018-03-01	28	42	32	"37"
2018-06-01	30	46	35	"41"
2018-09-01	31	46	35	"41"
2018-12-01	32	47	36	"41"
2019-03-01	40	57	46	"52"
2019-06-01	39	57	47	"52"
2019-09-01	43	61	49	"56"
2019-12-01	42	61	49	"55"
2020-03-01	42	61	49	"55"
2020-06-01	42	62	49	"56"
