"Quarter"	"Credit"	"Direct Debit"	"Prepayment"	"All payment types"
"41334"	57	77	71	71
"41426"	57	77	72	71
"41518"	57	77	71	71
"41609"	57	77	72	72
"41699"	53	72	68	67
"41791"	54	72	68	67
"41883"	54	72	68	67
"41974"	55	71	68	67
"42064"	55	71	68	66
"42156"	55	70	68	66
"42248"	55	70	68	66
"42339"	56	69	68	66
"42430"	56	69	68	68
"42522"	56	70	68	68
"42614"	57	70	68	68
"42705"	57	70	68	68
"42795"	59	69	68	69
"42887"	60	69	68	69
"42979"	60	70	67	70
"43070"	62	75	72	72
"43160"	59	73	70	70
"43252"	63	77	71	73
"43344"	63	78	72	74
"43435"	64	79	72	75
"43525"	66	78	73	75
"43617"	67	78	73	75
"43709"	63	72	69	70
"43800"	63	73	70	71
"43891"	63	73	71	71
