"Local Authority"	"CODE"	"LAU1 Code"	"Number of domestic gas meters2 (thousands)"	"Number of households3 (thousands)"	"Estimated number of households not connected to the gas network4 (thousands)"	"Percentage"	"Year"
"Clackmannanshire"	"S12000005"	"UKM2201"	22999	23674	675	2.8512292	2018
"Dumfries and Galloway"	"S12000006"	"UKM3200"	44919	69586	24667	35.44822234	2018
"East Ayrshire"	"S12000008"	"UKM3301"	54615	55107	492	0.89280854	2018
"East Lothian"	"S12000010"	"UKM2301"	41631	45975	4344	9.44861338	2018
"East Renfrewshire"	"S12000011"	"UKM3501"	35999	39108	3109	7.9497801	2018
"Na h-Eileanan Siar"	"S12000013"	"UKM6400"	1712	12773	11061	86.59672747	2018
"Falkirk"	"S12000014"	"UKM2600"	67611	72267	4656	6.44277471	2018
"Highland"	"S12000017"	"UKM6101, UKM6102, UKM6201, UKM6202, UKM6304, UKM6305"	44301	108878	64577	59.3113393	2018
"Inverclyde"	"S12000018"	"UKM3503"	34568	37640	3072	8.16153029	2018
"Midlothian"	"S12000019"	"UKM2302"	37838	39122	1284	3.2820408	2018
"Moray"	"S12000020"	"UKM6203, UKM6204"	31264	42554	11290	26.53099591	2018
"North Ayrshire"	"S12000021"	"UKM3302, UKM6301"	59722	63935	4213	6.58950497	2018
"Orkney Islands"	"S12000023"	"UKM6500"	0	10506	10506	100	2018
"Scottish Borders"	"S12000026"	"UKM2400"	37982	54413	16431	30.19682796	2018
"Shetland Islands"	"S12000027"	"UKM6600"	0	10384	10384	100	2018
"South Ayrshire"	"S12000028"	"UKM3700"	47305	52281	4976	9.51779805	2018
"South Lanarkshire"	"S12000029"	"UKM3800"	128607	146173	17566	12.01726721	2018
"Stirling"	"S12000030"	"UKM2702"	32710	39440	6730	17.06389452	2018
"Aberdeen City"	"S12000033"	"UKM5001"	100969	107586	6617	6.15042849	2018
"Aberdeenshire"	"S12000034"	"UKM5002"	67619	111156	43537	39.16747634	2018
"Argyll and Bute"	"S12000035"	"UKM3101, UKM6302, UKM6303"	20953	41630	20677	49.66850829	2018
"City of Edinburgh"	"S12000036"	"UKM2500"	221507	235771	14264	6.04993829	2018
"Renfrewshire"	"S12000038"	"UKM3502"	81356	85745	4389	5.11866581	2018
"West Dunbartonshire"	"S12000039"	"UKM3102"	41600	42868	1268	2.95791733	2018
"West Lothian"	"S12000040"	"UKM2800"	76031	77953	1922	2.46558824	2018
"Angus"	"S12000041"	"UKM2101"	41372	53888	12516	23.22595012	2018
"Dundee City"	"S12000042"	"UKM2102"	60839	70337	9498	13.50356143	2018
"East Dunbartonshire"	"S12000045"	"UKM3103"	44215	46023	1808	3.92847055	2018
"Fife"	"S12000047"	"UKM2202"	165092	167944	2852	1.69818511	2018
"Perth and Kinross"	"S12000048"	"UKM2701"	47787	68196	20409	29.92697519	2018
"Glasgow City"	"S12000049"	"UKM3400"	259513	292619	33106	11.31368776	2018
"North Lanarkshire"	"S12000050"	"UKM3600"	144765	151744	6979	4.59919338	2018
