"Year"	"Exports to RUK"	"Exports to ROW"	"Total Exports"
"1998"	5468.58249919709	2253.77350180688	7722.35600100397
"1999"	7602.44320440837	3114.1131512288	10716.5563556372
"2000"	11195.2161094303	5297.58803969818	16492.8041491284
"2001"	10393.2470356916	5278.3398112419	15671.5868469335
"2002"	10379.2661399744	4944.95089376432	15324.2170337387
"2003"	10214.3116417932	4653.3931545597	14867.7047963529
"2004"	10405.7520784695	4712.90599051168	15118.6580689812
"2005"	13914.1665979652	5520.51454962602	19434.6811475912
"2006"	15335.0503069878	6501.0119059621	21836.0622129499
"2007"	13021.7324791651	6367.15545119836	19388.8879303635
"2008"	20920.458545832	8383.87355751263	29304.3321033446
"2009"	12007.845811683	6303.3598087638	18311.2056204468
"2010"	16290.7687200279	7964.91563223521	24255.6843522631
"2011"	16533.4721412527	8556.86626581106	25090.3384070638
"2012"	15690.7985406035	9006.62274044363	24697.4212810471
"2013"	14569.1669385184	8589.5	23158.6669385184
"2014"	10600.3615116968	9568.5	20168.8615116968
"2015"	9169.76668352957	5565.5	14735.2666835296
"2016"	8869.81009266004	4650	13519.81009266
"2017p"	10752.5468461218	6822.5	17575.0468461218
"2018p"	16025.6566130645	8448	24473.6566130645
