"Year"	"Exploration"	"Appraisal"	"Development"
"1964"	1	 	 
"1965"	10	 	 
"1966"	21	8	3
"1967"	41	17	12
"1968"	33	5	37
"1969"	45	8	27
"1970"	22	2	31
"1971"	23	4	34
"1972"	33	9	37
"1973"	41	18	21
"1974"	66	34	20
"1975"	75	36	20
"1976"	61	30	55
"1977"	67	42	101
"1978"	35	26	97
"1979"	35	15	113
"1980"	32	22	142
"1981"	47	26	146
"1982"	68	48	133
"1983"	79	56	102
"1984"	107	84	123
"1985"	91	63	149
"1986"	75	43	99
"1987"	74	69	140
"1988"	93	79	175
"1989"	94	83	154
"1990"	157	67	124
"1991"	103	78	150
"1992"	77	55	170
"1993"	51	60	169
"1994"	61	39	208
"1995"	60	34	266
"1996"	71	42	283
"1997"	59	36	255
"1998"	46	32	289
"1999"	18	17	237
"2000"	27	34	225
"2001"	24	35	286
"2002"	16	29	260
"2003"	26	19	207
"2004"	30	34	167
"2005"	41	37	228
"2006"	29	41	202
"2007"	34	77	165
"2008"	44	61	170
"2009"	23	41	131
"2010"	28	34	130
"2011"	14	28	123
"2012"	22	31	122
"2013"	15	29	120
"2014"	13	18	126
"2015"	13	13	129
"2016"	14	8	87
"2017"	14	9	71
"2018"	8	9	84
