"Time Period"	"Motor Spirit - Ultra low Sulphur Petrol"	"Motor Spirit - Sulphur Free Petrol"	"Motor Spirit - Unleaded Petrol"	"Motor Spirit - Super Unleaded Petrol/ LRP"	"Motor Spirit - Leaded Petrol"	"Motor Spirit - Bioethanol"	"Motor Spirit - Total Petrol"	"Diesel - Ultra low Sulphur Diesel"	"Diesel - Sulphur Free Diesel"	"Diesel - Diesel"	"Diesel - Biodiesel and Bioblended"	"Diesel - Total Diesel"	"Fuel Oil"	"Gas Oil"	"Total"	"Road Fuel Gases (Natural Gas/LPG)"	"NA"
"2019"	0	0	16099	0	0	753	16851	0	0	28437	1597	30034	199	5069	52340	54	 
"2018"	0	0	15840	0	0	761	16601	0	0	29372	1139	30512	135	5234	52595	67	 
"2017"	0	0	16020	0	0	752	16772	0	0	29712	697	30410	243	5196	52715	62	 
"2016"	0	0	16341	0	0	758	17100	0	0	29393	707	30100	156	5226	52709	71	 
"2015"	0	0	16523	0	0	796	17319	0	0	28214	670	28884	204	5277	51762	84	 
"2014"	0	0	16859	0	0	814	17672	0	0	27031	954	27985	114	5312	51186	89	 
"2013"	0	0	17200	0	0	820	18020	0	0	26204	766	26969	112	5177	50417	93	 
"2012"	0	0	18017	0	0	775	18792	0	0	25714	634	26348	-57	5094	50336	94	 
"2011"	0	0	18896	0	0	652	19548	0	0	25001	925	25926	-191	5256	50692	98	 
"2010"	0	0	20019	0	0	631	20650	0	0	24724	1049	25773	269	5366	52259	107	 
"2009"	0	0	21709	0	0	320	22029	0	0	24045	1044	25089	410	5306	52993	107	 
"2008"	5442	173	16888	0	-1	206	22709	1045	5104	18650	886	25686	726	5901	54964	122	 
"2007"	23792	92	-17	0	-1	153	24019	9903	15216	35	347	25501	606	5831	55852	117	 
"2006"	24568	84	-23	0	0	95	24724	12376	11721	20	169	24286	1057	6435	56379	124	 
"2005"	25612	0	-5	0	1	85	25693	22482	684	34	33	23233	910	6395	56140	118	 
"2004"	27030	0	-4	0	-1	0	27025	22088	0	72	21	22181	929	6277	56310	110	 
"2003"	27368	0	24	-1	2	0	27393	20818	0	69	19	20906	1047	6416	55665	103	 
"2002"	27856	0	145	2	0	0	28002	19779	0	-14	3	19767	1324	6572	55552	85	 
"2001"	23962	0	3669	399	6	0	28036	18852	0	113	0	18965	1646	6883	55422	54	 
"2000"	2429	0	23278	2593	14	0	28313	18738	0	62	0	18800	1803	6991	55866	22	 
"1999"	0	0	24402	1256	3171	0	28829	15775	0	2784	0	18559	2202	7015	56561	7	 
"1998"	0	0	22381	572	6224	0	29177	1929	0	16212	0	18141	2563	7025	56878	3	 
"1997"	0	0	20182	767	7874	0	28824	372	0	17019	0	17391	2982	7056	56255	2	 
"1996"	0	0	19870	543	9471	0	29884	0	0	17111	0	17111	4490	7858	59267	0	 
"1995"	0	0	18805	0	11298	0	30103	0	0	16339	0	16339	5231	7199	58876	0	 
"1994"	0	0	17956	0	13055	0	31011	0	0	15288	0	15288	6632	7572	60795	0	 
"1993"	0	0	17005	0	15056	0	32061	0	0	14092	0	14092	7311	7605	61349	0	 
"1992"	0	0	14999	0	17111	0	32110	0	0	13059	0	13059	8405	7612	61303	0	 
"1991"	0	0	13197	0	19226	0	32424	0	0	12724	0	12724	10155	8361	63655	0	 
"1990"	0	0	11035	0	21736	0	32771	0	0	12892	0	12892	11219	8143	65031	0	 
