"Year"	"CCGT"	"Coal"	"Diesel"	"Large Hydro"	"Moyle Interconnector"	"Nuclear"	"Other"	"Pumped Storage"	"NA"
2006	1840	3456	132.3	1266.4	500	2465	599.05	740	0
2007	1660	3456	132.3	1265.8	500	2090	665.45	740	0
2008	1663	3456	133	1281.7	500	2050	1183.65	740	0
2009	1663	3456	133	1290.2	500	2065	1235.55	740	0
2010	1303	3456	129	1299	500	2065	1814	740	0
2011	1303	3456	133	1296	500	2095	2393	740	0
2012	1180	3456	134	1298	500	2080	3044	740	0
2013	1180	2304	134	1302	500	2075	3874.6	740	0
2014	1180	2260	134	1308	500	2145	4329.5	740	0
2015	1180	2260	138	1310	500	2150	4566.4	740	0
2016	1180	0	137.5	764.7	500	2150	3761.87	740	0
2017	1180	0	138	764.7	500	2150	4234.09	740	0
2018	1180	0	140.9	837.7	500	2324	5782.886	740	0
2019	1180	0	138	897.7	500	2270	6877.386	740	0
2020	1180	0	138	877.7	500	2185	14.626	740	7367.31
